data,Rio_Grande_do_Sul - PIB - Per Capita,Rio_Grande_do_Sul - PIB - Preços de Mercado,Rio_Grande_do_Sul - PIB - Estadual,Rio_Grande_do_Sul - PIB - Construção Civil,Rio_Grande_do_Sul - População,Rio_Grande_do_Sul - INCC (%),Rio_Grande_do_Sul - IPCA - Variação mensal durante o Plano Real (%),Rio_Grande_do_Sul - IGP-DI,Rio_Grande_do_Sul - Taxa Selic (%),Rio_Grande_do_Sul - IDH - Longevidade,Rio_Grande_do_Sul - IDH - Renda,Rio_Grande_do_Sul - IDH - Educação,Rio_Grande_do_Sul - NFSP - Fluxo Mensal (Milhões de reais),Rio_Grande_do_Sul - Estoque liquido de capital fixo - (R$),Rio_Grande_do_Sul - Desemprego,Rio_Grande_do_Sul - Produção de Cimento (t),Rio_Grande_do_Sul - Valor,Rio_Grande_do_Sul - Consumo de Cimento (t)
2003-01-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,1.7,12.53,2.7,0.08229309524,0.804,0.72,0.505,3.46,6098524.41582601,7.7083141533,-1.0,0.33,188093.0
2003-02-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,1.51,2.25,2.17,0.08877068182,0.804,0.72,0.505,3.59,6172460.00795063,7.7083141533,31064.0,0.34,170973.0
2003-03-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,1.39,3.86,1.59,0.09073265,0.804,0.72,0.505,3.84,6172460.00795063,7.7083141533,41998.0,0.35,174880.0
2003-04-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,1.38,5.13,1.66,0.092749,0.804,0.72,0.505,3.95,6172460.00795063,7.7083141533,136397.0,0.35,178111.0
2003-05-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,0.9,6.15,0.41,0.0927578,0.804,0.72,0.505,4.06,6172460.00795063,7.7083141533,67400.0,0.35,184331.0
2003-06-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,2.84,6.8,-0.67,0.09272338095,0.804,0.72,0.505,3.94,6172460.00795063,7.7083141533,59720.0,0.35,160740.0
2003-07-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,1.05,6.64,-0.7,0.092025,0.804,0.72,0.505,3.6,6172460.00795063,7.7083141533,311711.0,0.35,175805.0
2003-08-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,0.99,6.85,-0.2,0.08972826087,0.804,0.72,0.505,3.23,6172460.00795063,7.7083141533,46143.0,0.35,179478.0
2003-09-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,1.44,7.22,0.62,0.083783,0.804,0.72,0.505,3.17,6172460.00795063,7.7083141533,20357.0,0.35,177581.0
2003-10-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,0.22,8.05,1.05,0.07573604545,0.804,0.72,0.505,2.7,6172460.00795063,7.7083141533,32993.0,0.35,190158.0
2003-11-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,0.65,8.37,0.44,0.07083917391,0.804,0.72,0.505,2.65,6172460.00795063,7.7083141533,-1.0,0.35,166277.0
2003-12-01,13377001.037145669,7041468.984361417,1.2851947571083333,8079084.86345121,10408540.0,1.04,8.74,0.48,0.0667516,0.804,0.72,0.505,2.36,6172460.00795063,7.7083141533,162186.0,0.35,156573.0
2004-01-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,0.16,9.3,0.6,0.062015,0.804,0.72,0.505,1.57,6172460.00795063,8.1249785781,-1.0,0.35,174261.0
2004-02-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,0.33,0.76,0.8,0.0599982381,0.804,0.72,0.505,1.43,6261937.06181048,8.1249785781,26087.0,0.35,164909.054
2004-03-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,1.0,1.37,1.08,0.05993777778,0.804,0.72,0.505,1.27,6261937.06181048,8.1249785781,31935.0,0.35,202662.0
2004-04-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,1.16,1.85,0.93,0.05956991304,0.804,0.72,0.505,1.24,6261937.06181048,8.1249785781,178716.0,0.35,174149.0
2004-05-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,0.59,2.23,1.15,0.0587633,0.804,0.72,0.505,1.21,6261937.06181048,8.1249785781,63063.0,0.35,159955.0
2004-06-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,1.83,2.75,1.46,0.0581277619,0.804,0.72,0.505,1.35,6261937.06181048,8.1249785781,48990.0,0.35,180711.3
2004-07-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,0.7,3.48,1.29,0.05822585714,0.804,0.72,0.505,1.59,6261937.06181048,8.1249785781,306825.0,0.35,181807.0
2004-08-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,1.12,4.42,1.14,0.05813868182,0.804,0.72,0.505,1.72,6261937.06181048,8.1249785781,51261.0,0.35,186124.0
2004-09-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,0.81,5.14,1.31,0.05843936364,0.804,0.72,0.505,1.83,6261937.06181048,8.1249785781,25363.0,0.35,162686.97
2004-10-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,0.58,5.49,0.48,0.05923480952,0.804,0.72,0.505,1.87,6261937.06181048,8.1249785781,23747.0,0.35,179882.59
2004-11-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,1.19,5.95,0.53,0.06031435,0.804,0.72,0.505,1.76,6261937.06181048,8.1249785781,-1.0,0.35,172935.0
2004-12-01,14216483.5387945,8537843.013462083,1.3525349023916666,6537666.87513217,10510992.0,0.71,6.68,0.82,0.0621806,0.804,0.72,0.505,1.71,6261937.06181048,8.1249785781,183472.0,0.35,176633.0
2005-01-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.51,7.6,0.52,0.06401773913,0.804,0.72,0.505,1.74,6261937.06181048,6.7747671823,-1.0,0.35,168412.0
2005-02-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.75,0.58,0.33,0.0654687619,0.804,0.72,0.505,1.57,6344077.42160595,6.7747671823,37747.0,0.34,153593.111
2005-03-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.44,1.17,0.4,0.06729072222,0.804,0.72,0.505,1.49,6344077.42160595,6.7747671823,38285.0,0.34,166196.0
2005-04-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.67,1.79,0.99,0.068961,0.804,0.72,0.505,1.37,6344077.42160595,6.7747671823,172668.0,0.34,150226.0
2005-05-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.72,2.68,0.51,0.07010755,0.804,0.72,0.505,1.37,6344077.42160595,6.7747671823,77063.0,0.34,154220.0
2005-06-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,2.09,3.18,-0.25,0.07106719048,0.804,0.72,0.505,1.18,6344077.42160595,6.7747671823,57752.0,0.34,163261.0
2005-07-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.76,3.16,-0.45,0.071533,0.804,0.72,0.505,0.95,6344077.42160595,6.7747671823,309851.0,0.33,161492.0
2005-08-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.11,3.42,-0.4,0.07145590476,0.804,0.72,0.505,0.76,6344077.42160595,6.7747671823,52218.0,0.33,173938.0
2005-09-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.02,3.59,-0.79,0.07154213043,0.804,0.72,0.505,0.55,6344077.42160595,6.7747671823,36365.0,0.33,154493.0
2005-10-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.24,3.95,-0.13,0.07107052381,0.804,0.72,0.505,0.29,6344077.42160595,6.7747671823,33646.0,0.33,153438.0
2005-11-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.19,4.73,0.63,0.0698922,0.804,0.72,0.505,0.25,6344077.42160595,6.7747671823,-1.0,0.33,185306.0
2005-12-01,14379418.58804025,9305139.5292575,1.340605456825,7066581.03447218,10726063.0,0.28,5.31,0.33,0.0686031,0.804,0.72,0.505,0.24,6344077.42160595,6.7747671823,158528.0,0.33,181484.0
