data,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado,Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - População,Amapá - INCC (%),Amapá - IPCA - Variação mensal durante o Plano Real (%),Amapá - IGP-DI,Amapá - Taxa Selic (%),Amapá - IDH - Longevidade,Amapá - IDH - Renda,Amapá - IDH - Educação,Amapá - NFSP - Fluxo Mensal (Milhões de reais),Amapá - Estoque liquido de capital fixo - (R$),Amapá - Desemprego,Amapá - Produção de Cimento (t),Amapá - Valor,Amapá - Consumo de Cimento (t)
2003-01-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,1.7,12.53,2.7,0.08229309524,0.711,0.638,0.424,3.46,6098524.41582601,20.539464085,-1.0,-1.0,10392.0
2003-02-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,1.51,2.25,2.17,0.08877068182,0.711,0.638,0.424,3.59,6172460.00795063,20.539464085,-1.0,-1.0,6857.0
2003-03-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,1.39,3.86,1.59,0.09073265,0.711,0.638,0.424,3.84,6172460.00795063,20.539464085,-1.0,-1.0,7011.0
2003-04-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,1.38,5.13,1.66,0.092749,0.711,0.638,0.424,3.95,6172460.00795063,20.539464085,40887.0,-1.0,7122.0
2003-05-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,0.9,6.15,0.41,0.0927578,0.711,0.638,0.424,4.06,6172460.00795063,20.539464085,92683.0,-1.0,5267.0
2003-06-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,2.84,6.8,-0.67,0.09272338095,0.711,0.638,0.424,3.94,6172460.00795063,20.539464085,14994.0,-1.0,5539.0
2003-07-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,1.05,6.64,-0.7,0.092025,0.711,0.638,0.424,3.6,6172460.00795063,20.539464085,64600.0,-1.0,7714.0
2003-08-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,0.99,6.85,-0.2,0.08972826087,0.711,0.638,0.424,3.23,6172460.00795063,20.539464085,342806.0,-1.0,7740.0
2003-09-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,1.44,7.22,0.62,0.083783,0.711,0.638,0.424,3.17,6172460.00795063,20.539464085,39749.0,-1.0,6882.0
2003-10-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,0.22,8.05,1.05,0.07573604545,0.711,0.638,0.424,2.7,6172460.00795063,20.539464085,194587.0,-1.0,7066.0
2003-11-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,0.65,8.37,0.44,0.07083917391,0.711,0.638,0.424,2.65,6172460.00795063,20.539464085,140515.0,-1.0,5797.0
2003-12-01,470809.4978152033,247827.6309617375,0.9115188211166668,313641.83087706,516511.0,1.04,8.74,0.48,0.0667516,0.711,0.638,0.424,2.36,6172460.00795063,20.539464085,-1.0,-1.0,7706.0
2004-01-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,0.16,9.3,0.6,0.062015,0.711,0.638,0.424,1.57,6172460.00795063,13.298207992,477117.0,-1.0,10000.0
2004-02-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,0.33,0.76,0.8,0.0599982381,0.711,0.638,0.424,1.43,6261937.06181048,13.298207992,-1.0,-1.0,6136.0
2004-03-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,1.0,1.37,1.08,0.05993777778,0.711,0.638,0.424,1.27,6261937.06181048,13.298207992,-1.0,-1.0,5122.0
2004-04-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,1.16,1.85,0.93,0.05956991304,0.711,0.638,0.424,1.24,6261937.06181048,13.298207992,42722.0,-1.0,3926.0
2004-05-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,0.59,2.23,1.15,0.0587633,0.711,0.638,0.424,1.21,6261937.06181048,13.298207992,91210.0,-1.0,6197.0
2004-06-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,1.83,2.75,1.46,0.0581277619,0.711,0.638,0.424,1.35,6261937.06181048,13.298207992,21014.0,-1.0,7552.0
2004-07-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,0.7,3.48,1.29,0.05822585714,0.711,0.638,0.424,1.59,6261937.06181048,13.298207992,70656.0,-1.0,5796.0
2004-08-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,1.12,4.42,1.14,0.05813868182,0.711,0.638,0.424,1.72,6261937.06181048,13.298207992,333870.0,-1.0,5979.0
2004-09-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,0.81,5.14,1.31,0.05843936364,0.711,0.638,0.424,1.83,6261937.06181048,13.298207992,30420.0,-1.0,7271.0
2004-10-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,0.58,5.49,0.48,0.05923480952,0.711,0.638,0.424,1.87,6261937.06181048,13.298207992,189576.0,-1.0,6552.0
2004-11-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,1.19,5.95,0.53,0.06031435,0.711,0.638,0.424,1.76,6261937.06181048,13.298207992,133013.0,-1.0,8809.0
