data,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - População,Goiás - INCC (%),Goiás - IPCA - Variação mensal durante o Plano Real (%),Goiás - IGP-DI,Goiás - Taxa Selic (%),Goiás - IDH - Longevidade,Goiás - IDH - Renda,Goiás - IDH - Educação,Goiás - NFSP - Fluxo Mensal (Milhões de reais),Goiás - Estoque liquido de capital fixo - (R$),Goiás - Desemprego,Goiás - Produção de Cimento (t),Goiás - Valor,Goiás - Consumo de Cimento (t)
2003-01-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,1.7,12.53,2.7,0.08229309524,0.773,0.686,0.439,3.46,6098524.41582601,6.9037377938,-1.0,0.3,97447.0
2003-02-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,1.51,2.25,2.17,0.08877068182,0.773,0.686,0.439,3.59,6172460.00795063,6.9037377938,-1.0,0.32,97256.0
2003-03-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,1.39,3.86,1.59,0.09073265,0.773,0.686,0.439,3.84,6172460.00795063,6.9037377938,-1.0,0.33,101442.0
2003-04-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,1.38,5.13,1.66,0.092749,0.773,0.686,0.439,3.95,6172460.00795063,6.9037377938,83636.0,0.32,98217.0
2003-05-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,0.9,6.15,0.41,0.0927578,0.773,0.686,0.439,4.06,6172460.00795063,6.9037377938,88915.0,0.32,112540.0
2003-06-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,2.84,6.8,-0.67,0.09272338095,0.773,0.686,0.439,3.94,6172460.00795063,6.9037377938,22109.0,0.32,109189.0
2003-07-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,1.05,6.64,-0.7,0.092025,0.773,0.686,0.439,3.6,6172460.00795063,6.9037377938,40561.0,0.32,118633.0
2003-08-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,0.99,6.85,-0.2,0.08972826087,0.773,0.686,0.439,3.23,6172460.00795063,6.9037377938,97156.0,0.33,115594.0
2003-09-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,1.44,7.22,0.62,0.083783,0.773,0.686,0.439,3.17,6172460.00795063,6.9037377938,27149.0,0.32,122029.0
2003-10-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,0.22,8.05,1.05,0.07573604545,0.773,0.686,0.439,2.7,6172460.00795063,6.9037377938,196165.0,0.32,126095.0
2003-11-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,0.65,8.37,0.44,0.07083917391,0.773,0.686,0.439,2.65,6172460.00795063,6.9037377938,123195.0,0.32,112663.0
2003-12-01,5405587.301465467,2845426.655782692,1.0374740398583333,4096598.73917169,5210335.0,1.04,8.74,0.48,0.0667516,0.773,0.686,0.439,2.36,6172460.00795063,6.9037377938,24535.0,0.31,100830.0
2004-01-01,5558267.99417425,3338070.16562935,1.047453300625,3254422.38273926,5306459.0,0.16,9.3,0.6,0.062015,0.773,0.686,0.439,1.57,6172460.00795063,8.7811043278,424130.0,0.32,93660.0
2004-02-01,5558267.99417425,3338070.16562935,1.047453300625,3254422.38273926,5306459.0,0.33,0.76,0.8,0.0599982381,0.773,0.686,0.439,1.43,6261937.06181048,8.7811043278,-1.0,0.26,85349.0
2004-03-01,5558267.99417425,3338070.16562935,1.047453300625,3254422.38273926,5306459.0,1.0,1.37,1.08,0.05993777778,0.773,0.686,0.439,1.27,6261937.06181048,8.7811043278,-1.0,0.26,116097.0
