Ano,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
1985,0.004074741,1094083.30691775,5.8791420772,13075164.946507
1986,0.010037042,1648611.98272765,5.9255944825,13471572.4041314
1987,0.033596449,1675905.99710185,6.3202839128,14677039.1456925
1988,0.20071163,1661463.20813605,5.7302948615,13580563.8796714
1989,2.458330276,1320639.33398264,5.7716421572,14332032.1436021
1990,81.60226627,1140775.61045751,6.1245303676,15487583.7784208
1991,428.9000432,873791.227607234,6.1700559571,15877608.6063094
1992,4630.854661,908844.613858007,6.3226355082,16353401.9025336
1993,93464.35972,1221188.31587514,6.0055725931,15717274.1170712
1994,2386299.951,1345619.99780773,6.362685085,16844795.18795
1995,4656515.994,1207835.61389357,6.181753266,16551440.3718613
1996,5369180.034,1233308.59291967,6.1250000647,16582586.3000631
1997,6214731.155,1461947.72154286,6.3801014987,17463339.4779952
1998,6676333.165,1563000.98648877,6.447201319,17842010.7189827
1999,6935079.503,1250841.58055671,6.2677884172,17603980.0634292
2000,7768753.702,1307471.87067429,6.3133529976,17946198.3372645
2001,8488146.132,1089225.6672446,6.3528049829,18275260.2087444
2002,10598919.2463206,1037094.84043914,6.9731629867,20135252.1846708
2003,11508573.5228308,667727.712607716,6.5679560976,19163089.0594211
2004,12768127.0022244,710735.441888161,6.6190668379,19730842.5277202
2005,14045431.0780643,909596.615225644,6.6989126892,20203331.1661694
2006,15682749.818096,876921.330693335,6.9254951211,21127275.5422437
2007,17962039.804033,982288.679919506,7.2208404164,22734007.316977
2008,20114736.4601704,1274872.41958947,7.4831725847,23404071.2489716
2009,21891550.8702384,1634909.08721434,7.5205126906,23735550.2670322
2010,24340231.7008897,1757189.27279823,7.5314014372,24340231.7008897
2011,28529961.7317634,1958261.00938541,8.3791650265,26338933.2776118
2012,31248927.9148837,1846452.0168425,8.4430360597,26726194.2420291
2013,33708089.4246824,1859065.13094044,8.1240438483,26816940.680331
2014,37264089.0201385,1823977.14670101,8.2755024938,27488984.8988237
2015,42260656.4108397,1458480.52991457,8.6748319537,28982023.6687279
2016,44754657.9578919,1459543.71049845,8.452502666,28391643.7124792
2017,47805620.3764586,1293098.68840724,8.6683243983,29253130.8650599
2018,48892276.4734697,1174082.11731771,8.7202754761,28631508.8659201
2019,53032293.9624192,1083839.83902839,9.0418523629,29797208.1375036
2020,57141511.5215034,1247847.62581732,9.1387981191,30154312.7981948
2021,,,,
2022,,,,
