Ano,Estoque liquido de capital fixo - (R$),dropme
1947,298593.189598641,
1948,314243.102369814,
1949,333005.443227664,
1950,353928.918358484,
1951,386666.767341024,
1952,420464.167511264,
1953,450664.743717131,
1954,490484.485637018,
1955,520667.867203526,
1956,555739.62095641,
1957,597463.214991254,
1958,647777.064461526,
1959,707372.15910872,
1960,770396.713419517,
1961,816446.208562327,
1962,885756.752489764,
1963,957298.079718561,
1964,1019152.84260951,
1965,1070939.24938862,
1966,1140325.19733725,
1967,1207315.94989331,
1968,1299727.4742267,
1969,1405477.24510919,
1970,1515423.32053963,
1971,1647969.98692739,
1972,1808471.50717633,
1973,2014047.05195292,
1974,2250124.39636569,
1975,2507041.51697235,
1976,2782720.32005087,
1977,3040120.50883686,
1978,3312329.89478712,
1979,3583590.01749551,
1980,3909158.51350452,
1981,4152950.13618849,
1982,4351395.99386292,
1983,4480143.0881929,
1984,4593205.42398033,
1985,4737851.29226991,
1986,4972823.99390844,
1987,5185090.2418195,
1988,5369654.4453814,
1989,5558213.74663094,
1990,5692886.61949908,
1991,5805591.84186153,
1992,5892387.67545036,
1993,5997362.5680396,
1994,6147051.01451553,
1995,6355511.53641487,
1996,6526849.93586045,
1997,6718269.11038036,
1998,6891778.28132934,
1999,7032973.1332343,
2000,7210002.91782659,
2001,7375823.10028364,
2002,7511588.58036155,
2003,7613492.55242555,
2004,7747096.77911672,
2005,7869566.16062605,
2006,7972832.54813912,
2007,8170350.81693573,
2008,8420072.51367348,
2009,8628763.4559845,
2010,8930319.07550027,
2011,9240251.69548496,
2012,9516417.62356479,
2013,9806581.14715253,
2014,10033078.5838119,
2015,10108471.5642405,
2016,10086264.2814188,
2017,10048203.8752465,
2018,10020413.4132723,
2019,10036558.3465477,
2020,10020127.7949181,
2021,10134247.7270862,
