,Amapá - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amapá - Consumo de Cimento (t),Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado,Amapá - Desemprego
2003-1,0.7114207342902096,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,10.392,8035813.3855762435,356591.00342969684,10.8831425875306,7033593.282440488,8.514392273723654
2003-2,0.7115528050904896,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,6.857,8046432.462337865,356647.7110041737,10.88520552683637,7037356.499927594,8.508753036857227
2003-3,0.7116848758907696,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,7.011,8057051.539099487,356704.4185786505,10.887268466142135,7041119.7174147,8.5031137999908
2003-4,0.7118169466910496,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,7.122,8067670.615861108,356761.12615312735,10.889331405447908,7044882.934901807,8.497474563124374
2003-5,0.7119490174913295,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,5.267,8078289.692622729,356817.8337276042,10.891394344753676,7048646.152388913,8.491835326257947
2003-6,0.7120810882916095,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,5.539,8088908.76938435,356874.541302081,10.893457284059444,7052409.369876019,8.48619608939152
2003-7,0.7122131590918895,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,7.714,8099527.846145971,356931.2488765579,10.895520223365214,7056172.587363126,8.480556852525092
2003-8,0.7123452298921695,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,7.74,8110146.922907593,356987.9564510348,10.897583162670982,7059935.804850232,8.474917615658665
2003-9,0.7124773006924495,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,6.882,8120765.999669214,357044.6640255116,10.899646101976751,7063699.022337338,8.469278378792238
2003-10,0.7126093714927295,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,7.066,8131385.076430835,357101.37159998843,10.90170904128252,7067462.239824444,8.46363914192581
2003-11,0.7127414422930095,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,5.797,8142004.153192457,357158.07917446527,10.903771980588289,7071225.45731155,8.457999905059385
2003-12,0.7128735130932895,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,7.706,8152623.229954078,357214.7867489421,10.905834919894057,7074988.674798656,8.452360668192958
2004-1,0.7130055838935695,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,10.0,8163242.306715699,357271.49432341894,10.907897859199826,7078751.892285762,8.44672143132653
2004-2,0.713119746075976,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,6.136,8173332.382047936,357418.45937624056,10.909765915536669,7082203.783438891,8.444145569901401
2004-3,0.7132339082583824,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,5.122,8183422.457380174,357565.4244290622,10.91163397187351,7085655.674592019,8.441569708476273
2004-4,0.7133480704407889,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,3.926,8193512.532712411,357712.38948188385,10.913502028210353,7089107.565745148,8.438993847051144
2004-5,0.7134622326231953,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,6.197,8203602.6080446495,357859.35453470546,10.915370084547192,7092559.456898276,8.436417985626013
2004-6,0.7135763948056018,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,7.552,8213692.683376887,358006.3195875271,10.917238140884034,7096011.348051405,8.433842124200885
2004-7,0.7136905569880081,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,5.796,8223782.758709124,358153.28464034875,10.919106197220875,7099463.239204533,8.431266262775756
