,Alagoas - IDH,Alagoas - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Alagoas - value,Alagoas - Desemprego,Alagoas - Produção de Cimento (t),Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2003-1,0.6351595081435675,30.109,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.2944342718417941,8.765720926489202,30.77944,25905282.52092277,1303625.4085053522,7.576442899418728,23598877.767557368
2003-2,0.6355706221051998,27.684,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.2962105818659526,8.760195773904087,30.599132307692308,25936854.251181744,1305019.9209963558,7.578654493282365,23608605.37437345
2003-3,0.6359817360668321,26.534,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.297520654945091,8.75467062131897,30.545910085470087,25968425.981440715,1306414.4334873594,7.580866087146003,23618332.981189545
2003-4,0.6363928500284644,25.109,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.2987661941159036,8.749145468733856,30.377624371184368,25999997.71169969,1307808.945978363,7.583077681009641,23628060.588005632
2003-5,0.6368039639900965,25.171,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.2999446400137953,8.74362031614874,30.46490023325334,26031569.441958666,1309203.458469367,7.585289274873278,23637788.194821723
2003-6,0.6372150779517288,22.645,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.3010533427651367,8.738095163563624,30.18366689992001,26063141.17221764,1310597.9709603705,7.587500868736916,23647515.80163781
2003-7,0.6376261919133611,24.689,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.3018898131822703,8.73257001097851,31.07850560959743,26094712.90247661,1311992.483451374,7.589712462600554,23657243.408453897
2003-8,0.6380373058749934,23.364,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.3026562533734356,8.727044858393393,31.116880609597423,26126284.632735584,1313386.9959423773,7.591924056464191,23666971.015269987
2003-9,0.6384484198366257,26.382,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.3031468647592595,8.721519705808278,31.67536545808227,26157856.36299456,1314781.5084333809,7.594135650327829,23676698.622086074
2003-10,0.6388595337982579,26.634,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.3035640141100778,8.715994553223162,32.06507134043522,26189428.09325353,1316176.0209243845,7.596347244191466,23686426.228902165
2003-11,0.6392706477598902,27.789,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,0.3051508756924334,8.710469400638047,32.33007134043521,26220999.823512506,1317570.533415388,7.598558838055103,23696153.83571825
2003-12,0.6396817617215225,30.032,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,0.305649655034885,8.70494424805293,32.801182451546325,26252571.55377148,1318965.0459063917,7.600770431918741,23705881.442534342
2004-1,0.6400928756831548,24.166,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,0.3060787825032064,8.699419095467816,33.22953380289767,26284143.28403045,1320359.5583973953,7.602982025782379,23715609.04935043
2004-2,0.6404658393021473,21.774,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,0.3064407484719454,8.696667609845514,33.42384959237136,26313783.67061336,1321696.45338974,7.605139734527735,23724347.57242418
2004-3,0.6408388029211398,28.228,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,0.3065296819039315,8.693916124223213,33.747926515448285,26343424.057196267,1323033.3483820849,7.607297443273091,23733086.09549793
2004-4,0.6412117665401323,25.525,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,0.3067520016375989,8.691164638600911,33.934351515448284,26373064.443779174,1324370.2433744296,7.609455152018446,23741824.61857168
2004-5,0.6415847301591249,26.207,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,0.3069103464012118,8.68841315297861,34.150863710570235,26402704.830362085,1325707.1383667744,7.611612860763802,23750563.141645428
2004-6,0.6419576937781174,19.604,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,0.3071095409841715,8.685661667356309,33.91467323437976,26432345.216944996,1327044.0333591192,7.613770569509159,23759301.66471918
2004-7,0.6423306573971099,25.229,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,0.3073504423623796,8.682910181734007,33.80244067624022,26461985.6035279,1328380.9283514642,7.615928278254515,23768040.187792927
2004-8,0.6427036210161023,22.412,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,0.3075319877770828,8.680158696111706,33.87289522169477,26491625.990110807,1329717.823343809,7.618085986999871,23776778.71086668
