,Bahia - value,Bahia - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Bahia - IDH,Bahia - Produção de Cimento (t),Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Bahia - Desemprego
2003-1,0.2998581941934306,151.297,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.6698992636044152,39.79888,131734360.9064606,8384592.526234203,8.566149432120241,121635930.94573908,8.3487785117798
2003-2,0.3019030681925273,138.707,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.6702099614160556,39.48003384615384,131896369.6850426,8391945.58962304,8.569209949849451,121691402.78420894,8.342978600113659
2003-3,0.3037089885994222,135.009,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.6705206592276959,39.40025606837607,132058378.4636246,8399298.653011877,8.572270467578663,121746874.6226788,8.337178688447517
2003-4,0.3053111988753256,126.554,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.6708313570393363,39.41718463980464,132220387.2422066,8406651.716400713,8.575330985307874,121802346.46114863,8.331378776781376
2003-5,0.3068599594498443,137.331,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.6711420548509767,39.479943260494295,132382396.0207886,8414004.77978955,8.578391503037086,121857818.29961853,8.325578865115235
2003-6,0.3080026543561971,118.68,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.671452752662617,39.67724326049429,132544404.7993706,8421357.843178388,8.581452020766296,121913290.13808836,8.319778953449093
2003-7,0.3092080618756394,131.291,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.6717634504742573,40.29214648630074,132706413.5779526,8428710.906567223,8.584512538495506,121968761.97655822,8.313979041782952
2003-8,0.3102320966428397,131.406,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.6720741482858977,40.836521486300754,132868422.3565346,8436063.96995606,8.587573056224718,122024233.81502809,8.30817913011681
2003-9,0.3109848100014842,147.495,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.672384846097538,40.90318815296742,133030431.13511658,8443417.033344898,8.590633573953928,122079705.65349792,8.30237921845067
2003-10,0.3116684803265855,154.944,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.6726955439091784,41.344776388261536,133192439.91369855,8450770.096733734,8.59369409168314,122135177.4919678,8.296579306784528
2003-11,0.3122119860401909,142.678,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,0.6730062417208188,41.33894781683296,133354448.69228056,8458123.160122572,8.59675460941235,122190649.33043766,8.290779395118387
2003-12,0.3128897116630283,142.702,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,0.6733169395324591,41.93111448349963,133516457.47086257,8465476.223511407,8.599815127141563,122246121.16890752,8.284979483452245
2004-1,0.3132917817348543,129.857,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,0.6736276373440995,41.96803340241855,133678466.24944456,8472829.286900245,8.602875644870773,122301593.00737736,8.279179571786104
2004-2,0.313620202375681,126.813,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,0.67390928600584,42.20827024452381,133826051.55394886,8477002.227460349,8.6053003031547,122344847.21192876,8.276754329261738
2004-3,0.3138728537396689,152.225,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,0.6741909346675804,42.72534716760074,133973636.85845315,8481175.168020453,8.607724961438628,122388101.41648015,8.274329086737374
2004-4,0.3142804734903646,136.288,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,0.6744725833293208,43.05124716760073,134121222.16295746,8485348.108580556,8.610149619722554,122431355.62103154,8.271903844213009
2004-5,0.3144130798503118,148.117,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,0.6747542319910613,43.265295948088536,134268807.46746176,8489521.04914066,8.61257427800648,122474609.82558294,8.269478601688643
2004-6,0.3146811488943606,135.806,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,0.6750358806528018,43.57129594808854,134416392.77196607,8493693.989700764,8.614998936290409,122517864.03013432,8.267053359164278
2004-7,0.3151017931270857,147.816,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,0.6753175293145423,43.58329594808854,134563978.07647038,8497866.930260869,8.617423594574335,122561118.23468572,8.264628116639912
2004-8,0.3151950573911286,147.06,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,0.6755991779762827,43.821227766270354,134711563.38097468,8502039.870820973,8.619848252858262,122604372.4392371,8.262202874115548
2004-9,0.3151620295000013,156.749,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,0.6758808266380232,44.25958332182591,134859148.685479,8506212.811381077,8.62227291114219,122647626.64378849,8.259777631591183
2004-10,0.3153478828465636,150.946,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,0.6761624752997637,44.47014853921721,135006733.98998326,8510385.751941182,8.624697569426116,122690880.84833989,8.257352389066817
2004-11,0.31526223498505,142.002,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,0.6764441239615041,44.6152336456002,135154319.29448757,8514558.692501284,8.627122227710043,122734135.05289128,8.254927146542453
2004-12,0.3153576258292924,159.878,0.4969515420076215,-6921.044658255659,4.995239879121229,1.1747086678519794,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,0.6767257726232445,44.91719197893352,135301904.59899187,8518731.633061389,8.629546885993971,122777389.25744268,8.252501904018088
2005-1,0.3151515382445077,139.997,0.483143045759377,-7202.757774714469,4.860078219431911,1.4639532115258698,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,0.677007421284985,45.21427361158658,135449489.90349618,8522904.573621493,8.631971544277897,122820643.46199404,8.250076661493722
2005-2,0.3156718105720807,111.865,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4873522528925844,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,0.6772608454832124,45.380322460802645,135582224.6122714,8528688.500010556,8.633794311675876,122853648.13200444,8.242932573338733
2005-3,0.3163283155186022,159.603,0.4664937288356185,-7221.778170229833,4.596932598972333,1.394672339987124,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,0.6775142696814398,45.87781814681588,135714959.32104665,8534472.426399618,8.635617079073853,122886652.80201484,8.235788485183743
2005-4,0.3167695262720549,142.063,0.4550001182228941,-7427.695727374902,4.479302822781261,1.513866283918324,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,0.6777676938796672,46.28015614841669,135847694.02982187,8540256.352788681,8.637439846471832,122919657.47202525,8.228644397028754
2005-5,0.317093165606682,137.144,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5686237807140602,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,0.6780211180778946,46.965992301653685,135980428.7385971,8546040.279177744,8.639262613869809,122952662.14203563,8.221500308873765
2005-6,0.3175938432833521,122.74,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,0.6782745422761219,47.44721779228958,136113163.44737235,8551824.205566807,8.641085381267787,122985666.81204602,8.214356220718775
2005-7,0.3184957042818655,124.17,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,0.6785279664743493,47.84136012967316,136245898.15614757,8557608.13195587,8.642908148665764,123018671.4820564,8.207212132563786
2005-8,0.3192689214738293,160.949,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,0.6787813906725766,48.18036448974198,136378632.8649228,8563392.058344932,8.644730916063743,123051676.1520668,8.200068044408795
2005-9,0.3203635505520127,145.708,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,0.679034814870804,48.39966740817956,136511367.57369804,8569175.984733995,8.646553683461722,123084680.8220772,8.192923956253805
2005-10,0.3214100554612072,138.694,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,0.6792882390690314,48.88586086236756,136644102.28247327,8574959.911123058,8.648376450859699,123117685.4920876,8.185779868098816
2005-11,0.3224639651578322,129.206,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,0.6795416632672587,49.22141360673707,136776836.9912485,8580743.83751212,8.650199218257677,123150690.162098,8.178635779943827
2005-12,0.3235976790173759,155.862,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,0.6797950874654861,49.78715780653104,136909571.70002374,8586527.763901183,8.652021985655654,123183694.8321084,8.171491691788837
2006-1,0.3247345763103217,146.547,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,0.6800485116637135,49.98497501720515,137042306.40879896,8592311.690290246,8.653844753053633,123216699.50211878,8.164347603633848
2006-2,0.3254089190567598,137.49,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,0.6802745360848146,50.39083096852732,137165911.5777122,8596352.191995982,8.65573670746362,123248562.50231,8.161992165430814
2006-3,0.3260127704175982,175.839,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,0.6805005605059156,50.80857710575189,137289516.74662545,8600392.693701718,8.657628661873606,123280425.50250122,8.159636727227777
2006-4,0.326623789125311,133.213,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,0.6807265849270167,51.20888792081618,137413121.9155387,8604433.195407454,8.65952061628359,123312288.50269245,8.157281289024743
2006-5,0.3272348771994936,169.039,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,0.6809526093481177,51.69626834435119,137536727.08445194,8608473.69711319,8.661412570693576,123344151.50288366,8.154925850821709
2006-6,0.3278618526555994,141.216,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,0.6811786337692188,52.2101045157035,137660332.2533652,8612514.198818926,8.663304525103563,123376014.50307488,8.152570412618674
2006-7,0.3285145200792981,155.953,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,0.6814046581903199,52.77583530279768,137783937.42227846,8616554.700524662,8.665196479513549,123407877.5032661,8.15021497441564
