Ano,Rio Grande Do Sul - Produção de Cimento (t)
2014,1855.561669170172
2015,1702.8064987131359
2016,1556.3990405899378
2017,1456.1942202353957
2018,1416.3722542895339
2019,1462.8410742075737
2020,1543.713344254
2021,1580.7610976993963
2022,1589.0785870758666
