State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Mato Grosso,2005-05,2.5333333333333337,992.5353494623656,1081.4769230769232,26.605779569892473,19.606787634408605,68.38440860215054,1.6821908602150535,2005
Mato Grosso,2005-06,2.5666666666666664,995.8186111111112,874.2083333333334,25.48118055555555,17.58236111111111,65.90069444444444,1.7070138888888895,2005
Mato Grosso,2005-07,0.0,998.2333333333333,1010.6493506493506,23.35611559139785,13.764650537634408,59.07997311827956,2.127553763440859,2005
Mato Grosso,2005-08,0.4,995.0975134408603,1191.2571428571428,26.526948924731172,12.409879032258058,46.44556451612903,1.9534274193548398,2005
Mato Grosso,2005-09,2.051428571428573,995.4891666666666,1059.5625,25.393611111111102,16.044791666666665,59.62222222222221,2.2595138888888915,2005
Mato Grosso,2005-10,3.587804878048809,992.5176747311829,1333.695652173913,28.111827956989252,20.934879032258067,67.44086021505377,1.9213709677419348,2005
Mato Grosso,2005-11,3.381250000000001,990.803888888889,18118.186700767263,27.7625,21.772083333333335,71.59027777777777,1.9294444444444445,2005
Mato Grosso,2005-12,1.841379310344828,990.3791666666666,18718.12470023981,27.297983870967744,21.842473118279568,73.47849462365592,2.247043010752688,2005
Mato Grosso,2006-01,2.129577464788733,991.8608870967741,15944.6,26.949596774193548,22.208870967741937,76.83333333333333,1.866263440860215,2006
Mato Grosso,2006-02,2.7260273972602898,991.5291666666666,17171.559659090908,26.777604166666666,22.56688988095238,79.10119047619048,1.8899553571428573,2006
Mato Grosso,2006-03,2.940860215053762,992.6332661290323,17326.64721485411,26.796538978494624,22.904973118279568,80.37399193548387,1.7910282258064514,2006
Mato Grosso,2006-04,1.1063829787234043,992.7654861111112,15585.524691358025,25.947256944444447,22.05152777777778,80.94479166666666,1.5652430555555563,2006
Mato Grosso,2006-05,1.15,996.4310483870967,16857.641434262947,22.73447580645162,16.945564516129032,72.88104838709678,1.6295026881720416,2006
Mato Grosso,2006-06,0.2,996.383611111111,15968.415254237289,25.01763888888889,17.229861111111113,66.20972222222223,1.5513194444444443,2006
Mato Grosso,2006-07,0.909090909090909,996.6514784946236,16723.056756756756,24.650134408602153,15.302956989247312,61.11827956989247,1.833938172043011,2006
Mato Grosso,2006-08,2.34,995.0695564516129,16874.528767123287,26.877150537634407,14.381653225806453,51.126344086021504,2.105174731182794,2006
