Ano,Mato Grosso - Desemprego
2008,8.063004956989525
2009,8.095019259007241
2010,8.05784802131733
2011,8.047069128696148
2012,6.695389397639399
2013,7.06888140050866
2014,7.495400530139395
2015,7.838256458772852
2016,7.730866936586208
2017,7.251142586907594
2018,7.109464637507791
2019,7.037990886294342
2020,6.87114222496693
2021,6.623656770276929
2022,6.630924750183608
