,Maranhão - Desemprego
2003-1,8.213662392265372
2003-2,8.207986038220799
2003-3,8.202309684176228
2003-4,8.196633330131656
2003-5,8.190956976087083
2003-6,8.185280622042512
2003-7,8.17960426799794
2003-8,8.173927913953367
2003-9,8.168251559908796
2003-10,8.162575205864224
2003-11,8.156898851819651
2003-12,8.15122249777508
2004-1,8.145546143730508
2004-2,8.14361246567135
2004-3,8.14167878761219
2004-4,8.139745109553031
2004-5,8.137811431493873
2004-6,8.135877753434713
2004-7,8.133944075375554
2004-8,8.132010397316396
2004-9,8.130076719257236
2004-10,8.128143041198078
2004-11,8.12620936313892
2004-12,8.124275685079759
2005-1,8.1223420070206
2005-2,8.115340521405113
2005-3,8.108339035789625
2005-4,8.101337550174136
2005-5,8.09433606455865
2005-6,8.087334578943162
2005-7,8.080333093327674
2005-8,8.073331607712186
2005-9,8.066330122096698
2005-10,8.059328636481212
2005-11,8.052327150865723
2005-12,8.045325665250235
2006-1,8.038324179634747
2006-2,8.035768898504116
2006-3,8.033213617373484
2006-4,8.030658336242853
2006-5,8.028103055112222
2006-6,8.025547773981591
2006-7,8.02299249285096
2006-8,8.020437211720328
2006-9,8.017881930589697
2006-10,8.015326649459066
2006-11,8.012771368328433
2006-12,8.010216087197803
2007-1,8.007660806067172
2007-2,8.005216172226618
2007-3,8.002771538386064
2007-4,8.00032690454551
2007-5,7.997882270704955
2007-6,7.995437636864401
2007-7,7.992993003023846
2007-8,7.990548369183292
2007-9,7.988103735342738
2007-10,7.9856591015021845
2007-11,7.983214467661631
2007-12,7.980769833821076
2008-1,7.978325199980522
2008-2,7.9807889851934535
2008-3,7.983252770406384
2008-4,7.985716555619316
2008-5,7.988180340832247
2008-6,7.990644126045178
2008-7,7.993107911258109
2008-8,7.995571696471041
2008-9,7.9980354816839725
2008-10,8.000499266896904
2008-11,8.002963052109834
2008-12,8.005426837322766
2009-1,8.007890622535697
2009-2,8.004875328407147
2009-3,8.001860034278597
2009-4,7.998844740150046
2009-5,7.995829446021497
2009-6,7.992814151892946
2009-7,7.989798857764396
2009-8,7.9867835636358455
2009-9,7.983768269507295
2009-10,7.980752975378746
2009-11,7.977737681250195
2009-12,7.974722387121645
2010-1,7.971707092993094
2010-2,7.970858539367317
2010-3,7.970009985741539
2010-4,7.969161432115762
2010-5,7.968312878489984
2010-6,7.967464324864206
2010-7,7.966615771238429
2010-8,7.965767217612651
2010-9,7.964918663986873
2010-10,7.964070110361096
2010-11,7.963221556735318
2010-12,7.9623730031095405
2011-1,7.961524449483763
2011-2,8.156580918335289
2011-3,8.351637387186816
2011-4,8.546693856038342
2011-5,8.741750324889868
2011-6,8.936806793741393
2011-7,9.131863262592919
2011-8,9.326919731444447
2011-9,9.521976200295972
2011-10,9.717032669147498
2011-11,9.912089137999025
2011-12,10.107145606850551
2012-1,10.302202075702077
