,Tocantins - Desemprego
2003-1,8.24382962687184
2003-2,8.237931341000088
2003-3,8.232033055128339
2003-4,8.22613476925659
2003-5,8.220236483384838
2003-6,8.214338197513086
2003-7,8.208439911641337
2003-8,8.202541625769587
2003-9,8.196643339897836
2003-10,8.190745054026085
2003-11,8.184846768154335
2003-12,8.178948482282586
2004-1,8.173050196410834
2004-2,8.171347756455976
2004-3,8.16964531650112
2004-4,8.167942876546263
2004-5,8.166240436591405
2004-6,8.164537996636547
2004-7,8.16283555668169
2004-8,8.161133116726834
2004-9,8.159430676771976
2004-10,8.157728236817118
2004-11,8.156025796862261
2004-12,8.154323356907405
2005-1,8.152620916952547
2005-2,8.14555445043232
2005-3,8.138487983912093
2005-4,8.131421517391864
2005-5,8.124355050871637
2005-6,8.11728858435141
2005-7,8.110222117831182
2005-8,8.103155651310955
2005-9,8.096089184790728
2005-10,8.0890227182705
2005-11,8.081956251750274
2005-12,8.074889785230045
2006-1,8.067823318709818
2006-2,8.065776000478033
2006-3,8.063728682246248
2006-4,8.061681364014463
2006-5,8.059634045782678
2006-6,8.057586727550893
2006-7,8.055539409319108
2006-8,8.053492091087323
2006-9,8.051444772855538
2006-10,8.049397454623753
2006-11,8.047350136391968
2006-12,8.045302818160183
2007-1,8.043255499928398
2007-2,8.040740802895163
2007-3,8.038226105861927
2007-4,8.035711408828693
2007-5,8.033196711795458
2007-6,8.030682014762222
2007-7,8.028167317728988
2007-8,8.025652620695753
2007-9,8.023137923662517
2007-10,8.020623226629283
2007-11,8.018108529596049
2007-12,8.015593832562812
2008-1,8.013079135529578
2008-2,8.015457071210061
2008-3,8.017835006890545
2008-4,8.020212942571028
2008-5,8.022590878251512
2008-6,8.024968813931995
2008-7,8.027346749612477
2008-8,8.02972468529296
2008-9,8.032102620973443
2008-10,8.034480556653927
2008-11,8.03685849233441
2008-12,8.039236428014894
2009-1,8.041614363695377
2009-2,8.038651400108629
2009-3,8.03568843652188
2009-4,8.032725472935132
2009-5,8.029762509348384
2009-6,8.026799545761635
2009-7,8.023836582174887
2009-8,8.02087361858814
2009-9,8.017910655001392
2009-10,8.014947691414644
2009-11,8.011984727827896
2009-12,8.009021764241147
2010-1,8.0060588006544
2010-2,8.005043513828806
2010-3,8.004028227003214
2010-4,8.003012940177621
2010-5,8.001997653352028
2010-6,8.000982366526435
2010-7,7.999967079700843
2010-8,7.99895179287525
2010-9,7.9979365060496574
2010-10,7.996921219224064
2010-11,7.995905932398472
2010-12,7.9948906455728785
2011-1,7.993875358747286
2011-2,8.109885643768244
2011-3,8.225895928789202
2011-4,8.341906213810159
2011-5,8.457916498831118
2011-6,8.573926783852075
2011-7,8.689937068873032
2011-8,8.805947353893991
2011-9,8.921957638914948
2011-10,9.037967923935906
2011-11,9.153978208956863
2011-12,9.269988493977822
2012-1,9.385998778998779
2012-2,9.422406695436113
2012-3,9.458814611873445
2012-4,9.495222528310777
2012-5,9.53163044474811
2012-6,9.568038361185444
2012-7,9.604446277622776
2012-8,9.640854194060108
2012-9,9.677262110497441
2012-10,9.713670026934775
2012-11,9.750077943372107
2012-12,9.786485859809439
2013-1,9.822893776246772
2013-2,9.853735248028121
2013-3,9.88457671980947
2013-4,9.91541819159082
2013-5,9.94625966337217
2013-6,9.977101135153518
2013-7,10.007942606934867
2013-8,10.038784078716215
2013-9,10.069625550497564
2013-10,10.100467022278913
2013-11,10.131308494060264
2013-12,10.162149965841612
2014-1,10.192991437622961
2014-2,10.218666305657317
2014-3,10.244341173691673
2014-4,10.270016041726029
2014-5,10.295690909760385
2014-6,10.32136577779474
2014-7,10.347040645829097
2014-8,10.372715513863453
2014-9,10.398390381897809
2014-10,10.424065249932164
2014-11,10.44974011796652
2014-12,10.475414986000876
2015-1,10.501089854035232
2015-2,10.49206068512618
2015-3,10.483031516217128
2015-4,10.474002347308076
2015-5,10.464973178399024
2015-6,10.455944009489972
2015-7,10.44691484058092
2015-8,10.437885671671868
2015-9,10.428856502762816
2015-10,10.419827333853764
2015-11,10.410798164944712
2015-12,10.40176899603566
2016-1,10.392739827126608
2016-2,10.351217533961432
2016-3,10.309695240796255
2016-4,10.26817294763108
2016-5,10.226650654465903
2016-6,10.185128361300727
2016-7,10.14360606813555
2016-8,10.102083774970374
2016-9,10.060561481805198
2016-10,10.019039188640022
2016-11,9.977516895474846
2016-12,9.93599460230967
2017-1,9.894472309144493
2017-2,9.883368638840091
2017-3,9.872264968535688
2017-4,9.861161298231286
2017-5,9.850057627926883
2017-6,9.838953957622481
2017-7,9.827850287318078
2017-8,9.816746617013674
2017-9,9.805642946709272
2017-10,9.794539276404869
2017-11,9.783435606100467
2017-12,9.772331935796064
2018-1,9.761228265491662
2018-2,9.74926440730269
2018-3,9.73730054911372
2018-4,9.725336690924747
2018-5,9.713372832735775
2018-6,9.701408974546805
2018-7,9.689445116357833
2018-8,9.67748125816886
2018-9,9.66551739997989
2018-10,9.653553541790918
2018-11,9.641589683601946
2018-12,9.629625825412976
2019-1,9.617661967224004
2019-2,9.597147892524347
2019-3,9.576633817824689
2019-4,9.556119743125032
2019-5,9.535605668425376
2019-6,9.51509159372572
2019-7,9.494577519026063
2019-8,9.474063444326404
2019-9,9.453549369626748
2019-10,9.433035294927091
2019-11,9.412521220227433
2019-12,9.392007145527776
2020-1,9.37149307082812
2020-2,9.346095975818063
2020-3,9.320698880808006
2020-4,9.29530178579795
2020-5,9.269904690787893
2020-6,9.244507595777836
2020-7,9.21911050076778
2020-8,9.193713405757723
2020-9,9.168316310747667
2020-10,9.14291921573761
2020-11,9.117522120727553
2020-12,9.092125025717497
2021-1,9.06672793070744
2021-2,9.071076890364772
2021-3,9.075425850022102
2021-4,9.079774809679433
2021-5,9.084123769336765
2021-6,9.088472728994095
2021-7,9.092821688651426
2021-8,9.097170648308758
2021-9,9.101519607966088
2021-10,9.10586856762342
2021-11,9.110217527280751
2021-12,9.114566486938081
2022-1,9.118915446595413
