Ano,Distrito Federal - Desemprego
2008,8.042711254873264
2009,8.070884549770339
2010,8.035310333092589
2011,8.024652667328073
2012,10.763244607244609
2013,11.341795557617724
2014,11.799788321817193
2015,12.093704620142406
2016,12.238790236528455
2017,12.0856322334972
2018,12.018938170763702
2019,12.023661895135747
2020,11.936222220053123
2021,11.866376407842488
2022,11.896986554874035
