,Piauí - Desemprego
2003-1,8.192265612259057
2003-2,8.186155968290219
2003-3,8.180046324321381
2003-4,8.173936680352544
2003-5,8.167827036383706
2003-6,8.161717392414868
2003-7,8.15560774844603
2003-8,8.149498104477193
2003-9,8.143388460508355
2003-10,8.137278816539517
2003-11,8.13116917257068
2003-12,8.125059528601842
2004-1,8.118949884633004
2004-2,8.117220555008366
2004-3,8.11549122538373
2004-4,8.113761895759094
2004-5,8.112032566134456
2004-6,8.110303236509818
2004-7,8.108573906885182
2004-8,8.106844577260546
2004-9,8.105115247635908
2004-10,8.10338591801127
2004-11,8.101656588386634
2004-12,8.099927258761998
2005-1,8.09819792913736
2005-2,8.090534175715204
2005-3,8.082870422293047
2005-4,8.07520666887089
2005-5,8.067542915448735
2005-6,8.059879162026578
2005-7,8.052215408604422
2005-8,8.044551655182266
2005-9,8.036887901760108
2005-10,8.029224148337953
2005-11,8.021560394915797
2005-12,8.01389664149364
2006-1,8.006232888071484
2006-2,8.004078624516232
2006-3,8.00192436096098
2006-4,7.999770097405728
2006-5,7.9976158338504755
2006-6,7.995461570295223
2006-7,7.993307306739971
2006-8,7.991153043184719
2006-9,7.988998779629466
2006-10,7.986844516074214
2006-11,7.984690252518963
2006-12,7.98253598896371
2007-1,7.980381725408458
2007-2,7.977972110523153
2007-3,7.975562495637847
2007-4,7.973152880752542
2007-5,7.9707432658672355
2007-6,7.96833365098193
2007-7,7.965924036096625
2007-8,7.963514421211319
2007-9,7.961104806326014
2007-10,7.958695191440707
2007-11,7.956285576555402
2007-12,7.9538759616700965
2008-1,7.951466346784791
2008-2,7.953937576286272
2008-3,7.956408805787753
2008-4,7.9588800352892335
2008-5,7.961351264790715
2008-6,7.963822494292196
2008-7,7.966293723793677
2008-8,7.968764953295158
2008-9,7.9712361827966385
2008-10,7.97370741229812
2008-11,7.976178641799601
2008-12,7.978649871301082
2009-1,7.981121100802563
2009-2,7.978208271918934
2009-3,7.975295443035305
2009-4,7.972382614151676
2009-5,7.969469785268047
2009-6,7.9665569563844185
2009-7,7.963644127500789
2009-8,7.96073129861716
2009-9,7.957818469733532
2009-10,7.954905640849903
2009-11,7.951992811966274
2009-12,7.949079983082645
2010-1,7.946167154199016
2010-2,7.945179212471389
2010-3,7.9441912707437625
2010-4,7.943203329016136
2010-5,7.942215387288509
2010-6,7.941227445560882
2010-7,7.940239503833254
2010-8,7.939251562105627
2010-9,7.938263620378001
2010-10,7.937275678650374
2010-11,7.936287736922747
2010-12,7.93529979519512
2011-1,7.934311853467493
2011-2,8.031341268608939
2011-3,8.128370683750383
2011-4,8.225400098891829
2011-5,8.322429514033274
2011-6,8.41945892917472
