Ano,Santa Catarina - Desemprego
2008,8.020914736786072
2009,8.04993566287453
2010,8.013740743619795
2011,8.000656042584696
2012,4.7602384004884
2013,5.187786984605742
2014,5.5117949368456545
2015,5.7929151045681575
2016,5.7988440021265895
2017,5.526596805160374
2018,5.41748139201006
2019,5.342752064951709
2020,5.254688582749199
2021,5.134380887118717
2022,5.14100633308982
