Ano,Pará
2014,10.244255537394732
2015,10.537303954327417
2016,10.58797547267076
2017,10.306830522203079
2018,10.21108519757338
2019,10.177873546685088
2020,10.115271437589731
2021,10.01997302437444
2022,10.039893820813937
