,Ceará - Desemprego
2003-1,8.27445922175993
2003-2,8.268511856479037
2003-3,8.262564491198145
2003-4,8.25661712591725
2003-5,8.250669760636358
2003-6,8.244722395355465
2003-7,8.23877503007457
2003-8,8.232827664793678
2003-9,8.226880299512786
2003-10,8.220932934231893
2003-11,8.214985568951
2003-12,8.209038203670106
2004-1,8.203090838389214
2004-2,8.200760459952757
2004-3,8.198430081516301
2004-4,8.196099703079845
2004-5,8.19376932464339
2004-6,8.191438946206933
2004-7,8.189108567770477
2004-8,8.18677818933402
2004-9,8.184447810897565
2004-10,8.182117432461109
2004-11,8.179787054024652
2004-12,8.177456675588196
2005-1,8.17512629715174
2005-2,8.167840725265837
2005-3,8.160555153379933
2005-4,8.15326958149403
2005-5,8.145984009608126
2005-6,8.138698437722223
2005-7,8.131412865836317
2005-8,8.124127293950414
2005-9,8.11684172206451
2005-10,8.109556150178607
2005-11,8.102270578292703
2005-12,8.0949850064068
2006-1,8.087699434520896
2006-2,8.085259050458339
2006-3,8.082818666395779
2006-4,8.080378282333221
2006-5,8.077937898270664
2006-6,8.075497514208104
2006-7,8.073057130145546
2006-8,8.070616746082989
2006-9,8.068176362020429
2006-10,8.065735977957871
2006-11,8.063295593895313
2006-12,8.060855209832754
2007-1,8.058414825770196
2007-2,8.055550851051208
2007-3,8.052686876332219
2007-4,8.049822901613231
2007-5,8.046958926894243
2007-6,8.044094952175254
2007-7,8.041230977456266
2007-8,8.038367002737278
2007-9,8.035503028018288
2007-10,8.0326390532993
2007-11,8.029775078580313
2007-12,8.026911103861323
2008-1,8.024047129142335
2008-2,8.0263886559899
2008-3,8.028730182837464
2008-4,8.031071709685026
2008-5,8.03341323653259
2008-6,8.035754763380154
2008-7,8.038096290227717
2008-8,8.040437817075281
2008-9,8.042779343922845
2008-10,8.04512087077041
2008-11,8.047462397617974
2008-12,8.049803924465536
2009-1,8.0521454513131
2009-2,8.049257586340438
2009-3,8.046369721367777
2009-4,8.043481856395115
2009-5,8.040593991422453
2009-6,8.037706126449791
2009-7,8.034818261477128
2009-8,8.031930396504466
2009-9,8.029042531531804
2009-10,8.026154666559142
2009-11,8.02326680158648
2009-12,8.020378936613819
2010-1,8.017491071641157
2010-2,8.016609489179078
2010-3,8.015727906717
2010-4,8.014846324254922
2010-5,8.013964741792842
2010-6,8.013083159330764
2010-7,8.012201576868685
2010-8,8.011319994406607
2010-9,8.010438411944529
2010-10,8.009556829482449
2010-11,8.00867524702037
2010-12,8.007793664558292
2011-1,8.006912082096214
2011-2,8.157907240971863
2011-3,8.30890239984751
