Taxa de desemprego
Sigla,Código,Estado,1992,1993,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,
AC,12,Acre,9.2163144702,10.0564899114,9.8007104132,8.4370293468,8.8876046117,8.5355097927,12.2034370881,8.5581230842,6.5827877908,7.4474670142,10.247831928,11.3270063664,8.5818480478,5.7864893437,7.7436525528,7.5567235473,5.3570734362,8.0023147039,9.562579953,9.8080007095,
AL,27,Alagoas,8.9808491103,11.0865823431,8.3122639535,8.0112873243,7.9721212878,12.2875121428,14.7489836777,12.0656984015,9.0805148758,8.178167736,10.2095049594,9.7757234639,10.6371669546,8.3599776498,8.0059875704,12.1267719243,10.4075238245,12.2411251019,13.1911823085,13.1339007201,
AM,13,Amazonas,11.5557304923,16.032610651,11.3117029642,10.8161920649,15.1315074128,18.4817363571,19.3261936739,10.6841375976,12.9661326165,16.0210819442,12.4489171468,12.8289967007,9.4308006164,12.2387701808,10.0123850899,12.441820301,9.2755404803,8.9956326817,10.1945701543,10.8357973724,
AP,16,Amapá,5.9229397628,8.3044129639,13.0674814148,7.5281574285,10.9322644506,10.5388716352,15.2785584812,19.057839131,20.539464085,13.298207992,14.5645688579,11.9619293885,6.6666666667,16.3316041439,15.1932547748,13.7561240345,14.2148120548,10.9137897476,13.1034323234,10.3250273245,
BA,29,Bahia,8.2114353503,7.68122498,7.4597303562,8.5249509989,8.3663225608,8.7341366305,9.9222902292,10.603810641,10.7354322161,10.7918787186,11.530352869,11.0715030796,10.2487041687,10.3438296311,10.5336637559,10.6699441943,10.5096594349,10.1816577204,9.8651568607,9.9845745394,
CE,23,Ceará,5.7108578194,5.3353753384,5.7359044042,5.9943511346,7.1076426915,7.2576480965,7.3560895651,7.9831413221,8.8572190713,8.866986969,8.5796670726,9.1205042553,8.3568286848,7.8824280673,6.9986345632,7.9116600356,6.1174055103,6.5796532886,7.4180014186,8.2349961713,
DF,53,Distrito Federal,8.4169350178,9.4754387028,8.2337509376,12.9101825473,10.2551290872,12.2604365199,15.2280395666,14.6978472701,14.2153846705,13.9958914299,14.379031072,13.5080106677,11.6301514314,11.9465692636,11.2352497656,11.463591267,7.8785981518,8.3935489585,9.3201683498,9.4752209651,
ES,32,Espírito Santo,7.2961765187,6.0779327656,5.0150591426,6.7645752546,6.9325306759,7.3633149261,8.8016328794,10.0933776432,10.6660929108,10.3107095834,8.0957206393,10.3294229521,7.5031061604,10.8057338048,6.2384633772,8.4774788927,7.9727630661,5.7843822298,6.1866072386,7.1430177772,
GO,52,Goiás,6.6636499637,5.8228175245,7.1335330161,8.0950075908,7.2582186155,8.6009431358,9.4876364957,8.5083793222,6.9037377938,8.7811043278,7.7414343354,9.8099049786,7.6488402593,8.2177727616,7.2167754154,8.5067968461,4.9445703739,4.9233869482,5.736413037,5.1685715646,
MA,21,Maranhão,3.3580371244,3.6079784145,3.317694283,3.5701200615,4.5423374656,4.4522895186,5.0130553735,7.8971152085,5.9295673225,6.7587143468,7.9065382833,7.5283381664,8.4468949571,8.2934455969,6.6921704376,8.3635083776,8.1242455752,6.8261011017,9.0207675294,8.1036123013,
MG,31,Minas Gerais,7.2408620601,6.0826006462,5.4573211312,6.6757721757,7.147186872,9.1198243922,9.9168023881,10.4900536306,10.1074491293,10.1698488235,9.8350635575,9.394539677,8.7383120132,8.2195278868,6.7150496761,8.0993013048,6.4304334289,6.2081234313,6.6286280959,7.0598895724,
MS,50,Mato Grosso do Sul,6.0260523681,5.5838839715,6.9350561883,9.3015966665,9.8653880067,10.7833949739,10.1949788836,9.3552992478,8.4950922097,8.5401564118,7.5277475999,9.2016820325,8.4652372036,6.4836562489,7.8671825199,7.2091149998,4.8634755756,3.7348048683,3.8672039277,4.4898515789,
MT,51,Mato Grosso,6.0826265968,5.3034607842,6.4803838223,7.1592377528,5.6038746428,8.3931775827,8.4004412666,6.5045083704,7.3542245385,7.4906163467,6.2828480898,8.6880499528,9.0966653626,8.4197987734,6.221740793,6.8663627813,7.6345026359,5.2571187041,4.8995845864,4.8084225778,
PA,15,Pará,8.9697684809,7.9268588656,8.4578237723,9.159650301,10.1288084109,9.176062217,10.3508504415,10.4743070352,10.7704942617,10.1775465197,8.7001768537,9.7011872876,9.2604839513,8.7226842189,6.7757528944,10.2439478315,9.6185898012,7.7984712634,9.5930045525,9.7128979318,
PB,25,Paraíba,5.5730865914,5.6078747369,2.8200400241,3.1174504123,6.3313610696,6.3974746543,8.7092498366,8.9360384643,8.2913248577,10.6253650095,9.89202323,8.6870702279,8.6868107856,8.4963048551,7.8578810471,9.835665925,10.3710543423,8.9820096768,9.8349037366,8.5031720465,
PE,26,Pernambuco,8.2645197051,8.8415643668,6.190753481,8.7146134751,9.4773282184,9.0448181535,11.1114793404,11.3790689932,11.005399803,11.9265419984,12.4756508899,12.68598052,11.2950465899,12.9813614718,10.7440265778,13.0949003744,9.541980938,10.286552892,9.0949883501,9.4699750116,
PI,22,Piauí,4.4859060351,3.1218957036,2.7098643018,4.5231021118,4.9062994596,5.7308392102,4.4193131563,6.3405314032,5.9047906273,6.4420203817,4.9913671759,6.8309936996,5.2534267415,4.6099283341,5.006109278,5.2088517126,7.0373371983,5.621331322,6.9871935706,6.0102804214,
PR,41,Paraná,6.0546558145,5.3750509249,6.3641254251,6.104888643,7.4510478025,8.4295853148,9.9386772295,8.4767526181,7.7044727463,8.102745308,6.8050610901,7.4975690424,7.3562686337,6.2205701168,4.9961353128,6.7962411342,4.9938594438,4.8849068478,4.5133124893,4.6201820818,
RJ,33,Rio de Janeiro,7.1656731871,8.0109365517,7.5117592729,8.5936776068,9.4084315987,10.9495540414,11.4824357553,12.4601442612,11.7121955601,13.0415763404,11.6274634465,12.8625972811,11.9267021451,10.2990812888,9.6575909828,9.2489505959,8.2631482924,6.8291569579,7.6263969433,8.0924999266,
RN,24,Rio Grande do Norte,8.1963422525,7.6811984457,7.3199096445,6.4967557061,10.0882927548,8.1092049296,10.2676472725,9.0641109967,7.2557088579,10.4330831545,9.5503401328,11.9776553297,9.7256049922,10.0495576055,8.6324996792,11.6935921536,10.5261119369,8.1171632059,11.819039692,12.1394286721,
RO,11,Rondônia,7.4314122991,7.2505494359,7.6595314839,5.6257850544,6.5510332526,6.5425437079,9.4252851259,9.0237895937,6.8787887412,9.7200834375,6.1489939779,7.6810389441,7.7170307443,8.3670929006,8.0529841745,9.121725941,4.212619561,6.3937666643,6.1011277571,5.4139813673,
RR,14,Roraima,6.6986022912,5.913454849,13.7278365372,13.094003368,3.7053571429,7.5103242532,7.497685298,8.8604948698,5.8989895206,11.9182263085,10.6696605255,16.8945127554,9.9083430661,12.0740987819,7.3503769585,11.3186737437,9.7683214637,10.17850671,7.9567942392,8.2436127086,
RS,43,Rio Grande do Sul,5.1546450091,4.8515672686,5.9333023149,6.8507937921,7.9954067373,8.6339845433,8.4440234703,7.6279019223,7.7083141533,8.1249785781,6.7747671823,7.2067647267,6.9246765604,7.3290155962,6.0811813784,6.6920419243,5.0146840245,4.9581175117,4.8234969218,5.0044475907,
SC,42,Santa Catarina,4.2607275367,3.3482434516,3.6427412491,4.4497503888,4.9930377676,7.5906606466,8.1238697744,4.4939701995,4.9902867955,6.0531108018,4.6856920066,4.908418076,5.1631349989,5.1966850799,4.7478731985,5.6479605094,3.6056575598,3.1447181184,3.3626215654,3.1338422718,
SE,28,Sergipe,7.4379297202,9.9223450968,7.6359999884,9.2985012805,7.3063694004,11.4156078915,10.1966624885,12.7434668316,10.9882063723,10.126809694,11.1094226835,13.9752647281,10.2924574786,9.7697204809,8.4265304051,12.0057476323,8.9570125605,8.5027183626,9.3214360655,8.6521608021,
SP,35,São Paulo,8.8106222392,7.8272880809,8.021069753,9.054236259,10.5572593672,12.7614223454,12.9201092293,11.4516312438,11.8193510303,12.596527291,11.5109592635,11.7613619462,10.2250328785,9.5210331529,8.1928059286,9.8006797258,7.1464083748,6.3747501334,6.6684425882,7.8965071364,
TO,17,Tocantins,6.1001752559,5.3000973802,7.5996512465,6.0206965937,8.6740819363,6.5501945902,6.0784579525,6.9554014161,8.6346148858,8.0650733331,5.5117554543,7.0985834807,6.9111471443,6.8309930842,6.4944623581,7.883585098,7.3286521524,6.470417399,7.0629617022,6.4419049872,
