,Rio de Janeiro - Desemprego
2003-1,8.356511888457344
2003-2,8.350331738774567
2003-3,8.34415158909179
2003-4,8.337971439409014
2003-5,8.331791289726239
2003-6,8.325611140043462
2003-7,8.319430990360685
2003-8,8.313250840677908
2003-9,8.30707069099513
2003-10,8.300890541312356
2003-11,8.294710391629579
2003-12,8.288530241946802
2004-1,8.282350092264025
2004-2,8.280467837896708
2004-3,8.278585583529393
2004-4,8.276703329162077
2004-5,8.274821074794762
2004-6,8.272938820427445
2004-7,8.271056566060128
2004-8,8.269174311692813
2004-9,8.267292057325497
2004-10,8.265409802958182
2004-11,8.263527548590865
2004-12,8.26164529422355
2005-1,8.259763039856233
2005-2,8.251898787589614
2005-3,8.244034535322994
2005-4,8.236170283056374
2005-5,8.228306030789753
2005-6,8.220441778523133
2005-7,8.212577526256513
2005-8,8.204713273989894
2005-9,8.196849021723274
2005-10,8.188984769456653
2005-11,8.181120517190033
2005-12,8.173256264923413
2006-1,8.165392012656794
2006-2,8.163197529142245
2006-3,8.161003045627695
2006-4,8.158808562113146
2006-5,8.156614078598595
2006-6,8.154419595084047
2006-7,8.152225111569496
2006-8,8.150030628054948
2006-9,8.147836144540399
2006-10,8.145641661025849
2006-11,8.1434471775113
2006-12,8.14125269399675
2007-1,8.139058210482201
2007-2,8.136316980557707
2007-3,8.133575750633213
2007-4,8.130834520708719
2007-5,8.128093290784225
2007-6,8.125352060859731
2007-7,8.122610830935237
2007-8,8.119869601010745
2007-9,8.11712837108625
2007-10,8.114387141161757
2007-11,8.111645911237263
2007-12,8.108904681312769
2008-1,8.106163451388275
2008-2,8.108538261610104
2008-3,8.11091307183193
2008-4,8.11328788205376
2008-5,8.115662692275587
2008-6,8.118037502497415
2008-7,8.120412312719242
2008-8,8.122787122941071
2008-9,8.1251619331629
2008-10,8.127536743384727
2008-11,8.129911553606556
2008-12,8.132286363828383
2009-1,8.134661174050212
2009-2,8.131618336983788
2009-3,8.128575499917362
2009-4,8.125532662850938
2009-5,8.122489825784514
2009-6,8.119446988718089
2009-7,8.116404151651665
2009-8,8.11336131458524
2009-9,8.110318477518815
2009-10,8.107275640452391
2009-11,8.104232803385967
2009-12,8.101189966319541
2010-1,8.098147129253118
2010-2,8.097008132833121
2010-3,8.095869136413123
2010-4,8.094730139993127
2010-5,8.09359114357313
2010-6,8.092452147153132
2010-7,8.091313150733136
2010-8,8.09017415431314
2010-9,8.089035157893141
2010-10,8.087896161473145
2010-11,8.086757165053148
2010-12,8.08561816863315
2011-1,8.084479172213154
2011-2,8.23505058124423
2011-3,8.385621990275308
2011-4,8.536193399306386
2011-5,8.686764808337463
2011-6,8.83733621736854
2011-7,8.987907626399618
2011-8,9.138479035430695
2011-9,9.289050444461772
2011-10,9.439621853492849
2011-11,9.590193262523925
2011-12,9.740764671555004
2012-1,9.89133608058608
2012-2,9.980516304566038
2012-3,10.069696528545997
2012-4,10.158876752525956
2012-5,10.248056976505913
