Ano,Alagoas - Desemprego
2008,8.543034583824518
2009,8.571316252166023
2010,8.539867704900752
2011,8.526851768462652
2012,12.945390516890518
2013,13.577909641651194
2014,14.169212678034246
2015,14.659463841447764
2016,14.776623181072734
2017,14.347557296450454
2018,14.104975334874132
2019,13.904156488716136
2020,13.726047131624773
2021,13.45056127706579
2022,13.470373256132259
