,São Paulo - Desemprego
2003-1,8.3103353115485
2003-2,8.304194156096585
2003-3,8.29805300064467
2003-4,8.291911845192756
2003-5,8.28577068974084
2003-6,8.279629534288926
2003-7,8.273488378837012
2003-8,8.267347223385096
2003-9,8.261206067933182
2003-10,8.255064912481267
2003-11,8.248923757029353
2003-12,8.242782601577437
2004-1,8.236641446125523
2004-2,8.23463183030726
2004-3,8.232622214488996
2004-4,8.230612598670733
2004-5,8.22860298285247
2004-6,8.226593367034207
2004-7,8.224583751215944
2004-8,8.22257413539768
2004-9,8.220564519579417
2004-10,8.218554903761154
2004-11,8.21654528794289
2004-12,8.214535672124628
2005-1,8.212526056306364
2005-2,8.205354393802207
2005-3,8.198182731298047
2005-4,8.191011068793888
2005-5,8.18383940628973
2005-6,8.176667743785572
2005-7,8.169496081281412
2005-8,8.162324418777253
2005-9,8.155152756273095
2005-10,8.147981093768937
2005-11,8.140809431264778
2005-12,8.133637768760618
2006-1,8.12646610625646
2006-2,8.12436555252912
2006-3,8.12226499880178
2006-4,8.12016444507444
2006-5,8.118063891347099
2006-6,8.115963337619759
2006-7,8.113862783892419
2006-8,8.111762230165079
2006-9,8.109661676437739
2006-10,8.107561122710397
2006-11,8.105460568983057
2006-12,8.103360015255717
2007-1,8.101259461528377
2007-2,8.098759760625146
2007-3,8.096260059721917
2007-4,8.093760358818686
2007-5,8.091260657915457
2007-6,8.088760957012227
2007-7,8.086261256108997
2007-8,8.083761555205767
2007-9,8.081261854302536
2007-10,8.078762153399307
2007-11,8.076262452496076
2007-12,8.073762751592847
2008-1,8.071263050689616
2008-2,8.073685046201604
2008-3,8.076107041713593
2008-4,8.078529037225582
2008-5,8.08095103273757
2008-6,8.083373028249557
2008-7,8.085795023761547
2008-8,8.088217019273536
2008-9,8.090639014785523
2008-10,8.093061010297511
2008-11,8.0954830058095
2008-12,8.09790500132149
2009-1,8.100326996833477
2009-2,8.097372024979004
2009-3,8.094417053124529
2009-4,8.091462081270056
2009-5,8.088507109415582
2009-6,8.085552137561107
2009-7,8.082597165706634
2009-8,8.07964219385216
2009-9,8.076687221997686
2009-10,8.073732250143212
2009-11,8.07077727828874
2009-12,8.067822306434264
2010-1,8.064867334579791
2010-2,8.06389293632563
2010-3,8.062918538071468
2010-4,8.061944139817307
2010-5,8.060969741563143
2010-6,8.059995343308982
2010-7,8.05902094505482
2010-8,8.058046546800659
2010-9,8.057072148546498
2010-10,8.056097750292334
2010-11,8.055123352038173
2010-12,8.054148953784011
2011-1,8.05317455552985
2011-2,8.220283703442723
2011-3,8.387392851355596
2011-4,8.55450199926847
2011-5,8.721611147181344
2011-6,8.888720295094217
2011-7,9.05582944300709
2011-8,9.222938590919963
2011-9,9.390047738832836
2011-10,9.557156886745709
2011-11,9.724266034658584
2011-12,9.891375182571457
2012-1,10.05848433048433
2012-2,10.123825040659955
2012-3,10.189165750835581
2012-4,10.254506461011205
2012-5,10.319847171186831
2012-6,10.385187881362457
2012-7,10.450528591538081
2012-8,10.515869301713707
2012-9,10.581210011889333
2012-10,10.646550722064958
2012-11,10.711891432240584
2012-12,10.777232142416208
2013-1,10.842572852591834
2013-2,10.890341773770244
2013-3,10.938110694948652
2013-4,10.985879616127061
2013-5,11.03364853730547
2013-6,11.08141745848388
2013-7,11.12918637966229
2013-8,11.176955300840698
2013-9,11.224724222019107
2013-10,11.272493143197517
2013-11,11.320262064375925
2013-12,11.368030985554334
2014-1,11.415799906732744
2014-2,11.453287078655888
2014-3,11.490774250579033
2014-4,11.528261422502176
2014-5,11.56574859442532
2014-6,11.603235766348465
2014-7,11.640722938271608
2014-8,11.678210110194753
2014-9,11.715697282117898
2014-10,11.753184454041042
2014-11,11.790671625964187
2014-12,11.82815879788733
2015-1,11.865645969810474
2015-2,11.86638097531934
2015-3,11.867115980828205
2015-4,11.86785098633707
2015-5,11.868585991845935
2015-6,11.8693209973548
2015-7,11.870056002863667
2015-8,11.870791008372532
2015-9,11.871526013881397
2015-10,11.872261019390262
2015-11,11.872996024899127
2015-12,11.873731030407992
2016-1,11.874466035916857
2016-2,11.842153505562866
2016-3,11.809840975208873
2016-4,11.77752844485488
2016-5,11.74521591450089
2016-6,11.712903384146898
2016-7,11.680590853792905
2016-8,11.648278323438912
2016-9,11.615965793084921
2016-10,11.58365326273093
2016-11,11.551340732376937
2016-12,11.519028202022945
2017-1,11.486715671668954
2017-2,11.472763773642718
2017-3,11.458811875616481
2017-4,11.444859977590246
2017-5,11.43090807956401
2017-6,11.416956181537774
2017-7,11.403004283511539
2017-8,11.389052385485302
2017-9,11.375100487459067
2017-10,11.36114858943283
2017-11,11.347196691406594
2017-12,11.333244793380358
2018-1,11.319292895354122
2018-2,11.30925814392961
2018-3,11.299223392505098
2018-4,11.289188641080585
2018-5,11.279153889656074
2018-6,11.269119138231561
2018-7,11.25908438680705
2018-8,11.249049635382537
2018-9,11.239014883958024
2018-10,11.228980132533513
2018-11,11.218945381109
2018-12,11.208910629684489
2019-1,11.198875878259976
2019-2,11.18600962848095
2019-3,11.173143378701923
2019-4,11.160277128922896
2019-5,11.147410879143871
2019-6,11.134544629364845
2019-7,11.121678379585818
2019-8,11.108812129806791
2019-9,11.095945880027765
