Ano,Pernambuco - Desemprego
2014,13.857508812184033
2015,14.543115431836322
2016,14.833751279516711
2017,14.580259344603983
2018,14.328297255311773
2019,14.284157448363324
2020,14.265196132447736
2021,14.24042911214708
2022,14.265103359653057
