,Bahia - Desemprego
2003-1,8.3487785117798
2003-2,8.342978600113659
2003-3,8.337178688447517
2003-4,8.331378776781376
2003-5,8.325578865115235
2003-6,8.319778953449093
2003-7,8.313979041782952
2003-8,8.30817913011681
2003-9,8.30237921845067
2003-10,8.296579306784528
2003-11,8.290779395118387
2003-12,8.284979483452245
2004-1,8.279179571786104
2004-2,8.276754329261738
2004-3,8.274329086737374
2004-4,8.271903844213009
2004-5,8.269478601688643
2004-6,8.267053359164278
2004-7,8.264628116639912
2004-8,8.262202874115548
2004-9,8.259777631591183
2004-10,8.257352389066817
2004-11,8.254927146542453
2004-12,8.252501904018088
2005-1,8.250076661493722
2005-2,8.242932573338733
2005-3,8.235788485183743
2005-4,8.228644397028754
2005-5,8.221500308873765
2005-6,8.214356220718775
2005-7,8.207212132563786
2005-8,8.200068044408795
2005-9,8.192923956253805
2005-10,8.185779868098816
2005-11,8.178635779943827
2005-12,8.171491691788837
2006-1,8.164347603633848
2006-2,8.161992165430814
2006-3,8.159636727227777
2006-4,8.157281289024743
2006-5,8.154925850821709
2006-6,8.152570412618674
2006-7,8.15021497441564
2006-8,8.147859536212604
2006-9,8.14550409800957
2006-10,8.143148659806535
2006-11,8.140793221603499
2006-12,8.138437783400464
2007-1,8.13608234519743
2007-2,8.133304178465226
2007-3,8.130526011733021
2007-4,8.127747845000819
2007-5,8.124969678268615
2007-6,8.12219151153641
2007-7,8.119413344804206
2007-8,8.116635178072002
2007-9,8.113857011339798
2007-10,8.111078844607594
2007-11,8.108300677875391
2007-12,8.105522511143187
2008-1,8.102744344410983
2008-2,8.104956695508152
2008-3,8.107169046605321
2008-4,8.10938139770249
2008-5,8.11159374879966
2008-6,8.113806099896829
2008-7,8.116018450993998
2008-8,8.118230802091166
2008-9,8.120443153188335
2008-10,8.122655504285504
2008-11,8.124867855382673
2008-12,8.127080206479842
2009-1,8.129292557577012
2009-2,8.126466901908204
2009-3,8.123641246239396
2009-4,8.12081559057059
2009-5,8.117989934901782
2009-6,8.115164279232975
2009-7,8.112338623564167
2009-8,8.109512967895359
2009-9,8.106687312226551
2009-10,8.103861656557743
2009-11,8.101036000888937
2009-12,8.09821034522013
2010-1,8.095384689551322
2010-2,8.094507413799786
2010-3,8.093630138048248
2010-4,8.092752862296711
2010-5,8.091875586545173
2010-6,8.090998310793637
2010-7,8.090121035042099
2010-8,8.089243759290563
2010-9,8.088366483539026
2010-10,8.087489207787488
2010-11,8.086611932035952
2010-12,8.085734656284414
2011-1,8.084857380532878
2011-2,8.540728172014045
2011-3,8.996598963495211
2011-4,9.452469754976379
2011-5,9.908340546457545
2011-6,10.364211337938713
