,Bahia - Desemprego
2011-7,10.82008212941988
2011-8,11.275952920901046
2011-9,11.731823712382214
2011-10,12.18769450386338
2011-11,12.643565295344548
2011-12,13.099436086825715
2012-1,13.555306878306881
2012-2,13.623467636840639
2012-3,13.691628395374394
2012-4,13.759789153908152
2012-5,13.827949912441909
2012-6,13.896110670975665
2012-7,13.964271429509422
2012-8,14.03243218804318
2012-9,14.100592946576935
2012-10,14.168753705110692
2012-11,14.23691446364445
2012-12,14.305075222178205
2013-1,14.373235980711963
2013-2,14.433981685713771
2013-3,14.494727390715582
2013-4,14.55547309571739
2013-5,14.6162188007192
2013-6,14.67696450572101
2013-7,14.737710210722819
2013-8,14.798455915724627
2013-9,14.859201620726438
2013-10,14.919947325728247
2013-11,14.980693030730055
2013-12,15.041438735731866
2014-1,15.102184440733675
2014-2,15.147381185335055
2014-3,15.192577929936434
2014-4,15.237774674537814
2014-5,15.282971419139193
2014-6,15.328168163740573
2014-7,15.373364908341951
2014-8,15.418561652943332
2014-9,15.463758397544712
2014-10,15.50895514214609
2014-11,15.554151886747471
2014-12,15.59934863134885
2015-1,15.64454537595023
2015-2,15.661853349288895
2015-3,15.67916132262756
2015-4,15.696469295966228
2015-5,15.713777269304893
2015-6,15.731085242643559
2015-7,15.748393215982226
2015-8,15.765701189320891
2015-9,15.783009162659557
2015-10,15.800317135998222
2015-11,15.817625109336888
2015-12,15.834933082675555
2016-1,15.85224105601422
2016-2,15.83386841641568
2016-3,15.815495776817139
2016-4,15.797123137218598
2016-5,15.77875049762006
2016-6,15.760377858021519
2016-7,15.742005218422978
2016-8,15.723632578824438
2016-9,15.705259939225897
2016-10,15.686887299627358
2016-11,15.668514660028817
2016-12,15.650142020430277
2017-1,15.631769380831736
2017-2,15.628356824963156
2017-3,15.624944269094577
2017-4,15.621531713225997
2017-5,15.618119157357418
2017-6,15.614706601488837
2017-7,15.611294045620259
2017-8,15.607881489751678
2017-9,15.604468933883098
2017-10,15.601056378014519
2017-11,15.597643822145939
2017-12,15.59423126627736
2018-1,15.59081871040878
2018-2,15.58955053410756
2018-3,15.588282357806342
2018-4,15.587014181505126
2018-5,15.585746005203907
2018-6,15.584477828902688
2018-7,15.58320965260147
2018-8,15.581941476300251
2018-9,15.580673299999033
2018-10,15.579405123697814
2018-11,15.578136947396597
2018-12,15.576868771095379
2019-1,15.57560059479416
2019-2,15.570592802254577
2019-3,15.565585009714995
2019-4,15.560577217175412
2019-5,15.555569424635829
2019-6,15.550561632096247
2019-7,15.545553839556664
2019-8,15.54054604701708
2019-9,15.5355382544775
2019-10,15.530530461937916
2019-11,15.525522669398333
2019-12,15.520514876858751
2020-1,15.515507084319168
2020-2,15.509199975389306
2020-3,15.502892866459442
2020-4,15.49658575752958
2020-5,15.490278648599716
2020-6,15.483971539669854
2020-7,15.477664430739992
2020-8,15.471357321810128
2020-9,15.465050212880266
2020-10,15.458743103950402
2020-11,15.45243599502054
2020-12,15.446128886090676
2021-1,15.439821777160814
2021-2,15.437918665404624
2021-3,15.436015553648431
2021-4,15.434112441892239
2021-5,15.432209330136049
2021-6,15.430306218379858
2021-7,15.428403106623666
2021-8,15.426499994867473
2021-9,15.424596883111283
2021-10,15.422693771355092
2021-11,15.4207906595989
2021-12,15.418887547842708
2022-1,15.416984436086517
