Ano,Mato Grosso
2014,7.495400530139395
2015,7.838256458772852
2016,7.730866936586208
2017,7.251142586907594
2018,7.109464637507791
2019,7.037990886294342
2020,6.87114222496693
2021,6.623656770276929
2022,6.630924750183608
