Ano,Rio Grande do Sul - Desemprego
2008,7.956795015273343
2009,7.9850373032086965
2010,7.949438580325478
2011,7.936697561621946
2012,6.613682336182337
2013,7.062492057493449
2014,7.423718166239356
2015,7.683986234664566
2016,7.674279256316089
2017,7.40424176193387
2018,7.324869016022528
2019,7.291977924104964
2020,7.174482891040625
2021,7.034975165155963
2022,7.026740428308176
