Ano,Paraíba - Desemprego
2014,10.857996708918037
2015,11.087922901279846
2016,11.207329176273609
2017,11.081900635107463
2018,11.111648267657547
2019,11.192075644891085
2020,11.185263290619428
2021,11.146894648150242
2022,11.108223833429935
