,Sergipe - Desemprego
2003-1,8.389943455815388
2003-2,8.38406672399717
2003-3,8.378189992178955
2003-4,8.372313260360738
2003-5,8.36643652854252
2003-6,8.360559796724305
2003-7,8.354683064906087
2003-8,8.34880633308787
2003-9,8.342929601269654
2003-10,8.337052869451437
2003-11,8.33117613763322
2003-12,8.325299405815004
2004-1,8.319422673996787
2004-2,8.317314123112704
2004-3,8.31520557222862
2004-4,8.313097021344536
2004-5,8.310988470460453
2004-6,8.30887991957637
2004-7,8.306771368692285
2004-8,8.304662817808202
2004-9,8.302554266924119
2004-10,8.300445716040036
2004-11,8.298337165155953
2004-12,8.296228614271868
2005-1,8.294120063387785
2005-2,8.28664462573672
2005-3,8.279169188085653
2005-4,8.271693750434588
2005-5,8.264218312783521
2005-6,8.256742875132456
2005-7,8.24926743748139
2005-8,8.241791999830324
2005-9,8.23431656217926
2005-10,8.226841124528192
2005-11,8.219365686877127
2005-12,8.21189024922606
2006-1,8.204414811574996
2006-2,8.202372718547565
2006-3,8.200330625520133
2006-4,8.198288532492702
2006-5,8.19624643946527
2006-6,8.19420434643784
2006-7,8.192162253410409
2006-8,8.190120160382977
2006-9,8.188078067355546
2006-10,8.186035974328114
2006-11,8.183993881300683
2006-12,8.18195178827325
2007-1,8.17990969524582
2007-2,8.177519671910517
2007-3,8.175129648575215
2007-4,8.172739625239911
2007-5,8.17034960190461
2007-6,8.167959578569306
2007-7,8.165569555234004
2007-8,8.1631795318987
2007-9,8.160789508563397
2007-10,8.158399485228095
2007-11,8.156009461892792
2007-12,8.15361943855749
2008-1,8.151229415222186
2008-2,8.153775275313086
2008-3,8.156321135403985
2008-4,8.158866995494883
2008-5,8.161412855585782
2008-6,8.163958715676682
2008-7,8.166504575767581
2008-8,8.16905043585848
2008-9,8.17159629594938
2008-10,8.17414215604028
2008-11,8.176688016131177
2008-12,8.179233876222076
2009-1,8.181779736312976
2009-2,8.178756283971456
2009-3,8.175732831629938
2009-4,8.172709379288419
2009-5,8.169685926946899
2009-6,8.166662474605381
2009-7,8.163639022263862
2009-8,8.160615569922342
2009-9,8.157592117580824
2009-10,8.154568665239305
2009-11,8.151545212897785
2009-12,8.148521760556267
2010-1,8.145498308214748
2010-2,8.144441703066615
2010-3,8.143385097918483
2010-4,8.14232849277035
2010-5,8.141271887622215
2010-6,8.140215282474083
2010-7,8.13915867732595
2010-8,8.138102072177817
2010-9,8.137045467029685
2010-10,8.13598886188155
2010-11,8.134932256733418
2010-12,8.133875651585285
2011-1,8.132819046437152
2011-2,8.441137917787849
2011-3,8.749456789138543
2011-4,9.05777566048924
2011-5,9.366094531839936
2011-6,9.67441340319063
2011-7,9.982732274541327
2011-8,10.291051145892023
2011-9,10.599370017242718
2011-10,10.907688888593414
2011-11,11.216007759944109
2011-12,11.524326631294805
2012-1,11.832645502645502
2012-2,11.89080452926765
2012-3,11.948963555889797
2012-4,12.007122582511947
2012-5,12.065281609134095
2012-6,12.123440635756243
2012-7,12.18159966237839
2012-8,12.239758689000539
2012-9,12.297917715622686
2012-10,12.356076742244834
2012-11,12.414235768866984
2012-12,12.472394795489132
2013-1,12.53055382211128
2013-2,12.577993579703428
2013-3,12.625433337295577
2013-4,12.672873094887725
2013-5,12.720312852479873
2013-6,12.767752610072023
2013-7,12.81519236766417
2013-8,12.862632125256319
2013-9,12.910071882848468
2013-10,12.957511640440616
2013-11,13.004951398032764
2013-12,13.052391155624914
2014-1,13.099830913217062
2014-2,13.141978785827712
2014-3,13.184126658438363
2014-4,13.226274531049015
2014-5,13.268422403659665
2014-6,13.310570276270315
2014-7,13.352718148880966
2014-8,13.394866021491616
2014-9,13.437013894102266
2014-10,13.479161766712917
2014-11,13.521309639323569
2014-12,13.56345751193422
2015-1,13.60560538454487
2015-2,13.632600632073613
2015-3,13.659595879602358
2015-4,13.686591127131102
2015-5,13.713586374659846
2015-6,13.740581622188591
2015-7,13.767576869717335
2015-8,13.794572117246078
2015-9,13.821567364774824
2015-10,13.848562612303567
2015-11,13.87555785983231
2015-12,13.902553107361056
2016-1,13.9295483548898
2016-2,13.912533819909665
2016-3,13.895519284929529
2016-4,13.878504749949395
2016-5,13.861490214969258
2016-6,13.844475679989124
2016-7,13.82746114500899
2016-8,13.810446610028853
2016-9,13.793432075048718
2016-10,13.776417540068582
2016-11,13.759403005088448
2016-12,13.742388470108311
2017-1,13.725373935128177
2017-2,13.718172907723156
2017-3,13.710971880318136
2017-4,13.703770852913117
2017-5,13.696569825508096
2017-6,13.689368798103075
2017-7,13.682167770698054
2017-8,13.674966743293034
2017-9,13.667765715888013
2017-10,13.660564688482992
2017-11,13.653363661077973
2017-12,13.646162633672953
2018-1,13.638961606267932
2018-2,13.62893265551268
2018-3,13.618903704757427
2018-4,13.608874754002173
2018-5,13.59884580324692
2018-6,13.588816852491668
2018-7,13.578787901736415
2018-8,13.568758950981163
2018-9,13.55873000022591
2018-10,13.548701049470658
2018-11,13.538672098715404
2018-12,13.528643147960151
2019-1,13.518614197204899
2019-2,13.511106737851984
2019-3,13.503599278499067
2019-4,13.496091819146152
2019-5,13.488584359793236
2019-6,13.481076900440321
2019-7,13.473569441087406
2019-8,13.466061981734489
2019-9,13.458554522381574
2019-10,13.451047063028659
2019-11,13.443539603675742
2019-12,13.436032144322827
2020-1,13.428524684969911
2020-2,13.422328930355336
2020-3,13.416133175740763
2020-4,13.409937421126187
2020-5,13.403741666511614
2020-6,13.397545911897039
2020-7,13.391350157282464
2020-8,13.38515440266789
2020-9,13.378958648053315
2020-10,13.372762893438741
2020-11,13.366567138824166
2020-12,13.360371384209593
2021-1,13.354175629595018
2021-2,13.355891105713203
2021-3,13.357606581831389
2021-4,13.359322057949575
2021-5,13.36103753406776
2021-6,13.362753010185946
2021-7,13.364468486304133
2021-8,13.366183962422319
2021-9,13.367899438540505
2021-10,13.36961491465869
2021-11,13.371330390776876
2021-12,13.373045866895062
2022-1,13.374761343013247
