,Roraima - Desemprego
2020-3,9.832750077259387
2020-4,9.799811916014647
2020-5,9.766873754769907
2020-6,9.733935593525167
2020-7,9.700997432280428
2020-8,9.668059271035688
2020-9,9.635121109790948
2020-10,9.602182948546208
2020-11,9.569244787301468
2020-12,9.536306626056728
2021-1,9.503368464811988
2021-2,9.515076514956274
2021-3,9.52678456510056
2021-4,9.538492615244845
2021-5,9.55020066538913
2021-6,9.561908715533416
2021-7,9.573616765677702
2021-8,9.58532481582199
2021-9,9.597032865966275
2021-10,9.60874091611056
2021-11,9.620448966254846
2021-12,9.632157016399132
2022-1,9.643865066543418
