,Acre - Desemprego
2003-1,8.722906022641007
2003-2,8.718027644539344
2003-3,8.713149266437682
2003-4,8.70827088833602
2003-5,8.703392510234357
2003-6,8.698514132132694
2003-7,8.693635754031032
2003-8,8.68875737592937
2003-9,8.683878997827707
2003-10,8.679000619726043
2003-11,8.674122241624382
2003-12,8.66924386352272
2004-1,8.664365485421056
2004-2,8.66167036734271
2004-3,8.658975249264365
2004-4,8.65628013118602
2004-5,8.653585013107675
2004-6,8.650889895029328
2004-7,8.648194776950984
2004-8,8.645499658872637
2004-9,8.642804540794291
2004-10,8.640109422715947
2004-11,8.6374143046376
2004-12,8.634719186559256
2005-1,8.63202406848091
2005-2,8.625415058049564
2005-3,8.618806047618216
2005-4,8.61219703718687
2005-5,8.605588026755525
2005-6,8.598979016324177
2005-7,8.592370005892832
2005-8,8.585760995461486
2005-9,8.579151985030139
2005-10,8.572542974598793
2005-11,8.565933964167447
2005-12,8.5593249537361
2006-1,8.552715943304754
2006-2,8.551858724866158
2006-3,8.55100150642756
2006-4,8.550144287988964
2006-5,8.549287069550367
2006-6,8.54842985111177
2006-7,8.547572632673173
2006-8,8.546715414234578
2006-9,8.545858195795981
2006-10,8.545000977357384
2006-11,8.544143758918787
2006-12,8.54328654048019
2007-1,8.542429322041594
2007-2,8.540115160202916
2007-3,8.53780099836424
2007-4,8.535486836525564
2007-5,8.533172674686886
2007-6,8.530858512848209
2007-7,8.528544351009533
2007-8,8.526230189170857
2007-9,8.523916027332179
2007-10,8.521601865493501
2007-11,8.519287703654825
2007-12,8.51697354181615
2008-1,8.514659379977472
2008-2,8.516969935364228
2008-3,8.519280490750983
2008-4,8.52159104613774
2008-5,8.523901601524496
2008-6,8.526212156911253
2008-7,8.52852271229801
2008-8,8.530833267684764
2008-9,8.533143823071521
2008-10,8.535454378458278
2008-11,8.537764933845033
2008-12,8.54007548923179
2009-1,8.542386044618546
2009-2,8.540045114353397
2009-3,8.537704184088248
2009-4,8.5353632538231
2009-5,8.533022323557951
2009-6,8.530681393292802
2009-7,8.528340463027654
2009-8,8.525999532762503
2009-9,8.523658602497354
2009-10,8.521317672232206
2009-11,8.518976741967057
2009-12,8.516635811701908
2010-1,8.51429488143676
2010-2,8.513169503890452
2010-3,8.512044126344145
2010-4,8.510918748797838
2010-5,8.509793371251531
2010-6,8.508667993705224
2010-7,8.507542616158917
2010-8,8.50641723861261
2010-9,8.505291861066302
2010-10,8.504166483519995
2010-11,8.503041105973688
2010-12,8.501915728427381
2011-1,8.500790350881074
2011-2,8.65360319370719
2011-3,8.806416036533307
2011-4,8.959228879359422
2011-5,9.112041722185538
2011-6,9.264854565011653
2011-7,9.417667407837769
2011-8,9.570480250663886
2011-9,9.723293093490001
2011-10,9.876105936316117
2011-11,10.028918779142234
2011-12,10.18173162196835
2012-1,10.334544464794465
2012-2,10.400221395391823
2012-3,10.46589832598918
2012-4,10.531575256586537
2012-5,10.597252187183894
2012-6,10.662929117781252
2012-7,10.728606048378609
2012-8,10.794282978975966
2012-9,10.859959909573323
2012-10,10.92563684017068
2012-11,10.991313770768038
2012-12,11.056990701365395
2013-1,11.122667631962752
2013-2,11.168023561149775
2013-3,11.213379490336798
2013-4,11.25873541952382
2013-5,11.304091348710843
2013-6,11.349447277897866
2013-7,11.394803207084887
2013-8,11.44015913627191
2013-9,11.485515065458934
2013-10,11.530870994645957
2013-11,11.57622692383298
2013-12,11.621582853020001
2014-1,11.666938782207025
2014-2,11.706333067459138
2014-3,11.745727352711253
2014-4,11.785121637963368
2014-5,11.82451592321548
2014-6,11.863910208467594
2014-7,11.903304493719709
2014-8,11.942698778971824
2014-9,11.982093064223937
2014-10,12.02148734947605
2014-11,12.060881634728165
2014-12,12.10027591998028
2015-1,12.139670205232393
2015-2,12.166203672399796
2015-3,12.192737139567198
2015-4,12.2192706067346
2015-5,12.245804073902002
2015-6,12.272337541069405
2015-7,12.298871008236805
2015-8,12.325404475404207
2015-9,12.35193794257161
2015-10,12.378471409739012
2015-11,12.405004876906414
2015-12,12.431538344073816
2016-1,12.458071811241219
2016-2,12.44038169905179
2016-3,12.422691586862358
2016-4,12.405001474672929
2016-5,12.3873113624835
2016-6,12.369621250294069
2016-7,12.35193113810464
2016-8,12.33424102591521
2016-9,12.316550913725779
2016-10,12.29886080153635
2016-11,12.28117068934692
2016-12,12.26348057715749
2017-1,12.24579046496806
2017-2,12.237715060864106
2017-3,12.229639656760154
2017-4,12.2215642526562
2017-5,12.213488848552247
2017-6,12.205413444448295
2017-7,12.197338040344341
2017-8,12.189262636240388
2017-9,12.181187232136436
2017-10,12.173111828032482
2017-11,12.165036423928528
2017-12,12.156961019824577
2018-1,12.148885615720623
2018-2,12.140289605698108
2018-3,12.131693595675593
2018-4,12.123097585653078
2018-5,12.114501575630563
2018-6,12.105905565608047
2018-7,12.097309555585532
2018-8,12.088713545563015
2018-9,12.0801175355405
2018-10,12.071521525517985
2018-11,12.06292551549547
2018-12,12.054329505472955
2019-1,12.04573349545044
2019-2,12.03403164342351
2019-3,12.02232979139658
2019-4,12.01062793936965
2019-5,11.998926087342719
2019-6,11.98722423531579
2019-7,11.975522383288858
2019-8,11.963820531261929
2019-9,11.952118679235
2019-10,11.940416827208068
2019-11,11.928714975181139
2019-12,11.917013123154208
2020-1,11.905311271127278
2020-2,11.897979847670868
2020-3,11.890648424214458
2020-4,11.883317000758048
2020-5,11.87598557730164
2020-6,11.86865415384523
2020-7,11.86132273038882
2020-8,11.853991306932409
2020-9,11.846659883475999
2020-10,11.83932846001959
2020-11,11.83199703656318
2020-12,11.82466561310677
2021-1,11.81733418965036
2021-2,11.818414780941461
2021-3,11.819495372232563
2021-4,11.820575963523664
2021-5,11.821656554814766
2021-6,11.822737146105867
2021-7,11.823817737396968
2021-8,11.82489832868807
2021-9,11.825978919979171
2021-10,11.827059511270273
2021-11,11.828140102561374
2021-12,11.829220693852475
2022-1,11.830301285143577
