Ano,Rio Grande do Sul - Desemprego
2014,7.423718166239356
2015,7.683986234664566
2016,7.674279256316089
2017,7.40424176193387
2018,7.324869016022528
2019,7.291977924104964
2020,7.174482891040625
2021,7.034975165155963
2022,7.026740428308176
