,Pernambuco - Desemprego
2003-1,8.294029177587007
2003-2,8.288006054153223
2003-3,8.281982930719439
2003-4,8.275959807285656
2003-5,8.26993668385187
2003-6,8.263913560418088
2003-7,8.257890436984304
2003-8,8.25186731355052
2003-9,8.245844190116737
2003-10,8.239821066682952
2003-11,8.233797943249169
2003-12,8.227774819815384
2004-1,8.2217516963816
2004-2,8.219864150809585
2004-3,8.217976605237567
2004-4,8.21608905966555
2004-5,8.214201514093533
2004-6,8.212313968521517
2004-7,8.2104264229495
2004-8,8.208538877377482
2004-9,8.206651331805466
2004-10,8.20476378623345
2004-11,8.202876240661432
2004-12,8.200988695089414
2005-1,8.199101149517398
2005-2,8.191448825916833
2005-3,8.18379650231627
2005-4,8.176144178715704
2005-5,8.168491855115139
2005-6,8.160839531514576
2005-7,8.15318720791401
2005-8,8.145534884313445
2005-9,8.137882560712882
2005-10,8.130230237112317
2005-11,8.122577913511751
2005-12,8.114925589911188
2006-1,8.107273266310623
2006-2,8.105127535514615
2006-3,8.102981804718608
2006-4,8.1008360739226
2006-5,8.098690343126595
2006-6,8.096544612330588
2006-7,8.09439888153458
2006-8,8.092253150738573
2006-9,8.090107419942566
2006-10,8.08796168914656
2006-11,8.085815958350553
2006-12,8.083670227554546
2007-1,8.081524496758538
2007-2,8.078878174347025
2007-3,8.076231851935512
2007-4,8.073585529524
2007-5,8.070939207112485
2007-6,8.068292884700972
2007-7,8.065646562289459
2007-8,8.063000239877946
2007-9,8.060353917466433
2007-10,8.057707595054918
2007-11,8.055061272643405
2007-12,8.052414950231892
2008-1,8.049768627820379
2008-2,8.05214563240484
2008-3,8.0545226369893
2008-4,8.05689964157376
2008-5,8.059276646158223
2008-6,8.061653650742684
2008-7,8.064030655327144
2008-8,8.066407659911604
2008-9,8.068784664496066
2008-10,8.071161669080528
2008-11,8.073538673664988
2008-12,8.075915678249448
2009-1,8.07829268283391
2009-2,8.075283869552994
2009-3,8.072275056272078
2009-4,8.069266242991162
2009-5,8.066257429710246
2009-6,8.06324861642933
2009-7,8.060239803148416
2009-8,8.0572309898675
2009-9,8.054222176586585
2009-10,8.051213363305669
2009-11,8.048204550024753
2009-12,8.045195736743837
2010-1,8.042186923462921
2010-2,8.041078181901923
2010-3,8.039969440340926
2010-4,8.038860698779928
2010-5,8.037751957218932
2010-6,8.036643215657934
2010-7,8.035534474096936
2010-8,8.034425732535938
