,Santa Catarina - Desemprego
2003-1,8.256605689258727
2003-2,8.250731009646879
2003-3,8.24485633003503
2003-4,8.238981650423185
2003-5,8.233106970811336
2003-6,8.227232291199488
2003-7,8.221357611587642
2003-8,8.215482931975794
2003-9,8.209608252363946
2003-10,8.203733572752098
2003-11,8.19785889314025
2003-12,8.191984213528404
2004-1,8.186109533916555
2004-2,8.184061550734455
2004-3,8.182013567552357
2004-4,8.179965584370256
2004-5,8.177917601188156
2004-6,8.175869618006057
2004-7,8.173821634823957
2004-8,8.171773651641857
2004-9,8.169725668459758
2004-10,8.167677685277658
2004-11,8.165629702095558
2004-12,8.16358171891346
2005-1,8.161533735731359
2005-2,8.154276659665005
2005-3,8.14701958359865
2005-4,8.139762507532296
2005-5,8.132505431465944
2005-6,8.12524835539959
2005-7,8.117991279333236
2005-8,8.110734203266881
2005-9,8.103477127200527
2005-10,8.096220051134175
2005-11,8.08896297506782
2005-12,8.081705899001467
2006-1,8.074448822935112
2006-2,8.072390708249547
2006-3,8.070332593563982
2006-4,8.068274478878417
2006-5,8.066216364192853
2006-6,8.064158249507287
2006-7,8.062100134821723
2006-8,8.060042020136157
2006-9,8.057983905450591
2006-10,8.055925790765027
2006-11,8.053867676079461
2006-12,8.051809561393897
2007-1,8.049751446708331
2007-2,8.047348387548142
2007-3,8.044945328387955
2007-4,8.042542269227766
2007-5,8.040139210067577
2007-6,8.03773615090739
2007-7,8.035333091747201
2007-8,8.032930032587013
2007-9,8.030526973426825
2007-10,8.028123914266637
2007-11,8.025720855106448
2007-12,8.02331779594626
2008-1,8.020914736786072
2008-2,8.023333147293442
2008-3,8.025751557800815
2008-4,8.028169968308186
2008-5,8.030588378815558
2008-6,8.033006789322929
2008-7,8.0354251998303
2008-8,8.037843610337672
2008-9,8.040262020845043
2008-10,8.042680431352416
2008-11,8.045098841859787
2008-12,8.04751725236716
2009-1,8.04993566287453
2009-2,8.046919419603302
2009-3,8.043903176332075
2009-4,8.040886933060847
2009-5,8.037870689789619
2009-6,8.034854446518391
2009-7,8.031838203247162
2009-8,8.028821959975934
2009-9,8.025805716704706
2009-10,8.022789473433479
2009-11,8.01977323016225
