,Santa Catarina - Desemprego
2009-12,8.016756986891023
2010-1,8.013740743619795
2010-2,8.01265035186687
2010-3,8.011559960113946
2010-4,8.010469568361021
2010-5,8.009379176608096
2010-6,8.008288784855171
2010-7,8.007198393102247
2010-8,8.00610800134932
2010-9,8.005017609596395
2010-10,8.00392721784347
2010-11,8.002836826090546
2010-12,8.00174643433762
2011-1,8.000656042584696
2011-2,7.7306212390766715
2011-3,7.460586435568647
2011-4,7.190551632060622
2011-5,6.920516828552597
2011-6,6.650482025044573
2011-7,6.3804472215365475
2011-8,6.110412418028523
2011-9,5.840377614520499
2011-10,5.570342811012474
2011-11,5.30030800750445
2011-12,5.030273203996424
2012-1,4.7602384004884
2012-2,4.795867449164845
2012-3,4.83149649784129
2012-4,4.867125546517736
2012-5,4.902754595194181
2012-6,4.938383643870626
2012-7,4.9740126925470705
2012-8,5.009641741223516
2012-9,5.045270789899961
2012-10,5.080899838576406
2012-11,5.116528887252851
2012-12,5.152157935929297
2013-1,5.187786984605742
2013-2,5.214787647292401
2013-3,5.241788309979061
2013-4,5.26878897266572
2013-5,5.29578963535238
2013-6,5.322790298039039
2013-7,5.349790960725699
2013-8,5.376791623412357
2013-9,5.403792286099017
2013-10,5.430792948785676
2013-11,5.4577936114723355
2013-12,5.484794274158995
2014-1,5.5117949368456545
2014-2,5.535221617489197
2014-3,5.558648298132738
2014-4,5.58207497877628
2014-5,5.605501659419822
2014-6,5.628928340063364
2014-7,5.652355020706906
2014-8,5.675781701350448
2014-9,5.69920838199399
2014-10,5.722635062637532
2014-11,5.746061743281073
2014-12,5.769488423924615
2015-1,5.7929151045681575
2015-2,5.793409179364693
2015-3,5.793903254161229
2015-4,5.794397328957766
2015-5,5.794891403754302
2015-6,5.795385478550838
2015-7,5.7958795533473735
2015-8,5.796373628143909
2015-9,5.796867702940445
2015-10,5.797361777736981
2015-11,5.797855852533518
2015-12,5.798349927330054
2016-1,5.7988440021265895
2016-2,5.776156735712738
2016-3,5.753469469298887
2016-4,5.7307822028850355
2016-5,5.708094936471184
2016-6,5.685407670057333
2016-7,5.6627204036434815
2016-8,5.640033137229631
2016-9,5.61734587081578
2016-10,5.594658604401928
2016-11,5.571971337988077
2016-12,5.549284071574226
2017-1,5.526596805160374
2017-2,5.517503854064515
2017-3,5.508410902968656
2017-4,5.499317951872796
2017-5,5.490225000776936
2017-6,5.481132049681077
2017-7,5.472039098585217
2017-8,5.462946147489358
2017-9,5.453853196393498
2017-10,5.444760245297639
2017-11,5.43566729420178
2017-12,5.42657434310592
2018-1,5.41748139201006
2018-2,5.411253948088531
2018-3,5.405026504167002
2018-4,5.398799060245473
2018-5,5.392571616323943
2018-6,5.3863441724024135
2018-7,5.380116728480885
2018-8,5.373889284559356
2018-9,5.367661840637826
2018-10,5.361434396716296
2018-11,5.355206952794767
2018-12,5.348979508873239
2019-1,5.342752064951709
2019-2,5.335413441434833
2019-3,5.328074817917957
2019-4,5.320736194401081
2019-5,5.313397570884206
2019-6,5.30605894736733
2019-7,5.298720323850453
2019-8,5.291381700333578
2019-9,5.284043076816702
2019-10,5.276704453299827
2019-11,5.26936582978295
2019-12,5.262027206266075
2020-1,5.254688582749199
2020-2,5.244662941446659
2020-3,5.234637300144119
2020-4,5.224611658841578
2020-5,5.214586017539038
2020-6,5.204560376236499
2020-7,5.194534734933958
2020-8,5.1845090936314175
2020-9,5.174483452328878
2020-10,5.164457811026338
2020-11,5.154432169723798
2020-12,5.144406528421257
2021-1,5.134380887118717
2021-2,5.1349330076163096
2021-3,5.135485128113901
2021-4,5.136037248611493
2021-5,5.1365893691090845
2021-6,5.137141489606677
2021-7,5.137693610104268
2021-8,5.13824573060186
2021-9,5.1387978510994525
2021-10,5.139349971597044
2021-11,5.139902092094636
2021-12,5.1404542125922275
2022-1,5.14100633308982
