,Pará - Desemprego
2003-1,8.34854250959626
2003-2,8.342554245476785
2003-3,8.336565981357312
2003-4,8.330577717237837
2003-5,8.324589453118362
2003-6,8.318601188998889
2003-7,8.312612924879414
2003-8,8.306624660759939
2003-9,8.300636396640465
2003-10,8.29464813252099
2003-11,8.288659868401515
2003-12,8.282671604282042
2004-1,8.276683340162567
2004-2,8.274846223876596
2004-3,8.273009107590623
2004-4,8.271171991304652
2004-5,8.26933487501868
2004-6,8.267497758732707
2004-7,8.265660642446736
2004-8,8.263823526160765
2004-9,8.261986409874792
2004-10,8.260149293588821
2004-11,8.25831217730285
2004-12,8.256475061016877
2005-1,8.254637944730906
2005-2,8.247460312573752
2005-3,8.240282680416598
2005-4,8.233105048259445
2005-5,8.22592741610229
2005-6,8.218749783945137
2005-7,8.211572151787983
2005-8,8.20439451963083
2005-9,8.197216887473676
2005-10,8.190039255316522
2005-11,8.182861623159368
2005-12,8.175683991002215
2006-1,8.168506358845061
2006-2,8.166511526108438
2006-3,8.164516693371816
2006-4,8.162521860635193
2006-5,8.16052702789857
2006-6,8.158532195161948
2006-7,8.156537362425325
2006-8,8.154542529688703
2006-9,8.15254769695208
2006-10,8.150552864215458
2006-11,8.148558031478835
2006-12,8.146563198742212
2007-1,8.14456836600559
2007-2,8.142215444462627
2007-3,8.139862522919664
2007-4,8.137509601376703
2007-5,8.13515667983374
2007-6,8.132803758290777
2007-7,8.130450836747814
2007-8,8.128097915204851
2007-9,8.125744993661888
2007-10,8.123392072118925
2007-11,8.121039150575964
2007-12,8.118686229033
2008-1,8.116333307490038
2008-2,8.119038031321743
2008-3,8.121742755153447
2008-4,8.124447478985152
2008-5,8.127152202816855
2008-6,8.12985692664856
2008-7,8.132561650480266
2008-8,8.13526637431197
2008-9,8.137971098143675
2008-10,8.140675821975378
2008-11,8.143380545807084
2008-12,8.146085269638787
2009-1,8.148789993470492
2009-2,8.145730052205938
2009-3,8.142670110941385
2009-4,8.13961016967683
2009-5,8.136550228412275
2009-6,8.133490287147723
2009-7,8.130430345883168
2009-8,8.127370404618613
2009-9,8.12431046335406
2009-10,8.121250522089506
2009-11,8.118190580824951
2009-12,8.115130639560398
2010-1,8.112070698295843
2010-2,8.111021238384254
2010-3,8.109971778472664
2010-4,8.108922318561074
2010-5,8.107872858649486
2010-6,8.106823398737896
2010-7,8.105773938826307
2010-8,8.104724478914717
2010-9,8.103675019003127
2010-10,8.102625559091539
2010-11,8.10157609917995
2010-12,8.10052663926836
2011-1,8.09947717935677
2011-2,8.205210604954397
2011-3,8.310944030552022
2011-4,8.41667745614965
2011-5,8.522410881747275
2011-6,8.628144307344902
2011-7,8.733877732942528
2011-8,8.839611158540155
2011-9,8.945344584137782
2011-10,9.051078009735408
2011-11,9.156811435333035
2011-12,9.26254486093066
2012-1,9.368278286528287
2012-2,9.409030463409135
2012-3,9.449782640289982
2012-4,9.490534817170829
2012-5,9.531286994051676
2012-6,9.572039170932523
2012-7,9.61279134781337
2012-8,9.653543524694218
2012-9,9.694295701575065
2012-10,9.735047878455912
2012-11,9.77580005533676
2012-12,9.816552232217607
2013-1,9.857304409098454
2013-2,9.889550336456477
2013-3,9.9217962638145
2013-4,9.954042191172523
2013-5,9.986288118530547
