Ano,Rondônia - Desemprego
2008,7.979888110580099
2009,8.008176218736507
2010,7.971248256718279
2011,7.95661448478801
2012,6.546488807488808
2013,6.917220786572427
2014,7.287260495084175
2015,7.654493440928027
2016,7.643672813933017
2017,7.282097463972818
2018,7.152179174325699
2019,7.004254724302781
2020,6.830603736205033
2021,6.595527652581931
2022,6.573030721056901
