,Paraíba - Desemprego
2003-1,8.315958175499443
2003-2,8.309894609466514
2003-3,8.303831043433584
2003-4,8.297767477400654
2003-5,8.291703911367726
2003-6,8.285640345334798
2003-7,8.279576779301868
2003-8,8.273513213268938
2003-9,8.26744964723601
2003-10,8.261386081203081
2003-11,8.255322515170151
2003-12,8.249258949137221
2004-1,8.243195383104293
2004-2,8.24121604625726
2004-3,8.23923670941023
2004-4,8.237257372563198
2004-5,8.235278035716167
2004-6,8.233298698869135
2004-7,8.231319362022102
2004-8,8.229340025175071
2004-9,8.227360688328039
2004-10,8.225381351481008
2004-11,8.223402014633976
2004-12,8.221422677786945
2005-1,8.219443340939913
2005-2,8.212076459295536
2005-3,8.20470957765116
2005-4,8.197342696006782
2005-5,8.189975814362406
2005-6,8.18260893271803
2005-7,8.175242051073653
2005-8,8.167875169429276
2005-9,8.1605082877849
2005-10,8.153141406140524
2005-11,8.145774524496145
2005-12,8.138407642851769
2006-1,8.131040761207393
2006-2,8.128984454180562
2006-3,8.12692814715373
2006-4,8.1248718401269
2006-5,8.122815533100068
2006-6,8.120759226073238
2006-7,8.118702919046406
2006-8,8.116646612019576
2006-9,8.114590304992745
2006-10,8.112533997965913
2006-11,8.110477690939083
2006-12,8.108421383912251
2007-1,8.106365076885421
2007-2,8.10385504513819
2007-3,8.101345013390958
2007-4,8.098834981643726
2007-5,8.096324949896495
2007-6,8.093814918149263
2007-7,8.091304886402032
2007-8,8.0887948546548
2007-9,8.086284822907569
2007-10,8.083774791160337
2007-11,8.081264759413106
2007-12,8.078754727665874
2008-1,8.076244695918643
2008-2,8.078675679132152
2008-3,8.081106662345661
2008-4,8.083537645559169
2008-5,8.085968628772678
2008-6,8.088399611986187
2008-7,8.090830595199696
2008-8,8.093261578413205
2008-9,8.095692561626715
2008-10,8.098123544840224
2008-11,8.100554528053731
2008-12,8.10298551126724
2009-1,8.10541649448075
2009-2,8.102396848716841
2009-3,8.099377202952931
2009-4,8.096357557189023
2009-5,8.093337911425113
2009-6,8.090318265661205
2009-7,8.087298619897297
2009-8,8.084278974133387
2009-9,8.081259328369478
2009-10,8.078239682605568
2009-11,8.07522003684166
2009-12,8.07220039107775
2010-1,8.069180745313842
2010-2,8.068081393772445
2010-3,8.06698204223105
2010-4,8.065882690689653
2010-5,8.064783339148256
2010-6,8.06368398760686
2010-7,8.062584636065463
2010-8,8.061485284524068
2010-9,8.06038593298267
2010-10,8.059286581441274
2010-11,8.058187229899879
2010-12,8.057087878358482
2011-1,8.055988526817085
2011-2,8.23137070663022
2011-3,8.406752886443352
