Ano,Pernambuco - Desemprego
2008,8.049768627820379
2009,8.07829268283391
2010,8.042186923462921
2011,8.028882024730951
2012,12.192814407814408
2013,13.117302821545037
2014,13.857508812184033
2015,14.543115431836322
2016,14.833751279516711
2017,14.580259344603983
2018,14.328297255311773
2019,14.284157448363324
2020,14.265196132447736
2021,14.24042911214708
2022,14.265103359653057
