Ano,Minas Gerais - Desemprego
2008,8.001633482225774
2009,8.031077566464921
2010,7.994906240927181
2011,7.984812026339124
2012,9.070299043549044
2013,9.529468214849922
2014,9.983691655828745
2015,10.328071070993397
2016,10.248043338332547
2017,9.78903601768297
2018,9.594051492801762
2019,9.540285127048556
2020,9.407138331811671
2021,9.14845628358041
2022,9.127930812114627
