,Rio Grande do Norte - Desemprego
2003-1,8.294169719309561
2003-2,8.288223919929422
2003-3,8.282278120549282
2003-4,8.276332321169141
2003-5,8.270386521789002
2003-6,8.264440722408862
2003-7,8.25849492302872
2003-8,8.252549123648581
2003-9,8.246603324268442
2003-10,8.240657524888302
2003-11,8.234711725508163
2003-12,8.228765926128021
2004-1,8.222820126747882
2004-2,8.221136338929508
2004-3,8.219452551111134
2004-4,8.21776876329276
2004-5,8.216084975474386
2004-6,8.214401187656012
2004-7,8.21271739983764
2004-8,8.211033612019266
2004-9,8.209349824200892
2004-10,8.207666036382518
2004-11,8.205982248564144
2004-12,8.20429846074577
2005-1,8.202614672927396
2005-2,8.19493134778889
2005-3,8.187248022650383
2005-4,8.179564697511877
2005-5,8.17188137237337
2005-6,8.164198047234864
2005-7,8.156514722096357
2005-8,8.148831396957853
2005-9,8.141148071819346
2005-10,8.13346474668084
2005-11,8.125781421542333
2005-12,8.118098096403827
2006-1,8.11041477126532
2006-2,8.108490387838946
2006-3,8.106566004412574
2006-4,8.1046416209862
2006-5,8.102717237559826
2006-6,8.100792854133454
2006-7,8.09886847070708
2006-8,8.096944087280706
2006-9,8.095019703854334
2006-10,8.09309532042796
2006-11,8.091170937001586
2006-12,8.089246553575213
2007-1,8.08732217014884
2007-2,8.084597183250185
2007-3,8.081872196351531
2007-4,8.079147209452877
2007-5,8.076422222554221
2007-6,8.073697235655567
2007-7,8.070972248756913
2007-8,8.068247261858259
2007-9,8.065522274959605
2007-10,8.062797288060949
2007-11,8.060072301162295
2007-12,8.057347314263641
2008-1,8.054622327364987
2008-2,8.057109756666447
2008-3,8.05959718596791
2008-4,8.06208461526937
2008-5,8.06457204457083
2008-6,8.067059473872291
2008-7,8.069546903173752
2008-8,8.072034332475214
2008-9,8.074521761776674
2008-10,8.077009191078135
2008-11,8.079496620379597
2008-12,8.081984049681058
2009-1,8.084471478982518
2009-2,8.081361156910427
2009-3,8.078250834838336
2009-4,8.075140512766245
2009-5,8.072030190694154
2009-6,8.068919868622062
2009-7,8.065809546549971
2009-8,8.062699224477878
2009-9,8.059588902405787
2009-10,8.056478580333696
2009-11,8.053368258261605
2009-12,8.050257936189514
2010-1,8.047147614117423
2010-2,8.045884054496037
2010-3,8.044620494874652
2010-4,8.043356935253266
2010-5,8.04209337563188
2010-6,8.040829816010495
2010-7,8.039566256389111
2010-8,8.038302696767726
2010-9,8.03703913714634
2010-10,8.035775577524955
2010-11,8.03451201790357
2010-12,8.033248458282184
2011-1,8.031984898660799
2011-2,8.414770998036406
2011-3,8.797557097412014
2011-4,9.180343196787621
2011-5,9.56312929616323
2011-6,9.945915395538838
2011-7,10.328701494914446
2011-8,10.711487594290054
2011-9,11.094273693665661
2011-10,11.47705979304127
2011-11,11.859845892416878
2011-12,12.242631991792486
2012-1,12.625418091168093
2012-2,12.647406096761783
2012-3,12.669394102355474
2012-4,12.691382107949163
2012-5,12.713370113542855
2012-6,12.735358119136544
2012-7,12.757346124730233
2012-8,12.779334130323925
2012-9,12.801322135917614
2012-10,12.823310141511305
2012-11,12.845298147104995
2012-12,12.867286152698686
2013-1,12.889274158292375
2013-2,12.919442963495698
2013-3,12.949611768699018
2013-4,12.97978057390234
2013-5,13.009949379105663
2013-6,13.040118184308986
2013-7,13.070286989512308
2013-8,13.100455794715629
2013-9,13.130624599918951
2013-10,13.160793405122273
2013-11,13.190962210325594
2013-12,13.221131015528917
2014-1,13.251299820732239
2014-2,13.272181705468197
2014-3,13.293063590204158
2014-4,13.313945474940116
2014-5,13.334827359676074
2014-6,13.355709244412035
2014-7,13.376591129147993
2014-8,13.397473013883952
2014-9,13.418354898619912
2014-10,13.43923678335587
2014-11,13.460118668091829
2014-12,13.481000552827789
2015-1,13.501882437563747
2015-2,13.498902040456382
2015-3,13.49592164334902
2015-4,13.492941246241655
2015-5,13.48996084913429
2015-6,13.486980452026927
2015-7,13.484000054919562
2015-8,13.481019657812197
2015-9,13.478039260704834
2015-10,13.47505886359747
2015-11,13.472078466490105
2015-12,13.469098069382742
2016-1,13.466117672275377
2016-2,13.438514791457104
2016-3,13.41091191063883
2016-4,13.383309029820557
2016-5,13.355706149002284
2016-6,13.32810326818401
2016-7,13.300500387365737
2016-8,13.272897506547462
2016-9,13.245294625729189
2016-10,13.217691744910915
2016-11,13.190088864092642
2016-12,13.162485983274369
2017-1,13.134883102456095
2017-2,13.128041490618084
2017-3,13.121199878780072
2017-4,13.11435826694206
2017-5,13.107516655104048
2017-6,13.100675043266037
2017-7,13.093833431428024
2017-8,13.086991819590013
2017-9,13.080150207752002
2017-10,13.07330859591399
2017-11,13.066466984075978
2017-12,13.059625372237965
2018-1,13.052783760399954
2018-2,13.051322373301451
2018-3,13.049860986202948
2018-4,13.048399599104444
2018-5,13.04693821200594
2018-6,13.045476824907437
2018-7,13.044015437808934
2018-8,13.04255405071043
2018-9,13.041092663611927
2018-10,13.039631276513424
2018-11,13.03816988941492
2018-12,13.036708502316417
2019-1,13.035247115217913
2019-2,13.028835897123226
2019-3,13.02242467902854
2019-4,13.016013460933852
2019-5,13.009602242839167
2019-6,13.00319102474448
2019-7,12.996779806649792
2019-8,12.990368588555105
2019-9,12.983957370460418
2019-10,12.977546152365733
2019-11,12.971134934271046
2019-12,12.964723716176358
2020-1,12.958312498081671
2020-2,12.941908098679782
2020-3,12.925503699277893
2020-4,12.909099299876006
2020-5,12.892694900474117
2020-6,12.876290501072228
2020-7,12.859886101670341
2020-8,12.843481702268452
2020-9,12.827077302866563
2020-10,12.810672903464674
2020-11,12.794268504062785
2020-12,12.777864104660898
2021-1,12.761459705259009
2021-2,12.76008471553854
2021-3,12.758709725818068
2021-4,12.757334736097599
2021-5,12.75595974637713
2021-6,12.754584756656659
2021-7,12.75320976693619
2021-8,12.75183477721572
2021-9,12.750459787495249
2021-10,12.74908479777478
2021-11,12.74770980805431
2021-12,12.746334818333839
2022-1,12.74495982861337
