Ano,Acre - Desemprego,Alagoas - Desemprego,Amazonas - Desemprego,Amapá - Desemprego,Bahia - Desemprego,Ceará - Desemprego,Distrito Federal - Desemprego,Espírito Santo - Desemprego,Goiás - Desemprego,Maranhão - Desemprego,Minas Gerais - Desemprego,Mato Grosso do Sul - Desemprego,Mato Grosso - Desemprego,Pará - Desemprego,Paraíba - Desemprego,Pernambuco - Desemprego,Piauí - Desemprego,Paraná - Desemprego,Rio de Janeiro - Desemprego,Rio Grande do Norte - Desemprego,Rondônia - Desemprego,Roraima - Desemprego,Rio Grande do Sul - Desemprego,Santa Catarina - Desemprego,Sergipe - Desemprego,São Paulo - Desemprego,Tocantins - Desemprego
2004,8.664365485421056,8.699419095467816,8.558110318847893,8.44672143132653,8.279179571786104,8.203090838389214,8.22193888772809,8.107574025291866,8.111394106436798,8.145546143730508,8.170568074045196,8.178155305345381,8.22684907472465,8.276683340162567,8.243195383104293,8.2217516963816,8.118949884633004,8.209520200161856,8.282350092264025,8.222820126747882,8.152625843163605,8.191545483130467,8.121312794478339,8.186109533916555,8.319422673996787,8.236641446125523,8.173050196410834
2005,8.63202406848091,8.666401268000198,8.526726588669835,8.415811094224981,8.250076661493722,8.17512629715174,8.19457838860471,8.08488395379076,8.088032715259576,8.1223420070206,8.14731301423134,8.157500707628346,8.206659721662158,8.254637944730906,8.219443340939913,8.199101149517398,8.09819792913736,8.186736349667385,8.259763039856233,8.202614672927396,8.130620695403982,8.16696088251649,8.09689512059859,8.161533735731359,8.294120063387785,8.212526056306364,8.152620916952547
2006,8.552715943304754,8.587976703608085,8.44627595694676,8.33480220162701,8.164347603633848,8.087699434520896,8.10663679851972,7.998040235441731,8.002286554671633,8.038324179634747,8.060331958709103,8.070117195206189,8.120431402675818,8.168506358845061,8.131040761207393,8.107273266310623,8.006232888071484,8.093445442496797,8.165392012656794,8.11041477126532,8.038397099724127,8.072306048664666,8.011393397161699,8.074448822935112,8.204414811574996,8.12646610625646,8.067823318709818
2007,8.542429322041594,8.57629314953182,8.43440740222317,8.318743576850363,8.13608234519743,8.058414825770196,8.077712830330563,7.969140208115521,7.971611927341056,8.007660806067172,8.030389906143604,8.040810958175138,8.093287163551162,8.14456836600559,8.106365076885421,8.081524496758538,7.980381725408458,8.065899667925718,8.139058210482201,8.08732217014884,8.013839426509485,8.047939156564242,7.986478463551731,8.049751446708331,8.17990969524582,8.101259461528377,8.043255499928398
2008,8.514659379977472,8.543034583824518,8.396886002049696,8.281094420176965,8.102744344410983,8.024047129142335,8.042711254873264,7.934578195851403,7.941146377614885,7.978325199980522,8.001633482225774,8.011860789640922,8.063004956989525,8.116333307490038,8.076244695918643,8.049768627820379,7.951466346784791,8.033947666124615,8.106163451388275,8.054622327364987,7.979888110580099,8.015089544092227,7.956795015273343,8.020914736786072,8.151229415222186,8.071263050689616,8.013079135529578
2009,8.542386044618546,8.571316252166023,8.420659362065976,8.302950360892527,8.129292557577012,8.0521454513131,8.070884549770339,7.96430040151714,7.969156861432987,8.007890622535697,8.031077566464921,8.040524198285377,8.095019259007241,8.148789993470492,8.10541649448075,8.07829268283391,7.981121100802563,8.063370445390065,8.134661174050212,8.084471478982518,8.008176218736507,8.046320794715072,7.9850373032086965,8.04993566287453,8.181779736312976,8.100326996833477,8.041614363695377
2010,8.51429488143676,8.539867704900752,8.389077391236086,8.270872940689337,8.095384689551322,8.017491071641157,8.035310333092589,7.927576087415909,7.932921345181615,7.971707092993094,7.994906240927181,8.00386216757406,8.05784802131733,8.112070698295843,8.069180745313842,8.042186923462921,7.946167154199016,8.026842929716512,8.098147129253118,8.047147614117423,7.971248256718279,8.009228631606366,7.949438580325478,8.013740743619795,8.145498308214748,8.064867334579791,8.0060588006544
2011,8.500790350881074,8.526851768462652,8.376519787239642,8.258737131271237,8.084857380532878,8.006912082096214,8.024652667328073,7.917309809937,7.921619031107122,7.961524449483763,7.984812026339124,7.993143791483601,8.047069128696148,8.09947717935677,8.055988526817085,8.028882024730951,7.934311853467493,8.01380615725677,8.084479172213154,8.031984898660799,7.95661448478801,7.996818724830861,7.936697561621946,8.000656042584696,8.132819046437152,8.05317455552985,7.993875358747286
2012,10.334544464794465,12.945390516890518,11.321769332519333,14.118133903133902,13.555306878306881,9.818853988603989,10.763244607244609,9.395868233618232,7.786290496540497,10.302202075702077,9.070299043549044,6.360445461945462,6.695389397639399,9.368278286528287,10.160574684574685,12.192814407814408,9.098664835164836,6.4724959299959295,9.89133608058608,12.625418091168093,6.546488807488808,8.651837098087098,6.613682336182337,4.7602384004884,11.832645502645502,10.05848433048433,9.385998778998779
2013,11.122667631962752,13.577909641651194,12.00892052667675,14.922159181299895,14.373235980711963,10.221863967838592,11.341795557617724,9.956265473824983,8.389968391625164,11.189661180352678,9.529468214849922,6.7253716835720105,7.06888140050866,9.857304409098454,10.474672564946896,13.117302821545037,9.87481132042318,7.011798833781418,10.961498768345576,12.889274158292375,6.917220786572427,9.551097733773972,7.062492057493449,5.187786984605742,12.53055382211128,10.842572852591834,9.822893776246772
2014,11.666938782207025,14.169212678034246,12.610216818971061,15.577783266587831,15.102184440733675,10.652421549511569,11.799788321817193,10.450154935788362,9.015756134399709,11.986520886854585,9.983691655828745,7.077333069355388,7.495400530139395,10.244255537394732,10.857996708918037,13.857508812184033,10.508944601657928,7.462443174455609,11.800433779992137,13.251299820732239,7.287260495084175,10.328300066137949,7.423718166239356,5.5117949368456545,13.099830913217062,11.415799906732744,10.192991437622961
2015,12.139670205232393,14.659463841447764,13.139355659438117,16.25590657332058,15.64454537595023,11.02042138876712,12.093704620142406,10.942052081269898,9.398110721219348,12.52944228650619,10.328071070993397,7.357560212332947,7.838256458772852,10.537303954327417,11.087922901279846,14.543115431836322,10.965400703926441,7.81326105362778,12.471375096502694,13.501882437563747,7.654493440928027,10.723766652401402,7.683986234664566,5.7929151045681575,13.60560538454487,11.865645969810474,10.501089854035232
2016,12.458071811241219,14.776623181072734,13.263560785850125,16.4396927354181,15.85224105601422,11.073199109384769,12.238790236528455,10.97922903867143,9.378449585105221,12.762357706578845,10.248043338332547,7.332913546392486,7.730866936586208,10.58797547267076,11.207329176273609,14.833751279516711,11.203809124569577,7.840669494132683,12.865738900764708,13.466117672275377,7.643672813933017,10.764100540189439,7.674279256316089,5.7988440021265895,13.9295483548898,11.874466035916857,10.392739827126608
2017,12.24579046496806,14.347557296450454,12.821072300336523,16.09041805763642,15.631769380831736,10.712886962148009,12.0856322334972,10.448735370539353,8.980786191801322,12.4601347339377,9.78903601768297,7.012813943321785,7.251142586907594,10.306830522203079,11.081900635107463,14.580259344603983,11.173036328163327,7.55310041871134,12.728617098296619,13.134883102456095,7.282097463972818,10.533541976149433,7.40424176193387,5.526596805160374,13.725373935128177,11.486715671668954,9.894472309144493
2018,12.148885615720623,14.104975334874132,12.662273854114616,15.812867653697419,15.59081871040878,10.581165647781187,12.018938170763702,10.241457801888052,8.919908209741124,12.3188366594088,9.594051492801762,6.911971035307172,7.109464637507791,10.21108519757338,11.111648267657547,14.328297255311773,11.037275293038633,7.440077429378706,12.577126287345475,13.052783760399954,7.152179174325699,10.64220167334523,7.324869016022528,5.41748139201006,13.638961606267932,11.319292895354122,9.761228265491662
2019,12.04573349545044,13.904156488716136,12.576163667325316,15.509234359243683,15.57560059479416,10.594940633117183,12.023661895135747,10.168768923132168,8.947166788754863,12.204421302677215,9.540285127048556,6.834976598262197,7.037990886294342,10.177873546685088,11.192075644891085,14.284157448363324,11.015948601022505,7.368470404527978,12.544345053087726,13.035247115217913,7.004254724302781,10.430271500792678,7.291977924104964,5.342752064951709,13.518614197204899,11.198875878259976,9.617661967224004
2020,11.905311271127278,13.726047131624773,12.440276706198677,15.329624287182245,15.515507084319168,10.540016651612577,11.936222220053123,10.043677545837763,8.745409754064708,12.039299888435206,9.407138331811671,6.6871767334272745,6.87114222496693,10.115271437589731,11.185263290619428,14.265196132447736,10.881622303721771,7.229324520308934,12.488460581938007,12.958312498081671,6.830603736205033,9.898626399748867,7.174482891040625,5.254688582749199,13.428524684969911,11.04448088091166,9.37149307082812
2021,11.81733418965036,13.45056127706579,12.255143275759364,15.114537328999338,15.439821777160814,10.393444808110676,11.866376407842488,9.839044980104955,8.54384469894326,11.842072676588446,9.14845628358041,6.511628231501381,6.623656770276929,10.01997302437444,11.146894648150242,14.24042911214708,10.793164693499337,7.094891470039911,12.486893548088352,12.761459705259009,6.595527652581931,9.503368464811988,7.034975165155963,5.134380887118717,13.354175629595018,10.845148565088609,9.06672793070744
2022,11.830301285143577,13.470373256132259,12.276323382021527,15.201106457340204,15.416984436086517,10.36716383095965,11.896986554874035,9.820790798499232,8.559722569305329,11.856801306023888,9.127930812114627,6.516682916146178,6.630924750183608,10.039893820813937,11.108223833429935,14.265103359653057,10.871213005300795,7.11683588403256,12.502730289832773,12.74495982861337,6.573030721056901,9.643865066543418,7.026740428308176,5.14100633308982,13.374761343013247,10.85438022546187,9.118915446595413
2023,11.942497955705843,13.786695516293008,12.479664530090114,15.470882735294417,15.493859912712677,10.52238113384341,12.012601064987123,10.004244267555498,8.745106116187179,12.094139268658092,9.379220453451605,6.718101216555478,6.8850065388402495,10.171135852322507,11.126225456715776,14.351430216486975,11.036117583319756,7.26731843989006,12.530218451189688,12.959084579102402,6.802349754731154,10.142781344176312,7.166711080770072,5.277367236359565,13.473527313388932,11.075025378645066,9.469561552033682
