Ano,Acre - Desemprego,Alagoas - Desemprego,Amazonas - Desemprego,Amapá - Desemprego,Bahia - Desemprego,Ceará - Desemprego,Distrito Federal - Desemprego,Espírito Santo - Desemprego,Goiás - Desemprego,Maranhão - Desemprego,Minas Gerais - Desemprego,Mato Grosso do Sul - Desemprego,Mato Grosso - Desemprego,Pará - Desemprego,Paraíba - Desemprego,Pernambuco - Desemprego,Piauí - Desemprego,Paraná - Desemprego,Rio de Janeiro - Desemprego,Rio Grande do Norte - Desemprego,Rondônia - Desemprego,Roraima - Desemprego,Rio Grande do Sul - Desemprego,Santa Catarina - Desemprego,Sergipe - Desemprego,São Paulo - Desemprego,Tocantins - Desemprego
1992,8.543004919589201,8.58380973469593,8.452698738622784,8.300890809499922,8.142591567885846,8.081261146445323,8.107594900980887,7.983951794272402,7.987323900655642,8.010614611224367,8.07072527933379,8.073832530618743,8.09732474382129,8.143618908479672,8.10130967010466,8.109587506905573,8.025448986512446,8.126129723337723,8.181382476018008,8.120007804692749,8.070483561505998,8.100280796813259,8.04994327930449,8.103396528155953,8.226590840316728,8.149896927350351,8.068701296215744
1993,8.62140369441306,8.665028927642435,8.532696962977482,8.382007889696203,8.214394409255544,8.15278431972412,8.178694132613371,8.052075027512924,8.05686516401021,8.08144476442244,8.138568420709806,8.14280695975954,8.166236206622765,8.213666433419636,8.17336599251702,8.180044579249724,8.09459556551301,8.196316614417695,8.253095456422297,8.189427144714418,8.140139136124333,8.172822603993177,8.120059243271905,8.17342037865695,8.298251828682364,8.219312098908636,8.138550408462493
1995,8.695869181745312,8.74596260323327,8.61772975322933,8.476544317937803,8.303907818362214,8.241545185007695,8.266820503956868,8.139535762114464,8.144148872899796,8.169053058033159,8.223993451805805,8.227800460118043,8.25081033047056,8.298443007597152,8.2587362926415,8.264159761945788,8.178778711302742,8.279495003493183,8.336968902583184,8.272775156805645,8.223168546939405,8.258913963231466,8.20251698897371,8.255547408793493,8.380726660349206,8.305064806882708,8.22399528715
1996,8.77419408178778,8.830214560235135,8.69688972089211,8.556565703769754,8.38676286961076,8.322787518593717,8.347695503288334,8.216980654761723,8.218906682629711,8.245953373941592,8.297504949519789,8.299101489050738,8.323508660896504,8.372936935028218,8.334299068238346,8.33272067256969,8.241770221119554,8.339727727524764,8.398759182499337,8.332116112337806,8.280462419382586,8.31907332942596,8.272212265525425,8.326273263478718,8.451788720082606,8.373971466708042,8.291304730979585
1997,8.833268920902968,8.890903486903076,8.75459868472364,8.613320469746352,8.43522506247989,8.370101743887314,8.393695587301623,8.26659775324549,8.267768113191163,8.297747378919377,8.345135879178546,8.345573145351517,8.374778320795986,8.426420827689643,8.389288829077316,8.38000734058975,8.286967933535497,8.38461088218504,8.444117658072564,8.376183337987708,8.320180264286135,8.35727668192999,8.318329966850454,8.374169821281182,8.50055625123632,8.422575678242966,8.3395094013558
1998,8.878242562955718,8.935547982726023,8.791128013310761,8.655947915917606,8.474820873295746,8.407780303059907,8.431611453702457,8.303010118365584,8.303117107836425,8.33403502276811,8.378182472047008,8.377647125325277,8.412314956691642,8.462798531596494,8.42830982501901,8.416198506846614,8.321879618704365,8.419437242989055,8.481480402367984,8.41331893817988,8.359061676387034,8.396176769043326,8.348108796363956,8.407245557147181,8.534914980199407,8.45229192112619,8.37086987298764
1999,8.869475780568903,8.921519716418684,8.780503410667105,8.656116375609693,8.469426115881046,8.399313925668432,8.421893189853499,8.293592268840928,8.291615622261682,8.324204981674153,8.363007310220613,8.363256564095433,8.403579891889335,8.45622868503936,8.42109307415941,8.404348097137818,8.306038470981935,8.403089044327242,8.467647665561369,8.400136311317377,8.342114766905574,8.377094028716686,8.32427542162117,8.386015702391855,8.517770111401038,8.436234286662348,8.359602428983804
2001,8.801258932081549,8.854526849067666,8.722516257149248,8.609291254029475,8.423795999229183,8.351178684284239,8.371172227996611,8.247181681562315,8.244328107959639,8.27901039939347,8.311947212415793,8.313195212543212,8.357072660964699,8.410625591468925,8.375552755387666,8.356817474676117,8.256845179793972,8.349728668587211,8.418382592494842,8.351253979109776,8.291979254360774,8.328856479462626,8.269981831427522,8.333020008171566,8.46891387871936,8.386071812183635,8.314213399101694
2002,8.748562062567625,8.798928936634587,8.669781328056175,8.552574561370394,8.375053088318584,8.301036678781132,8.31949123769348,8.199103118078288,8.197745059669472,8.232925151320249,8.265094730637468,8.268703384072404,8.315056681703558,8.366300436740797,8.331653918761342,8.311393927674189,8.210337426526614,8.302593851163326,8.373169966823813,8.30849512490891,8.245993108243889,8.284366208336019,8.221884555617319,8.285104223744245,8.418908777639398,8.338964283456352,8.269036292856459
2003,8.722906022641007,8.765720926489202,8.63094167820409,8.514392273723654,8.3487785117798,8.27445922175993,8.293882125751406,8.177444435699833,8.179784800565303,8.213662392265372,8.242461537567124,8.248824124668724,8.29717805688061,8.34854250959626,8.315958175499443,8.294029177587007,8.192265612259057,8.284196000563572,8.356511888457344,8.294169719309561,8.22606242703537,8.263084148815043,8.192272824797158,8.256605689258727,8.389943455815388,8.3103353115485,8.24382962687184
