,Goiás - Desemprego
2003-1,8.179784800565303
2003-2,8.174085576054594
2003-3,8.168386351543885
2003-4,8.162687127033177
2003-5,8.156987902522468
2003-6,8.15128867801176
2003-7,8.14558945350105
2003-8,8.13989022899034
2003-9,8.134191004479632
2003-10,8.128491779968924
2003-11,8.122792555458215
2003-12,8.117093330947506
2004-1,8.111394106436798
2004-2,8.109447323838696
2004-3,8.107500541240594
2004-4,8.105553758642493
2004-5,8.103606976044391
2004-6,8.101660193446289
2004-7,8.099713410848187
2004-8,8.097766628250085
2004-9,8.095819845651983
2004-10,8.09387306305388
2004-11,8.09192628045578
2004-12,8.089979497857678
2005-1,8.088032715259576
2005-2,8.080887201877248
2005-3,8.07374168849492
2005-4,8.06659617511259
2005-5,8.059450661730262
2005-6,8.052305148347934
2005-7,8.045159634965604
2005-8,8.038014121583275
2005-9,8.030868608200947
2005-10,8.02372309481862
2005-11,8.016577581436291
2005-12,8.009432068053961
2006-1,8.002286554671633
2006-2,7.999730335727418
2006-3,7.997174116783203
2006-4,7.994617897838989
2006-5,7.992061678894774
2006-6,7.989505459950559
2006-7,7.986949241006345
2006-8,7.98439302206213
2006-9,7.981836803117915
2006-10,7.9792805841737
2006-11,7.976724365229485
2006-12,7.974168146285271
2007-1,7.971611927341056
2007-2,7.969073131530542
2007-3,7.966534335720027
2007-4,7.963995539909513
2007-5,7.9614567440989985
2007-6,7.958917948288485
2007-7,7.95637915247797
2007-8,7.953840356667456
2007-9,7.951301560856942
2007-10,7.948762765046427
2007-11,7.946223969235914
2007-12,7.943685173425399
2008-1,7.941146377614885
2008-2,7.943480584599727
2008-3,7.945814791584569
2008-4,7.94814899856941
2008-5,7.950483205554252
2008-6,7.952817412539094
2008-7,7.955151619523936
2008-8,7.957485826508778
2008-9,7.95982003349362
2008-10,7.962154240478462
2008-11,7.964488447463303
2008-12,7.966822654448145
2009-1,7.969156861432987
2009-2,7.9661372350787065
2009-3,7.963117608724425
2009-4,7.960097982370144
2009-5,7.957078356015863
2009-6,7.954058729661583
2009-7,7.951039103307301
2009-8,7.94801947695302
2009-9,7.944999850598739
2009-10,7.941980224244459
2009-11,7.938960597890177
2009-12,7.935940971535896
2010-1,7.932921345181615
2010-2,7.931979485675408
2010-3,7.9310376261692
2010-4,7.930095766662992
2010-5,7.929153907156784
2010-6,7.928212047650576
2010-7,7.927270188144369
2010-8,7.926328328638161
2010-9,7.925386469131953
2010-10,7.924444609625745
2010-11,7.923502750119537
2010-12,7.92256089061333
2011-1,7.921619031107122
2011-2,7.91034165322657
2011-3,7.899064275346018
2011-4,7.887786897465466
2011-5,7.876509519584913
2011-6,7.865232141704362
2011-7,7.853954763823809
2011-8,7.842677385943257
2011-9,7.8314000080627055
2011-10,7.820122630182153
2011-11,7.808845252301601
2011-12,7.797567874421049
2012-1,7.786290496540497
2012-2,7.836596987797552
2012-3,7.886903479054608
2012-4,7.937209970311663
2012-5,7.9875164615687195
2012-6,8.037822952825774
2012-7,8.088129444082831
2012-8,8.138435935339887
2012-9,8.188742426596942
2012-10,8.239048917853998
2012-11,8.289355409111053
2012-12,8.339661900368109
2013-1,8.389968391625164
2013-2,8.44211737018971
2013-3,8.494266348754255
2013-4,8.546415327318801
2013-5,8.598564305883345
2013-6,8.65071328444789
2013-7,8.702862263012436
2013-8,8.755011241576982
2013-9,8.807160220141528
2013-10,8.859309198706072
2013-11,8.911458177270617
2013-12,8.963607155835163
2014-1,9.015756134399709
2014-2,9.047619016634679
2014-3,9.079481898869648
2014-4,9.111344781104618
2014-5,9.143207663339588
2014-6,9.175070545574558
2014-7,9.206933427809528
2014-8,9.2387963100445
2014-9,9.270659192279469
2014-10,9.302522074514439
2014-11,9.334384956749409
2014-12,9.366247838984378
2015-1,9.398110721219348
2015-2,9.396472293209838
2015-3,9.394833865200328
2015-4,9.393195437190816
2015-5,9.391557009181305
2015-6,9.389918581171795
2015-7,9.388280153162285
2015-8,9.386641725152774
2015-9,9.385003297143264
2015-10,9.383364869133754
2015-11,9.381726441124242
2015-12,9.380088013114731
2016-1,9.378449585105221
2016-2,9.345310968996563
2016-3,9.312172352887904
2016-4,9.279033736779246
2016-5,9.245895120670587
2016-6,9.212756504561929
2016-7,9.179617888453272
2016-8,9.146479272344614
2016-9,9.113340656235955
2016-10,9.080202040127297
2016-11,9.047063424018639
2016-12,9.01392480790998
2017-1,8.980786191801322
2017-2,8.975713026629638
2017-3,8.970639861457956
2017-4,8.965566696286272
2017-5,8.960493531114588
2017-6,8.955420365942906
2017-7,8.950347200771223
2017-8,8.945274035599539
2017-9,8.940200870427857
2017-10,8.935127705256173
2017-11,8.93005454008449
2017-12,8.924981374912807
2018-1,8.919908209741124
2018-2,8.922179757992268
2018-3,8.924451306243414
2018-4,8.926722854494558
2018-5,8.928994402745703
2018-6,8.931265950996849
2018-7,8.933537499247993
2018-8,8.935809047499138
2018-9,8.938080595750284
2018-10,8.940352144001428
2018-11,8.942623692252573
2018-12,8.944895240503719
2019-1,8.947166788754863
2019-2,8.930353702530685
2019-3,8.913540616306504
2019-4,8.896727530082325
2019-5,8.879914443858144
2019-6,8.863101357633965
2019-7,8.846288271409787
2019-8,8.829475185185606
2019-9,8.812662098961427
2019-10,8.795849012737246
2019-11,8.779035926513068
2019-12,8.762222840288887
2020-1,8.745409754064708
2020-2,8.72861266613792
2020-3,8.711815578211134
2020-4,8.695018490284346
2020-5,8.67822140235756
2020-6,8.661424314430771
2020-7,8.644627226503985
2020-8,8.627830138577197
2020-9,8.61103305065041
2020-10,8.594235962723623
2020-11,8.577438874796835
2020-12,8.560641786870049
2021-1,8.54384469894326
2021-2,8.545167854806767
2021-3,8.546491010670271
2021-4,8.547814166533778
2021-5,8.549137322397284
2021-6,8.550460478260788
2021-7,8.551783634124295
2021-8,8.553106789987801
2021-9,8.554429945851306
2021-10,8.555753101714812
2021-11,8.557076257578318
2021-12,8.558399413441823
2022-1,8.559722569305329
