Ano,Bahia - Desemprego
2014,15.102184440733675
2015,15.64454537595023
2016,15.85224105601422
2017,15.631769380831736
2018,15.59081871040878
2019,15.57560059479416
2020,15.515507084319168
2021,15.439821777160814
2022,15.416984436086517
