Ano,Fundo de garantia por tempo de serviço (FGTS) (R$),Apagar
1988-1,0.00701415418181818,
1988-2,0.00988954945454545,
1988-3,0.0133342301818182,
1988-4,0.01150974,
1988-5,0.0119654843636364,
1988-6,0.0147921654545455,
1988-7,0.0182755298181818,
1988-8,0.0207835585454545,
1988-9,0.0265853407272727,
1988-10,0.0327530887272727,
1988-11,0.0366886949090909,
1988-12,0.0482946247272727,
1989-1,0.0638829090909091,
1989-2,0.09926,
1989-3,0.163255272727273,
1989-4,0.156610909090909,
1989-5,0.155330545454545,
1989-6,0.163153090909091,
1989-7,0.319884363636364,
1989-8,0.435418545454545,
1989-9,0.407606545454545,
1989-10,1.16944036363636,
1989-11,1.01317890909091,
1989-12,1.86442581818182,
1990-1,3.82512109090909,
1990-2,4.15602690909091,
1990-3,6.64228836363636,
1990-4,10.6021963636364,
1990-5,12.0050356363636,
1990-6,12.3499632727273,
1990-7,14.0025112727273,
1990-8,16.0122254545455,
1990-9,17.2065498181818,
1990-10,19.5267458181818,
1990-11,21.9806625454545,
1990-12,30.0653727272727,
1991-1,41.2422003636364,
1991-2,32.3985098181818,
1991-3,38.0744832727273,
1991-4,41.5270003636364,
1991-5,45.9178694545455,
1991-6,49.727104,
1991-7,56.0371181818182,
1991-8,63.4211756363636,
1991-9,69.1787072727273,
1991-10,88.6045076363636,
1991-11,101.992161454545,
1991-12,151.647504363636,
1992-1,219.677318545455,
1992-2,212.178258181818,
1992-3,235.524411272727,
1992-4,291.694899636364,
1992-5,345.562446181818,
1992-6,467.973749818182,
1992-7,560.676448727273,
1992-8,682.263299272727,
1992-9,779.174480363636,
1992-10,1075.67505854545,
1992-11,1273.97333272727,
1992-12,2025.72683563636,
1993-1,2940.99122472727,
1993-2,2946.39187963636,
1993-3,3487.03002581818,
1993-4,4471.92378909091,
1993-5,5494.25034181818,
1993-6,7886.07912218182,
1993-7,9720.55189745454,
1993-8,13767.9890690909,
1993-9,17039.8149345455,
1993-10,24086.327864,
1993-11,32085.4713789091,
1993-12,52333.1900701818,
1994-1,88565.2984178182,
1994-2,88485.5387858182,
1994-3,122868.210086182,
1994-4,179055.778380364,
1994-5,271500.767886545,
1994-6,389683.806095273,
1994-7,556862,
1994-8,577900,
1994-9,595737.078,
1994-10,612405.082,
1994-11,645490.785,
1994-12,776353,
1995-1,946760,
1995-2,733710,
1995-3,735606,
1995-4,715967,
1995-5,743970,
1995-6,793859,
1995-7,812997,
1995-8,827580,
1995-9,812657,
1995-10,824021,
1995-11,839308,
1995-12,998446,
1996-1,1216497,
