Ano,Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2003,132006541.53463073,6638363.257953425,19.725168296275115,122186034.17445843
2004,134019664.91267751,6682963.708051763,19.81047494034551,122969168.91928801
2005,135857118.03267953,6722582.731084393,19.879681207204605,123594566.65308535
2006,137586946.21007898,6771741.359426004,19.950366014394202,124192640.32926619
2007,139138009.99475732,6821245.811007588,20.00742794182563,124672710.80869788
2008,140444265.21723995,6811480.987148535,20.042997220702617,124972576.31867567
2009,141401898.99723074,6842788.656303234,20.04404926195795,125075275.25568683
2010,145081588.39879847,6897548.236989631,20.092849402751355,125993652.64215745
2011,148395554.65743327,6888267.634900075,20.118967439904463,126649557.07776038
2012,151367360.1995199,6873500.759800663,20.117079026300537,127148877.04763094
2013,153986822.01890966,6837970.427539656,20.102531195904454,127542112.27362299
2014,156082000.4392429,6814798.558390245,20.085276796205704,127738610.77405669
2015,157414588.71001893,6792567.041485205,20.0380556650754,127657771.50796947
2016,158501889.77689776,6760155.717053575,20.026680657607933,127737496.58315745
2017,159196174.58422148,6740058.320601371,20.04755378327788,127950771.32200289
2018,159164927.91434768,6752120.763260592,20.052302303277642,127954820.73800357
2019,158371871.91319054,6760054.182889701,20.041569786456254,127827920.5408067
2020,156480619.23197234,6769443.835648102,20.00792700918266,127426766.25704747
2021,153265136.5350803,6765168.943312758,19.992149892050136,126837577.67404589
2022,149383370.95064366,6758744.83131533,19.973552426070036,126121292.39897373
