Ano,Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
1985,0.01571585,2181601.0603402,16.8950454682,68308054.2218253
1986,0.044793972,3049726.37032869,18.0935973458,74693011.508717
1987,0.138242522,2040190.33383271,18.502972864,77934410.685391
1988,1.03243392,2825930.77660923,18.0253136944,77402625.7123053
1989,17.83700257,3581074.48654063,18.0357733033,80959339.9194671
1990,431.2081162,2624191.47355299,17.2942659152,78987028.4699081
1991,2105.983555,2913046.02067458,17.4862919047,81203891.5245234
1992,24784.5575,3049319.13982207,17.7565110336,84052398.193705
1993,501168.5879,2979246.98237238,18.4320880928,88744882.3801822
1994,12780147.26,3913353.68657659,18.7359294484,91711569.0047207
1995,24231134.85,4758561.13159081,19.5010579924,97007213.4398628
1996,29891812.92,5647341.48363253,19.8858255241,100494868.667607
1997,33194430.11,6418578.38318641,20.4634529228,105028058.222821
1998,33818977.84,6505387.92119331,20.1427853348,104956218.836109
1999,37151230.05,5736369.33220049,20.0822904535,106827041.18722
2000,43311914.37,6081440.08603917,20.5757218084,111294840.563232
2001,48748284.57,5746352.44154598,20.8844623857,114847146.364077
2002,47349188.4485228,5423062.34323014,16.2728272811,89951421.2716989
2003,55507853.168853,4943546.15421658,16.4835158216,92426913.8709342
2004,64196446.3526002,5177440.8328118,17.1806367997,99204055.0349884
2005,70123647.2915008,4854554.85410321,17.193658534,100867766.958214
2006,78646522.3923019,4890572.19932579,17.782012772,105949962.110862
2007,89500311.540418,7192309.11765161,18.6557953445,113277821.429542
2008,104054181.57759,5621789.55926997,20.003019653,121070016.712251
2009,111282602.356321,7051224.40421525,19.719133891,120656312.461879
2010,130469640.606946,9249121.99784322,20.5418291342,130469640.606946
2011,146944765.732851,9186029.26918417,21.475165748,135659781.689186
2012,162052287.2483,9578462.19243024,21.7827845466,138598063.849105
2013,180971624.080571,8856104.875086,21.7016863708,143974499.6119
2014,204832301.343842,8589548.8503574,22.4613396977,151100756.425019
2015,209670421.406081,8644233.43110989,21.0861283284,143790315.435435
2016,217913094.017315,8018050.23668197,20.0058239359,138240603.501979
2017,233947785.492118,6908187.31388022,20.454305529,143156916.084328
2018,247908034.239271,6943394.70657723,20.8314506335,145175917.184099
2019,267891286.89363,6844139.92140713,21.3433328745,150519840.598444
2020,289284904.543779,7160856.62183516,20.7433882064,152659376.119694
2021,,,,
2022,,,,
