,Alagoas - IDH,Alagoas - Depósito Poupança (R$),Alagoas - Consumo de Cimento (t),Alagoas - IDH Longevidade,Alagoas - value,Alagoas - IDH Renda,Alagoas- custo m2 (R$),Alagoas - Desemprego,Alagoas - Produção de Cimento (t),Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado,Alagoas - IDH Educacao,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,0.6351595081435675,1594356.02002233,30.109,0.7280815868930433,0.2944342718417941,0.5879824042576214,11196.7036,8.765720926489202,30.77944,25905282.52092277,1303625.4085053522,7.576442899418728,23598877.767557368,0.5740039225967265,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,0.6355706221051998,1598003.766471846,27.684,0.7285317139404497,0.2962105818659526,0.5883539478138853,11284.186676923078,8.760195773904087,30.599132307692308,25936854.251181744,1305019.9209963558,7.578654493282365,23608605.37437345,0.5745171470842889,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,0.6359817360668321,1601651.5129213615,26.534,0.7289818409878562,0.297520654945091,0.5887254913701492,11367.266676923076,8.75467062131897,30.545910085470087,25968425.981440715,1306414.4334873594,7.580866087146003,23618332.981189545,0.5750303715718513,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,0.6363928500284644,1605299.2593708776,25.109,0.7294319680352628,0.2987661941159036,0.589097034926413,11444.09417692308,8.749145468733856,30.377624371184368,25999997.71169969,1307808.945978363,7.583077681009641,23628060.588005632,0.5755435960594137,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,0.6368039639900965,1608947.005820393,25.171,0.7298820950826692,0.2999446400137953,0.5894685784826769,11519.250728647216,8.74362031614874,30.46490023325334,26031569.441958666,1309203.458469367,7.585289274873278,23637788.194821723,0.5760568205469763,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,0.6372150779517288,1612594.7522699093,22.645,0.7303322221300756,0.3010533427651367,0.5898401220389408,11599.210061980548,8.738095163563624,30.18366689992001,26063141.17221764,1310597.9709603705,7.587500868736916,23647515.80163781,0.5765700450345387,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,0.6376261919133611,1616242.498719425,24.689,0.7307823491774822,0.3018898131822703,0.5902116655952045,11665.57264262571,8.73257001097851,31.07850560959743,26094712.90247661,1311992.483451374,7.589712462600554,23657243.408453897,0.5770832695221011,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,0.6380373058749934,1619890.2451689409,23.364,0.7312324762248887,0.3026562533734356,0.5905832091514684,11730.16639262571,8.727044858393393,31.116880609597423,26126284.632735584,1313386.9959423773,7.591924056464191,23666971.015269987,0.5775964940096635,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,0.6384484198366257,1623537.9916184568,26.382,0.7316826032722952,0.3031468647592595,0.5909547527077323,11793.871544140862,8.721519705808278,31.67536545808227,26157856.36299456,1314781.5084333809,7.594135650327829,23676698.622086074,0.5781097184972259,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,0.6388595337982579,1627185.7380679725,26.634,0.7321327303197016,0.3035640141100778,0.5913262962639962,11855.654485317336,8.715994553223162,32.06507134043522,26189428.09325353,1316176.0209243845,7.596347244191466,23686426.228902165,0.5786229429847884,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
