,Mato Grosso Do Sul - Consumo de Cimento (t),Mato Grosso do Sul- custo m2 (R$),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Mato Grosso do Sul - IDH,Mato Grosso Do Sul - Produção de Cimento (t),Mato Grosso do Sul - IDH Educacao,Mato Grosso do Sul - IDH Longevidade,Mato Grosso do Sul - Desemprego,Mato Grosso do Sul - value,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado,Mato Grosso do Sul - Depósito Poupança (R$),Mato Grosso do Sul - IDH Renda,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2003-1,33.744,10575.832,3.1275114723840987,951.776389624817,1411.7855236496366,24.741736985732995,18.860002212550537,72.03292632264257,3.1170913188942886,0.7416255410896376,53.16656000000001,0.6708820725943864,0.7955645476426897,8.248824124668724,0.2828366159676909,45629451.73015587,2151916.7490467816,16.20317859675067,39575454.63772257,1583944.28412848,0.7810962964284639,384683.0938712437,7330309.193826131,231.51074798216845,2097000.9864067405,1.0365342950716354,3.656420434634564,0.9696488878423896,0.7240323223220154,-5331.049150116268,11.520142924731228,126.45980915464608,177206913.03714657,169.24766508395643,1.6114984011933968
2003-2,32.23,10674.618538461538,3.1249715227305184,952.4929499937836,1417.150685148362,24.08799729564226,17.858746095492613,70.44269229033372,3.1342525477952417,0.7417097795134568,53.24571384615385,0.6711458240992535,0.7958784081551638,8.24293505639178,0.2844872543790115,45687062.68315776,2153542.42981092,16.206131093408896,39591552.76691136,1591664.7975175548,0.7807497654470614,385266.2039276414,7335910.173263511,208.71015703269052,2000522.7967193644,0.9934494214635804,3.654696592424286,0.9507826970690516,0.6902970479188117,-5318.079644051534,11.189861881849811,126.58181336832098,177388401.60938227,170.1768096658525,1.4503889427633918
2003-3,33.559,10766.098168091166,2.985640892293399,953.0769705135392,1387.8893693773125,23.538968027953025,16.806764930442984,68.40358315220253,3.2258068482093014,0.7417940179372761,52.99463977207978,0.6714095756041207,0.7961922686676377,8.237045988114833,0.2853794868050859,45744673.63615967,2155168.1105750576,16.209083590067124,39607650.89610015,1599385.31090663,0.780403234465659,385305.059559777,7341511.152700892,227.70484146326487,1963277.563715221,0.9730199952886446,3.654265631871717,0.9383319190618296,0.6696806488591152,-5436.417870121553,10.82079163233486,126.70381758199588,177569890.18161798,171.13571268536208,1.870184311511264
2003-4,34.283,10853.134596662596,2.6150765553104214,953.9787214679296,1365.6883968115674,22.897246451255807,15.218195759619883,64.88032375447254,3.3659844373005563,0.7418782563610953,53.01928262922264,0.6716733271089879,0.7965061291801118,8.231156919837888,0.2860891702913077,45802284.58916156,2156793.791339196,16.212036086725348,39623749.02528894,1607105.824295705,0.7800567034842565,385752.0526974837,7347112.132138272,278.1210725338106,1954186.9673829167,0.940488752580393,3.653595248789941,0.9264010581332036,0.6604937853917251,-5707.015273535643,10.417840426092068,126.8258217956708,177751378.75385368,172.11690429852618,1.3552874765398468
2003-5,36.066,10952.713907007424,2.4886085036898997,954.7236049595984,1361.257638432103,22.05913374817381,13.316196783497174,61.05625444237862,3.546946722239324,0.7419624947849145,53.53959297405022,0.671937078613855,0.7968199896925857,8.225267851560943,0.2861222820914299,45859895.542163454,2158419.472103334,16.214988583383573,39639847.15447773,1614826.33768478,0.7797101725028539,387164.02245145215,7352713.111575652,344.8276329403539,1975492.815967628,0.9174932274418915,3.650265742856423,0.9516834453474324,0.6483369045565663,-5599.317940972945,9.959689613256948,126.976217268469,177932867.32608938,173.07227137831447,1.5855384957135032
2003-6,35.697,11045.48957367409,2.2990421432898978,954.8766324198642,1354.1636709865866,22.10294105545881,12.722456055681125,59.011715498342376,3.751309158040638,0.7420467332087337,53.57775964071689,0.6722008301187222,0.7971338502050598,8.219378783283998,0.2857502473319135,45917506.49516536,2160045.152867472,16.217941080041797,39655945.28366652,1622546.8510738548,0.7793636415214514,388761.2150297872,7358314.091013032,403.3358108738256,1998603.3336101088,0.9127593777790712,3.6467914899304974,0.9096671663294,0.6327588982490451,-5720.383331634745,9.432414860416127,127.12661274126718,178114355.8983251,174.08403528043308,1.7078914536714904
2003-7,40.248,11116.889896254734,2.145233689396457,954.464531187664,1353.8911750311854,22.2391184705972,12.698481236855832,58.13757751527891,3.9717870417544168,0.7421309716325528,53.536114479426566,0.6724645816235894,0.7974477107175337,8.213489715007054,0.2850051447314249,45975117.44816725,2161670.83363161,16.22089357670002,39672043.41285531,1630267.3644629298,0.779017110540049,391151.2474962479,7363915.070450412,458.988731857359,2015092.1149275475,0.9100665913481976,3.64252033160977,0.8904414926874215,0.6380135035998685,-5884.375046061743,8.822929754380787,127.27700821406538,178295844.4705608,175.11686754427973,1.5982839320937383
2003-8,36.262,11184.972083754736,2.7291559823068963,953.66617998652,1318.3588993453238,22.763929933661245,13.573500336858046,59.120858275511445,4.156242351151488,0.742215210056372,53.56017697942656,0.6727283331284565,0.7977615712300078,8.207600646730107,0.284168955244418,46032728.40116914,2163296.5143957483,16.22384607335825,39688141.54204411,1637987.877852005,0.7786705795586465,394602.69250520703,7369516.049887793,511.35366509461136,2025274.426403531,0.8898926477529421,3.637477796639721,0.8702308928724296,0.6346344548960355,-5959.855464930735,8.332469749880811,127.78581374211151,178477333.0427965,176.1781190591966,1.7218082520903182
2003-9,34.63,11249.866023148674,2.657821342599126,952.584368508031,1346.103968279522,23.74020074049739,15.411947695479496,62.079588162579576,4.121987015429353,0.7422994484801912,53.33948000972959,0.6729920846333237,0.7980754317424819,8.201711578453162,0.2832395560173339,46090339.354171045,2164922.195159886,16.226798570016474,39704239.6712329,1645708.39124108,0.778324048577244,399908.58800029097,7375117.029325173,553.8427506830036,2031413.005992216,0.8665147784673063,3.631689413765834,0.844478552685211,0.6323269495840285,-6014.809970017429,7.939983702859978,128.29461927015768,178658821.6150322,177.28690599934166,1.6351282376087797
2003-10,36.875,11311.376317266322,2.613745419986671,951.4940835485644,1419.555553100752,24.382164694032696,16.667722811138358,64.08773837837349,4.029853863407983,0.7423836869040105,53.42883295090606,0.6732558361381908,0.7983892922549558,8.195822510176217,0.2812596935686766,46147950.30717294,2166547.8759240243,16.229751066674698,39720337.80042169,1653428.9046301548,0.7779775175958414,405807.0561010996,7380718.008762553,592.2047551147313,2157686.7340271496,0.8493838484375612,3.625180711733593,0.8421829305905358,0.629038170305887,-6121.266757398654,7.604976000172705,128.80342479820382,178840310.1872679,178.40644498164465,1.8119435424411887
2003-11,33.128,11371.12574583775,2.73667233930538,951.155841621895,1442.2256725292673,24.764417163675745,17.429852013967427,65.80392385876054,3.851828443390839,0.7424679253278297,53.413175808048926,0.673519587643058,0.7987031527674299,8.18993344189927,0.2790239358838893,46205561.26017483,2168173.5566881625,16.232703563332926,39736435.92961048,1661149.41801923,0.777630986614439,410971.7288202781,7386318.988199934,623.3781786324848,2314384.902305873,0.8382390949358776,3.61797721928848,0.8327971802717965,0.6315074373857803,-6097.745583517717,7.313008932848318,129.56686929035564,179021798.7595036,179.4957290410064,1.6375042967189617
2003-12,30.87,11427.34074583775,2.202210779757508,950.9405504820642,1545.8746202208029,24.975226914421373,17.727895134171224,66.48531237502132,3.606419297211154,0.7425521637516489,53.71334247471559,0.6737833391479252,0.7990170132799038,8.184044373622326,0.2765105059250095,46263172.213176735,2169799.2374523003,16.23565605999115,39752534.05879928,1668869.931408305,0.7772844556330365,414731.1569842756,7391919.967637314,635.2966266455436,2399709.7029366046,0.8211746264022252,3.6101044651759793,0.8169855326871092,0.6292469617617195,-6082.10009002275,7.034262103245153,130.33031378250743,179203287.3317393,180.5826505067935,1.7623760541706297
2004-1,36.256,11480.9320971891,2.3471520189399078,950.982147906926,1527.0586021531044,24.94334637295941,17.89311144773752,67.25873956666048,3.5222480128369216,0.7426364021754681,54.10134247471559,0.6740470906527923,0.7993308737923779,8.178155305345381,0.2737133829288115,46320783.16617863,2171424.9182164385,16.238608556649375,39768632.18798807,1676590.44479738,0.776937924651634,417533.7771609108,7397520.947074695,608.3645349020483,2379575.1981304954,0.8146624868021721,3.6015879781415734,0.8183674345886709,0.6279521987366027,-6360.043009879893,6.775421109777445,131.09375827465925,179384775.903975,181.71762234118845,1.3607725559131063
2004-2,33.675,11532.720518241733,2.3178697720605723,951.9273802192572,1428.9148820610935,23.973591989150176,17.504610899663366,69.56177813887352,3.4429644581470464,0.7427196440090674,54.07192142208402,0.6743122222261928,0.7995951482109509,8.176434088868962,0.2707939435428158,46377677.8994653,2172767.193140152,16.243263336617684,39786790.0351558,1667690.9136981475,0.7766162950681449,422402.9868290372,7402970.507331404,587.1238050372627,2286865.77068742,0.7877508194696684,3.592453286930746,0.813175865272952,0.6179234500456987,-6312.09879505444,6.535527586437412,131.98976210790366,179558325.62127495,182.87265024146924,1.2915557727587674
