,Santa Catarina - Depósito Poupança (R$)
2003-1,8001966.89861661
2003-2,8038182.1769561805
2003-3,8074397.45529575
2003-4,8110612.733635319
2003-5,8146828.01197489
2003-6,8183043.29031446
2003-7,8219258.56865403
2003-8,8255473.846993599
2003-9,8291689.1253331695
2003-10,8327904.40367274
2003-11,8364119.682012309
2003-12,8400334.960351879
2004-1,8436550.23869145
2004-2,8431468.8879486
2004-3,8426387.53720575
2004-4,8421306.186462902
2004-5,8416224.835720053
2004-6,8411143.484977204
2004-7,8406062.134234354
2004-8,8400980.783491505
2004-9,8395899.432748657
2004-10,8390818.082005806
2004-11,8385736.731262958
2004-12,8380655.380520109
2005-1,8375574.02977726
2005-2,8391445.241504434
2005-3,8407316.45323161
2005-4,8423187.664958784
2005-5,8439058.87668596
2005-6,8454930.088413134
2005-7,8470801.30014031
2005-8,8486672.511867484
2005-9,8502543.72359466
2005-10,8518414.935321834
2005-11,8534286.14704901
2005-12,8550157.358776184
2006-1,8566028.57050336
2006-2,8704474.390268737
2006-3,8842920.210034117
2006-4,8981366.029799495
2006-5,9119811.849564873
2006-6,9258257.669330252
2006-7,9396703.48909563
2006-8,9535149.308861008
2006-9,9673595.128626388
2006-10,9812040.948391765
2006-11,9950486.768157143
2006-12,10088932.587922523
2007-1,10227378.4076879
2007-2,10529890.136814209
2007-3,10832401.865940517
2007-4,11134913.595066825
2007-5,11437425.324193133
2007-6,11739937.053319443
2007-7,12042448.782445751
2007-8,12344960.51157206
2007-9,12647472.240698367
2007-10,12949983.969824675
2007-11,13252495.698950984
2007-12,13555007.428077292
2008-1,13857519.1572036
2008-2,13892821.847553384
2008-3,13928124.537903167
2008-4,13963427.22825295
2008-5,13998729.918602733
2008-6,14034032.608952517
2008-7,14069335.299302299
2008-8,14104637.989652082
2008-9,14139940.680001866
2008-10,14175243.37035165
2008-11,14210546.060701434
2008-12,14245848.751051215
2009-1,14281151.441401
2009-2,14332307.135450916
2009-3,14383462.829500832
2009-4,14434618.523550749
2009-5,14485774.217600666
2009-6,14536929.911650583
2009-7,14588085.6057005
2009-8,14639241.299750416
2009-9,14690396.993800333
2009-10,14741552.68785025
2009-11,14792708.381900165
2009-12,14843864.075950082
2010-1,14895019.77
2010-2,14964310.999693483
2010-3,15033602.229386967
2010-4,15102893.45908045
2010-5,15172184.688773934
2010-6,15241475.918467417
2010-7,15310767.1481609
2010-8,15380058.377854383
2010-9,15449349.607547866
2010-10,15518640.83724135
2010-11,15587932.066934833
2010-12,15657223.296628317
2011-1,15726514.5263218
2011-2,15836737.923152242
2011-3,15946961.319982683
2011-4,16057184.716813125
2011-5,16167408.113643566
2011-6,16277631.510474008
2011-7,16387854.90730445
2011-8,16498078.304134892
2011-9,16608301.700965334
2011-10,16718525.097795775
2011-11,16828748.494626217
2011-12,16938971.891456656
2012-1,17049195.2882871
2012-2,17220358.220197298
2012-3,17391521.1521075
2012-4,17562684.0840177
2012-5,17733847.0159279
2012-6,17905009.947838098
2012-7,18076172.8797483
2012-8,18247335.8116585
2012-9,18418498.7435687
2012-10,18589661.675478898
2012-11,18760824.6073891
2012-12,18931987.5392993
2013-1,19103150.4712095
2013-2,19133504.48865595
2013-3,19163858.506102398
2013-4,19194212.52354885
2013-5,19224566.5409953
2013-6,19254920.55844175
2013-7,19285274.5758882
2013-8,19315628.59333465
2013-9,19345982.6107811
2013-10,19376336.62822755
2013-11,19406690.645673998
2013-12,19437044.66312045
2014-1,19467398.6805669
2014-2,19369190.585728876
2014-3,19270982.49089085
2014-4,19172774.396052822
2014-5,19074566.3012148
2014-6,18976358.206376776
2014-7,18878150.11153875
2014-8,18779942.016700722
2014-9,18681733.9218627
2014-10,18583525.827024676
2014-11,18485317.73218665
2014-12,18387109.637348622
2015-1,18288901.5425106
2015-2,18221325.499171514
2015-3,18153749.455832433
2015-4,18086173.412493348
2015-5,18018597.369154267
2015-6,17951021.325815182
2015-7,17883445.282476097
2015-8,17815869.239137016
2015-9,17748293.19579793
2015-10,17680717.15245885
2015-11,17613141.109119765
2015-12,17545565.065780684
2016-1,17477989.0224416
2016-2,17551884.364228867
2016-3,17625779.706016134
2016-4,17699675.047803402
2016-5,17773570.389590666
2016-6,17847465.731377933
2016-7,17921361.0731652
2016-8,17995256.414952468
2016-9,18069151.756739736
2016-10,18143047.098527
2016-11,18216942.440314267
2016-12,18290837.782101534
2017-1,18364733.1238888
2017-2,18435046.531208694
2017-3,18505359.938528586
2017-4,18575673.34584848
2017-5,18645986.753168367
2017-6,18716300.16048826
2017-7,18786613.56780815
2017-8,18856926.975128043
2017-9,18927240.382447936
2017-10,18997553.789767824
2017-11,19067867.197087716
2017-12,19138180.60440761
2018-1,19208494.0117275
2018-2,19223976.038915418
2018-3,19239458.066103335
2018-4,19254940.093291253
2018-5,19270422.120479167
2018-6,19285904.147667084
2018-7,19301386.174855
2018-8,19316868.20204292
2018-9,19332350.229230836
2018-10,19347832.25641875
2018-11,19363314.283606667
2018-12,19378796.310794584
2019-1,19394278.3379825
2019-2,19563961.45023288
2019-3,19733644.56248325
2019-4,19903327.674733628
2019-5,20073010.786984
2019-6,20242693.899234377
2019-7,20412377.01148475
2019-8,20582060.123735126
2019-9,20751743.235985503
2019-10,20921426.348235875
2019-11,21091109.46048625
2019-12,21260792.572736625
2020-1,21430475.684987
2020-2,21262941.06205081
2020-3,21095406.43911462
2020-4,20927871.816178426
2020-5,20760337.193242233
2020-6,20592802.570306044
2020-7,20425267.94736985
2020-8,20257733.32443366
2020-9,20090198.70149747
2020-10,19922664.078561276
2020-11,19755129.455625083
2020-12,19587594.832688894
2021-1,19420060.2097527
2021-2,19169079.2348224
2021-3,18918098.259892102
2021-4,18667117.2849618
2021-5,18416136.3100315
2021-6,18165155.335101202
2021-7,17914174.3601709
2021-8,17663193.3852406
2021-9,17412212.410310302
2021-10,17161231.43538
2021-11,16910250.4604497
2021-12,16659269.485519402
2022-1,16408288.5105891
2022-2,16408288.5105891
2022-3,16408288.5105891
2022-4,16408288.5105891
2022-5,16408288.5105891
2022-6,16408288.5105891
2022-7,16408288.5105891
2022-8,16408288.5105891
2022-9,16408288.5105891
2022-10,16408288.5105891
2022-11,16408288.5105891
2022-12,16408288.5105891
2023-1,16408288.5105891
