,Espírito Santo - Depósito Poupança (R$)
2021-3,9103087.61632214
2021-4,9007894.3351758
2021-5,8912701.05402946
2021-6,8817507.772883119
2021-7,8722314.49173678
2021-8,8627121.21059044
2021-9,8531927.9294441
2021-10,8436734.64829776
2021-11,8341541.367151421
2021-12,8246348.0860050805
2022-1,8151154.80485874
2022-2,8151154.80485874
2022-3,8151154.80485874
2022-4,8151154.80485874
2022-5,8151154.80485874
2022-6,8151154.80485874
2022-7,8151154.80485874
2022-8,8151154.80485874
2022-9,8151154.80485874
2022-10,8151154.80485874
2022-11,8151154.80485874
2022-12,8151154.80485874
2023-1,8151154.80485874
