,Goiás - Depósito Poupança (R$)
2003-1,3935259.86372313
2003-2,3962330.428733641
2003-3,3989400.9937441517
2003-4,4016471.5587546625
2003-5,4043542.1237651734
2003-6,4070612.688775684
2003-7,4097683.253786195
2003-8,4124753.818796706
2003-9,4151824.383807217
2003-10,4178894.9488177276
2003-11,4205965.5138282385
2003-12,4233036.078838749
2004-1,4260106.64384926
2004-2,4250749.563369477
2004-3,4241392.482889693
2004-4,4232035.40240991
2004-5,4222678.321930127
2004-6,4213321.241450343
2004-7,4203964.16097056
2004-8,4194607.080490776
2004-9,4185250.0000109933
2004-10,4175892.91953121
2004-11,4166535.8390514264
2004-12,4157178.7585716434
2005-1,4147821.67809186
2005-2,4179766.1689492376
2005-3,4211710.659806615
2005-4,4243655.150663992
2005-5,4275599.64152137
2005-6,4307544.132378748
2005-7,4339488.623236125
2005-8,4371433.114093503
2005-9,4403377.604950881
2005-10,4435322.095808257
2005-11,4467266.586665635
2005-12,4499211.077523013
2006-1,4531155.56838039
2006-2,4632966.052915992
2006-3,4734776.537451593
2006-4,4836587.021987195
2006-5,4938397.506522797
2006-6,5040207.991058398
2006-7,5142018.475594
2006-8,5243828.960129602
2006-9,5345639.444665203
2006-10,5447449.929200805
2006-11,5549260.413736407
2006-12,5651070.898272008
2007-1,5752881.38280761
2007-2,5793151.504745508
2007-3,5833421.6266834065
2007-4,5873691.7486213045
2007-5,5913961.870559203
2007-6,5954231.992497101
2007-7,5994502.114435
2007-8,6034772.236372898
2007-9,6075042.358310796
2007-10,6115312.480248695
2007-11,6155582.602186593
2007-12,6195852.724124492
2008-1,6236122.84606239
2008-2,6282446.469219107
2008-3,6328770.092375823
2008-4,6375093.71553254
2008-5,6421417.338689256
2008-6,6467740.9618459735
2008-7,6514064.585002691
2008-8,6560388.208159407
2008-9,6606711.831316124
2008-10,6653035.45447284
2008-11,6699359.077629557
2008-12,6745682.700786273
2009-1,6792006.32394299
2009-2,6874641.904281074
2009-3,6957277.484619158
2009-4,7039913.064957242
2009-5,7122548.645295327
2009-6,7205184.225633411
2009-7,7287819.805971495
2009-8,7370455.386309579
2009-9,7453090.966647663
2009-10,7535726.546985747
2009-11,7618362.127323831
2009-12,7700997.707661916
2010-1,7783633.288
2010-2,7821325.498691248
2010-3,7859017.709382497
2010-4,7896709.920073745
2010-5,7934402.130764993
2010-6,7972094.341456242
2010-7,8009786.55214749
2010-8,8047478.762838738
2010-9,8085170.973529987
2010-10,8122863.184221235
2010-11,8160555.394912483
2010-12,8198247.605603732
2011-1,8235939.81629498
2011-2,8319535.361122505
2011-3,8403130.90595003
2011-4,8486726.450777555
2011-5,8570321.99560508
2011-6,8653917.540432606
2011-7,8737513.08526013
2011-8,8821108.630087655
2011-9,8904704.17491518
2011-10,8988299.719742704
2011-11,9071895.26457023
2011-12,9155490.809397755
2012-1,9239086.35422528
2012-2,9373805.705035415
2012-3,9508525.05584555
2012-4,9643244.406655684
2012-5,9777963.75746582
2012-6,9912683.108275956
2012-7,10047402.45908609
2012-8,10182121.809896225
2012-9,10316841.16070636
2012-10,10451560.511516497
2012-11,10586279.862326631
2012-12,10720999.213136766
2013-1,10855718.5639469
2013-2,10903062.84449986
2013-3,10950407.125052817
2013-4,10997751.405605776
2013-5,11045095.686158733
2013-6,11092439.966711693
2013-7,11139784.24726465
2013-8,11187128.527817609
2013-9,11234472.808370568
2013-10,11281817.088923525
2013-11,11329161.369476484
2013-12,11376505.650029441
2014-1,11423849.9305824
2014-2,11346716.025425768
