,Piauí - Depósito Poupança (R$)
2003-1,1392135.6263237
2003-2,1402507.4310370209
2003-3,1412879.2357503416
2003-4,1423251.0404636625
2003-5,1433622.8451769834
2003-6,1443994.649890304
2003-7,1454366.454603625
2003-8,1464738.259316946
2003-9,1475110.0640302666
2003-10,1485481.8687435875
2003-11,1495853.6734569084
2003-12,1506225.4781702291
2004-1,1516597.28288355
2004-2,1524729.7541840868
2004-3,1532862.2254846233
2004-4,1540994.69678516
2004-5,1549127.1680856966
2004-6,1557259.6393862334
2004-7,1565392.1106867702
2004-8,1573524.5819873067
2004-9,1581657.0532878435
2004-10,1589789.52458838
2004-11,1597921.9958889168
2004-12,1606054.4671894533
2005-1,1614186.93848999
2005-2,1622447.4865919077
2005-3,1630708.034693825
2005-4,1638968.5827957424
2005-5,1647229.13089766
2005-6,1655489.6789995776
2005-7,1663750.227101495
2005-8,1672010.7752034124
2005-9,1680271.32330533
2005-10,1688531.8714072476
2005-11,1696792.419509165
2005-12,1705052.9676110824
2006-1,1713313.515713
2006-2,1730279.285297806
2006-3,1747245.0548826116
2006-4,1764210.8244674176
2006-5,1781176.5940522233
2006-6,1798142.3636370292
2006-7,1815108.133221835
2006-8,1832073.9028066408
2006-9,1849039.6723914468
2006-10,1866005.4419762525
2006-11,1882971.2115610584
2006-12,1899936.9811458641
2007-1,1916902.75073067
2007-2,1937111.9399531933
2007-3,1957321.1291757168
2007-4,1977530.31839824
2007-5,1997739.5076207633
2007-6,2017948.6968432867
2007-7,2038157.88606581
2007-8,2058367.0752883332
2007-9,2078576.2645108567
2007-10,2098785.45373338
2007-11,2118994.6429559034
2007-12,2139203.8321784264
2008-1,2159413.02140095
2008-2,2175160.522632295
2008-3,2190908.0238636397
2008-4,2206655.525094985
2008-5,2222403.02632633
2008-6,2238150.527557675
2008-7,2253898.02878902
2008-8,2269645.530020365
2008-9,2285393.03125171
2008-10,2301140.532483055
2008-11,2316888.0337143997
2008-12,2332635.534945745
2009-1,2348383.03617709
2009-2,2368428.2976623327
2009-3,2388473.559147575
2009-4,2408518.820632817
2009-5,2428564.08211806
2009-6,2448609.3436033027
2009-7,2468654.605088545
2009-8,2488699.8665737873
2009-9,2508745.12805903
2009-10,2528790.389544273
2009-11,2548835.651029515
2009-12,2568880.9125147574
2010-1,2588926.174
2010-2,2605181.579344125
2010-3,2621436.9846882503
2010-4,2637692.390032375
2010-5,2653947.7953765
2010-6,2670203.200720625
2010-7,2686458.60606475
2010-8,2702714.011408875
2010-9,2718969.416753
2010-10,2735224.822097125
2010-11,2751480.2274412503
2010-12,2767735.632785375
2011-1,2783991.0381295
2011-2,2805970.02913638
2011-3,2827949.0201432602
2011-4,2849928.0111501403
2011-5,2871907.00215702
2011-6,2893885.9931639
2011-7,2915864.98417078
2011-8,2937843.97517766
2011-9,2959822.96618454
2011-10,2981801.95719142
2011-11,3003780.9481983
2011-12,3025759.93920518
2012-1,3047738.93021206
2012-2,3081838.2837924026
2012-3,3115937.637372745
2012-4,3150036.9909530873
2012-5,3184136.34453343
2012-6,3218235.6981137726
2012-7,3252335.0516941147
2012-8,3286434.4052744573
2012-9,3320533.7588548
2012-10,3354633.1124351425
2012-11,3388732.466015485
2012-12,3422831.8195958273
2013-1,3456931.17317617
2013-2,3471222.276665704
2013-3,3485513.3801552383
2013-4,3499804.4836447723
2013-5,3514095.587134307
2013-6,3528386.690623841
2013-7,3542677.7941133752
2013-8,3556968.8976029092
2013-9,3571260.0010924432
2013-10,3585551.1045819777
2013-11,3599842.2080715117
2013-12,3614133.311561046
2014-1,3628424.41505058
2014-2,3626157.301569551
2014-3,3623890.188088522
2014-4,3621623.0746074924
2014-5,3619355.9611264635
2014-6,3617088.8476454346
2014-7,3614821.734164405
2014-8,3612554.6206833757
2014-9,3610287.507202347
2014-10,3608020.393721318
2014-11,3605753.2802402885
2014-12,3603486.166759259
2015-1,3601219.05327823
2015-2,3599162.270704486
2015-3,3597105.4881307418
2015-4,3595048.7055569976
2015-5,3592991.9229832534
2015-6,3590935.140409509
2015-7,3588878.357835765
2015-8,3586821.575262021
2015-9,3584764.7926882766
2015-10,3582708.0101145324
2015-11,3580651.2275407882
2015-12,3578594.444967044
2016-1,3576537.6623933
2016-2,3591355.3308458817
2016-3,3606172.999298463
2016-4,3620990.667751045
2016-5,3635808.3362036264
2016-6,3650626.004656208
2016-7,3665443.67310879
2016-8,3680261.3415613715
2016-9,3695079.0100139533
2016-10,3709896.6784665347
2016-11,3724714.3469191166
2016-12,3739532.015371698
2017-1,3754349.68382428
2017-2,3765639.2447372233
2017-3,3776928.8056501667
2017-4,3788218.3665631097
2017-5,3799507.927476053
2017-6,3810797.4883889966
2017-7,3822087.04930194
2017-8,3833376.6102148835
2017-9,3844666.171127827
2017-10,3855955.7320407704
2017-11,3867245.2929537133
2017-12,3878534.853866657
2018-1,3889824.4147796
2018-2,3898141.504388522
2018-3,3906458.5939974436
2018-4,3914775.683606365
2018-5,3923092.773215287
2018-6,3931409.8628242086
2018-7,3939726.95243313
2018-8,3948044.0420420514
2018-9,3956361.131650973
2018-10,3964678.221259895
2018-11,3972995.3108688165
2018-12,3981312.400477738
2019-1,3989629.49008666
2019-2,4074202.2366124415
2019-3,4158774.983138223
2019-4,4243347.729664005
2019-5,4327920.476189787
2019-6,4412493.222715568
2019-7,4497065.96924135
2019-8,4581638.715767132
2019-9,4666211.462292913
2019-10,4750784.208818695
2019-11,4835356.955344477
2019-12,4919929.701870259
2020-1,5004502.44839604
2020-2,4944030.689541286
2020-3,4883558.930686532
2020-4,4823087.171831777
2020-5,4762615.412977023
2020-6,4702143.654122269
2020-7,4641671.8952675145
2020-8,4581200.136412761
2020-9,4520728.377558007
2020-10,4460256.618703253
2020-11,4399784.859848498
2020-12,4339313.100993744
2021-1,4278841.34213899
2021-2,4268482.894552904
2021-3,4258124.4469668185
2021-4,4247765.999380732
2021-5,4237407.551794646
2021-6,4227049.104208561
2021-7,4216690.656622475
2021-8,4206332.209036389
2021-9,4195973.761450304
2021-10,4185615.3138642176
2021-11,4175256.866278132
2021-12,4164898.418692046
2022-1,4154539.97110596
2022-2,4154539.97110596
2022-3,4154539.97110596
2022-4,4154539.97110596
2022-5,4154539.97110596
2022-6,4154539.97110596
2022-7,4154539.97110596
