,Roraima - Depósito Poupança (R$)
2003-1,137154.814617456
2003-2,138007.57210324492
2003-3,138860.32958903382
2003-4,139713.08707482275
2003-5,140565.84456061167
2003-6,141418.60204640057
2003-7,142271.3595321895
2003-8,143124.11701797842
2003-9,143976.87450376732
2003-10,144829.63198955625
2003-11,145682.38947534518
2003-12,146535.14696113407
2004-1,147387.904446923
2004-2,147842.82395684085
2004-3,148297.74346675866
2004-4,148752.66297667648
2004-5,149207.58248659433
2004-6,149662.50199651218
2004-7,150117.42150643
2004-8,150572.3410163478
2004-9,151027.26052626566
2004-10,151482.1800361835
2004-11,151937.09954610132
2004-12,152392.01905601914
2005-1,152846.938565937
2005-2,158533.62725078198
2005-3,164220.31593562698
2005-4,169907.004620472
2005-5,175593.693305317
2005-6,181280.381990162
2005-7,186967.070675007
2005-8,192653.759359852
2005-9,198340.448044697
2005-10,204027.136729542
2005-11,209713.82541438699
2005-12,215400.514099232
2006-1,221087.202784077
2006-2,225623.25586380332
2006-3,230159.30894352967
2006-4,234695.362023256
2006-5,239231.41510298234
2006-6,243767.46818270866
2006-7,248303.521262435
2006-8,252839.57434216133
2006-9,257375.62742188765
2006-10,261911.680501614
2006-11,266447.7335813403
2006-12,270983.78666106664
2007-1,275519.839740793
2007-2,291883.6929576265
2007-3,308247.54617446
2007-4,324611.3993912935
2007-5,340975.252608127
2007-6,357339.1058249605
2007-7,373702.959041794
2007-8,390066.8122586275
2007-9,406430.665475461
2007-10,422794.5186922945
2007-11,439158.37190912804
2007-12,455522.2251259615
2008-1,471886.078342795
2008-2,467128.8555496033
2008-3,462371.6327564115
2008-4,457614.4099632198
2008-5,452857.187170028
2008-6,448099.96437683626
2008-7,443342.7415836445
2008-8,438585.51879045274
2008-9,433828.295997261
2008-10,429071.0732040692
2008-11,424313.8504108775
2008-12,419556.6276176857
2009-1,414799.404824494
2009-2,413674.4637557861
2009-3,412549.52268707834
2009-4,411424.5816183705
2009-5,410299.64054966264
2009-6,409174.69948095485
2009-7,408049.758412247
2009-8,406924.81734353915
2009-9,405799.87627483136
2009-10,404674.9352061235
2009-11,403549.99413741566
2009-12,402425.0530687079
2010-1,401300.112
2010-2,402096.08300992526
2010-3,402892.0540198505
2010-4,403688.0250297758
2010-5,404483.99603970104
2010-6,405279.9670496263
2010-7,406075.9380595515
2010-8,406871.90906947677
2010-9,407667.880079402
2010-10,408463.85108932725
2010-11,409259.82209925255
2010-12,410055.7931091778
2011-1,410851.764119103
2011-2,413690.9437823389
2011-3,416530.12344557466
2011-4,419369.3031088105
2011-5,422208.48277204635
2011-6,425047.6624352822
2011-7,427886.84209851804
2011-8,430726.02176175383
2011-9,433565.2014249897
2011-10,436404.3810882255
2011-11,439243.5607514613
2011-12,442082.74041469715
2012-1,444921.920077933
2012-2,453348.07850830693
2012-3,461774.2369386808
2012-4,470200.39536905475
2012-5,478626.5537994287
2012-6,487052.71222980256
2012-7,495478.8706601765
2012-8,503905.02909055044
2012-9,512331.1875209243
2012-10,520757.34595129825
2012-11,529183.5043816721
2012-12,537609.6628120461
2013-1,546035.82124242
2013-2,540981.898029005
2013-3,535927.97481559
2013-4,530874.051602175
2013-5,525820.12838876
2013-6,520766.205175345
2013-7,515712.28196193
2013-8,510658.358748515
2013-9,505604.4355351
2013-10,500550.51232168503
2013-11,495496.58910827
2013-12,490442.66589485505
2014-1,485388.74268144
2014-2,482221.7151383051
2014-3,479054.68759517017
2014-4,475887.66005203524
