,Bahia - Depósito Poupança (R$)
2003-1,7782608.77337667
2003-2,7827093.840123741
2003-3,7871578.906870811
2003-4,7916063.9736178825
2003-5,7960549.040364953
2003-6,8005034.107112024
2003-7,8049519.173859095
2003-8,8094004.2406061655
2003-9,8138489.307353237
2003-10,8182974.374100307
2003-11,8227459.440847378
2003-12,8271944.5075944485
2004-1,8316429.57434152
2004-2,8324729.774011309
2004-3,8333029.973681098
2004-4,8341330.173350887
2004-5,8349630.373020676
2004-6,8357930.5726904655
2004-7,8366230.772360254
2004-8,8374530.972030044
2004-9,8382831.171699833
2004-10,8391131.371369623
2004-11,8399431.57103941
2004-12,8407731.7707092
2005-1,8416031.97037899
2005-2,8467370.312900888
2005-3,8518708.655422788
2005-4,8570046.997944687
2005-5,8621385.340466587
2005-6,8672723.682988485
2005-7,8724062.025510386
2005-8,8775400.368032284
2005-9,8826738.710554183
2005-10,8878077.053076083
2005-11,8929415.395597981
2005-12,8980753.738119882
2006-1,9032092.08064178
2006-2,9168338.786221832
2006-3,9304585.491801884
2006-4,9440832.197381936
2006-5,9577078.902961986
2006-6,9713325.608542038
2006-7,9849572.31412209
2006-8,9985819.019702142
2006-9,10122065.725282194
2006-10,10258312.430862244
2006-11,10394559.136442296
2006-12,10530805.842022348
2007-1,10667052.5476024
2007-2,10753488.80354181
2007-3,10839925.059481217
2007-4,10926361.315420626
2007-5,11012797.571360033
2007-6,11099233.827299442
2007-7,11185670.083238851
2007-8,11272106.339178259
2007-9,11358542.595117668
2007-10,11444978.851057075
2007-11,11531415.106996484
2007-12,11617851.362935891
2008-1,11704287.6188753
2008-2,11826336.72895966
2008-3,11948385.839044018
2008-4,12070434.949128374
2008-5,12192484.059212733
2008-6,12314533.169297092
2008-7,12436582.27938145
2008-8,12558631.389465809
2008-9,12680680.499550167
2008-10,12802729.609634526
2008-11,12924778.719718883
2008-12,13046827.829803241
2009-1,13168876.9398876
2009-2,13325759.033896966
2009-3,13482641.127906334
2009-4,13639523.2219157
2009-5,13796405.315925067
2009-6,13953287.409934433
2009-7,14110169.5039438
2009-8,14267051.597953167
2009-9,14423933.691962533
2009-10,14580815.7859719
2009-11,14737697.879981266
2009-12,14894579.973990634
2010-1,15051462.068
2010-2,15100527.366681159
2010-3,15149592.665362317
2010-4,15198657.964043476
2010-5,15247723.262724632
2010-6,15296788.561405791
2010-7,15345853.86008695
2010-8,15394919.158768108
2010-9,15443984.457449267
2010-10,15493049.756130423
2010-11,15542115.054811582
2010-12,15591180.35349274
2011-1,15640245.6521739
2011-2,15770636.161089275
2011-3,15901026.67000465
2011-4,16031417.178920023
2011-5,16161807.687835399
2011-6,16292198.196750775
2011-7,16422588.705666149
2011-8,16552979.214581523
2011-9,16683369.723496899
2011-10,16813760.232412275
2011-11,16944150.74132765
2011-12,17074541.250243023
2012-1,17204931.7591584
2012-2,17385785.06164916
2012-3,17566638.364139915
2012-4,17747491.666630674
2012-5,17928344.969121434
2012-6,18109198.27161219
2012-7,18290051.57410295
2012-8,18470904.87659371
2012-9,18651758.179084465
2012-10,18832611.481575225
2012-11,19013464.784065984
2012-12,19194318.08655674
2013-1,19375171.3890475
2013-2,19477641.684899632
2013-3,19580111.980751768
2013-4,19682582.2766039
2013-5,19785052.572456032
2013-6,19887522.868308168
2013-7,19989993.1641603
2013-8,20092463.460012432
2013-9,20194933.755864568
2013-10,20297404.0517167
2013-11,20399874.347568832
2013-12,20502344.64342097
2014-1,20604814.9392731
2014-2,20542630.673913274
2014-3,20480446.40855345
2014-4,20418262.143193625
2014-5,20356077.8778338
2014-6,20293893.612473976
2014-7,20231709.34711415
2014-8,20169525.081754323
2014-9,20107340.8163945
2014-10,20045156.551034674
2014-11,19982972.285674848
2014-12,19920788.020315025
2015-1,19858603.7549552
2015-2,19772054.087665323
2015-3,19685504.420375448
2015-4,19598954.753085576
2015-5,19512405.0857957
2015-6,19425855.418505825
2015-7,19339305.75121595
2015-8,19252756.083926074
2015-9,19166206.4166362
2015-10,19079656.749346323
2015-11,18993107.08205645
2015-12,18906557.414766576
2016-1,18820007.7474767
2016-2,18875949.330596402
2016-3,18931890.9137161
2016-4,18987832.4968358
2016-5,19043774.0799555
2016-6,19099715.6630752
2016-7,19155657.2461949
2016-8,19211598.8293146
2016-9,19267540.412434302
2016-10,19323481.995554
2016-11,19379423.5786737
2016-12,19435365.1617934
2017-1,19491306.7449131
2017-2,19579024.232044466
2017-3,19666741.719175834
2017-4,19754459.206307203
2017-5,19842176.693438567
2017-6,19929894.180569932
2017-7,20017611.6677013
2017-8,20105329.15483267
2017-9,20193046.641964033
2017-10,20280764.129095398
2017-11,20368481.616226766
2017-12,20456199.103358135
2018-1,20543916.5904895
2018-2,20576656.67502675
2018-3,20609396.759563997
2018-4,20642136.84410125
2018-5,20674876.9286385
2018-6,20707617.01317575
2018-7,20740357.097713
2018-8,20773097.18225025
2018-9,20805837.2667875
2018-10,20838577.35132475
2018-11,20871317.435861997
2018-12,20904057.52039925
2019-1,20936797.6049365
2019-2,21250788.24323054
2019-3,21564778.88152458
2019-4,21878769.519818626
2019-5,22192760.158112668
2019-6,22506750.79640671
2019-7,22820741.43470075
2019-8,23134732.07299479
2019-9,23448722.711288832
2019-10,23762713.349582873
2019-11,24076703.98787692
2019-12,24390694.62617096
2020-1,24704685.264465
2020-2,24441917.353016432
2020-3,24179149.441567868
2020-4,23916381.5301193
2020-5,23653613.618670736
2020-6,23390845.707222167
2020-7,23128077.795773603
2020-8,22865309.884325035
2020-9,22602541.972876467
2020-10,22339774.061427902
2020-11,22077006.149979334
2020-12,21814238.23853077
2021-1,21551470.3270822
2021-2,21444952.637203395
2021-3,21338434.947324585
2021-4,21231917.257445775
2021-5,21125399.56756697
2021-6,21018881.877688162
2021-7,20912364.18780935
2021-8,20805846.49793054
2021-9,20699328.808051735
2021-10,20592811.11817293
2021-11,20486293.42829412
2021-12,20379775.73841531
2022-1,20273258.0485365
2022-2,20273258.0485365
2022-3,20273258.0485365
2022-4,20273258.0485365
2022-5,20273258.0485365
2022-6,20273258.0485365
2022-7,20273258.0485365
2022-8,20273258.0485365
2022-9,20273258.0485365
2022-10,20273258.0485365
2022-11,20273258.0485365
2022-12,20273258.0485365
2023-1,20273258.0485365
