,Ceará - Depósito Poupança (R$)
2011-7,8437485.891181305
2011-8,8492611.38528322
2011-9,8547736.879385134
2011-10,8602862.373487048
2011-11,8657987.867588961
2011-12,8713113.361690877
2012-1,8768238.85579279
2012-2,8847571.442190442
2012-3,8926904.028588094
2012-4,9006236.614985745
2012-5,9085569.201383397
2012-6,9164901.787781049
2012-7,9244234.3741787
2012-8,9323566.960576352
2012-9,9402899.546974003
2012-10,9482232.133371655
2012-11,9561564.719769306
2012-12,9640897.306166958
2013-1,9720229.89256461
2013-2,9779727.8087306
2013-3,9839225.724896591
2013-4,9898723.641062582
2013-5,9958221.557228573
2013-6,10017719.473394563
2013-7,10077217.389560554
2013-8,10136715.305726547
2013-9,10196213.221892538
2013-10,10255711.138058528
2013-11,10315209.054224519
2013-12,10374706.97039051
2014-1,10434204.8865565
2014-2,10394526.025570868
2014-3,10354847.164585236
2014-4,10315168.303599603
2014-5,10275489.44261397
2014-6,10235810.581628338
2014-7,10196131.720642705
2014-8,10156452.859657073
2014-9,10116773.99867144
2014-10,10077095.137685807
2014-11,10037416.276700176
2014-12,9997737.415714543
2015-1,9958058.55472891
2015-2,9931683.133807115
2015-3,9905307.712885322
2015-4,9878932.291963529
2015-5,9852556.871041734
2015-6,9826181.450119939
2015-7,9799806.029198145
2015-8,9773430.608276352
2015-9,9747055.187354557
2015-10,9720679.766432762
2015-11,9694304.345510969
2015-12,9667928.924589176
2016-1,9641553.50366738
2016-2,9688647.427878924
2016-3,9735741.352090467
2016-4,9782835.27630201
2016-5,9829929.200513553
2016-6,9877023.124725096
2016-7,9924117.048936639
2016-8,9971210.973148184
2016-9,10018304.897359727
2016-10,10065398.82157127
2016-11,10112492.745782813
2016-12,10159586.669994356
2017-1,10206680.5942059
2017-2,10238256.977326732
2017-3,10269833.360447567
2017-4,10301409.7435684
2017-5,10332986.126689233
2017-6,10364562.509810066
2017-7,10396138.892930899
2017-8,10427715.276051734
2017-9,10459291.659172567
2017-10,10490868.0422934
2017-11,10522444.425414234
2017-12,10554020.808535067
2018-1,10585597.1916559
2018-2,10605448.451218983
2018-3,10625299.710782066
2018-4,10645150.97034515
2018-5,10665002.229908234
2018-6,10684853.489471316
2018-7,10704704.749034401
2018-8,10724556.008597484
2018-9,10744407.268160567
2018-10,10764258.52772365
2018-11,10784109.787286732
2018-12,10803961.046849817
2019-1,10823812.3064129
2019-2,10978520.778175041
2019-3,11133229.249937184
2019-4,11287937.721699325
2019-5,11442646.193461467
2019-6,11597354.665223608
2019-7,11752063.136985749
2019-8,11906771.608747892
2019-9,12061480.080510033
2019-10,12216188.552272175
2019-11,12370897.024034318
2019-12,12525605.495796459
2020-1,12680313.9675586
2020-2,12503558.417866824
2020-3,12326802.86817505
2020-4,12150047.318483274
2020-5,11973291.7687915
2020-6,11796536.219099725
2020-7,11619780.669407949
2020-8,11443025.119716175
2020-9,11266269.5700244
2020-10,11089514.020332625
2020-11,10912758.47064085
2020-12,10736002.920949075
2021-1,10559247.3712573
2021-2,10493258.240519643
2021-3,10427269.109781986
2021-4,10361279.97904433
2021-5,10295290.848306673
2021-6,10229301.717569016
2021-7,10163312.586831361
2021-8,10097323.456093704
2021-9,10031334.325356048
2021-10,9965345.19461839
2021-11,9899356.063880734
2021-12,9833366.933143077
2022-1,9767377.80240542
2022-2,9767377.80240542
2022-3,9767377.80240542
2022-4,9767377.80240542
2022-5,9767377.80240542
2022-6,9767377.80240542
2022-7,9767377.80240542
2022-8,9767377.80240542
2022-9,9767377.80240542
2022-10,9767377.80240542
2022-11,9767377.80240542
2022-12,9767377.80240542
2023-1,9767377.80240542
