,Ceará - Depósito Poupança (R$)
2003-1,4636226.11396676
2003-2,4657223.316382261
2003-3,4678220.518797762
2003-4,4699217.7212132625
2003-5,4720214.923628763
2003-6,4741212.126044264
2003-7,4762209.328459766
2003-8,4783206.5308752665
2003-9,4804203.733290767
2003-10,4825200.935706268
2003-11,4846198.138121769
2003-12,4867195.34053727
2004-1,4888192.54295277
2004-2,4905907.074300314
2004-3,4923621.605647858
2004-4,4941336.136995403
2004-5,4959050.668342947
2004-6,4976765.199690491
2004-7,4994479.731038036
2004-8,5012194.26238558
2004-9,5029908.793733124
2004-10,5047623.325080668
2004-11,5065337.856428212
2004-12,5083052.387775756
2005-1,5100766.9191233
2005-2,5086183.505209747
2005-3,5071600.091296194
2005-4,5057016.677382641
2005-5,5042433.263469087
2005-6,5027849.849555533
2005-7,5013266.43564198
2005-8,4998683.021728427
2005-9,4984099.607814874
2005-10,4969516.19390132
2005-11,4954932.779987767
2005-12,4940349.366074214
2006-1,4925765.95216066
2006-2,4993202.423029861
2006-3,5060638.893899062
2006-4,5128075.364768263
2006-5,5195511.835637463
2006-6,5262948.3065066645
2006-7,5330384.777375866
2006-8,5397821.248245066
2006-9,5465257.719114267
2006-10,5532694.189983468
2006-11,5600130.660852669
2006-12,5667567.131721869
2007-1,5735003.60259107
2007-2,5771468.682045342
2007-3,5807933.7614996135
2007-4,5844398.840953886
2007-5,5880863.920408157
2007-6,5917328.999862429
2007-7,5953794.0793167
2007-8,5990259.158770972
2007-9,6026724.238225244
2007-10,6063189.317679515
2007-11,6099654.397133787
2007-12,6136119.476588058
2008-1,6172584.55604233
2008-2,6227154.156250983
2008-3,6281723.756459635
2008-4,6336293.356668288
2008-5,6390862.95687694
2008-6,6445432.557085592
2008-7,6500002.157294245
2008-8,6554571.757502898
2008-9,6609141.35771155
2008-10,6663710.957920202
2008-11,6718280.558128854
2008-12,6772850.158337507
2009-1,6827419.75854616
2009-2,6904830.4911673125
2009-3,6982241.223788466
2009-4,7059651.95640962
2009-5,7137062.689030773
2009-6,7214473.421651926
2009-7,7291884.15427308
2009-8,7369294.8868942335
2009-9,7446705.619515386
2009-10,7524116.352136539
2009-11,7601527.084757693
2009-12,7678937.817378847
2010-1,7756348.55
2010-2,7785547.248047485
2010-3,7814745.94609497
2010-4,7843944.6441424545
2010-5,7873143.34218994
2010-6,7902342.040237425
2010-7,7931540.73828491
2010-8,7960739.436332395
2010-9,7989938.1343798805
2010-10,8019136.832427366
2010-11,8048335.53047485
2010-12,8077534.228522335
2011-1,8106732.92656982
2011-2,8161858.420671735
2011-3,8216983.914773649
2011-4,8272109.408875563
2011-5,8327234.902977477
2011-6,8382360.397079391
