,Rondônia - Depósito Poupança (R$)
2003-1,571416.48834659
2003-2,576005.3127148452
2003-3,580594.1370831005
2003-4,585182.9614513557
2003-5,589771.7858196109
2003-6,594360.6101878663
2003-7,598949.4345561215
2003-8,603538.2589243767
2003-9,608127.083292632
2003-10,612715.9076608872
2003-11,617304.7320291424
2003-12,621893.5563973978
2004-1,626482.380765653
2004-2,628017.2324666723
2004-3,629552.0841676916
2004-4,631086.935868711
2004-5,632621.7875697303
2004-6,634156.6392707496
2004-7,635691.490971769
2004-8,637226.3426727883
2004-9,638761.1943738076
2004-10,640296.046074827
2004-11,641830.8977758463
2004-12,643365.7494768656
2005-1,644900.601177885
2005-2,650229.6032086508
2005-3,655558.6052394168
2005-4,660887.6072701827
2005-5,666216.6093009487
2005-6,671545.6113317146
2005-7,676874.6133624804
2005-8,682203.6153932464
2005-9,687532.6174240123
2005-10,692861.6194547783
2005-11,698190.6214855441
2005-12,703519.6235163101
2006-1,708848.625547076
2006-2,724826.9158155915
2006-3,740805.206084107
2006-4,756783.4963526225
2006-5,772761.786621138
2006-6,788740.0768896535
2006-7,804718.3671581689
2006-8,820696.6574266845
2006-9,836674.9476952
2006-10,852653.2379637155
2006-11,868631.528232231
2006-12,884609.8185007465
2007-1,900588.108769262
2007-2,912602.5904568168
2007-3,924617.0721443717
2007-4,936631.5538319265
2007-5,948646.0355194813
2007-6,960660.5172070361
2007-7,972674.998894591
2007-8,984689.4805821459
2007-9,996703.9622697007
2007-10,1008718.4439572555
2007-11,1020732.9256448103
2007-12,1032747.4073323652
2008-1,1044761.88901992
2008-2,1058157.2243493758
2008-3,1071552.5596788316
2008-4,1084947.8950082874
2008-5,1098343.2303377434
2008-6,1111738.5656671992
2008-7,1125133.900996655
2008-8,1138529.2363261108
2008-9,1151924.5716555666
2008-10,1165319.9069850226
2008-11,1178715.2423144784
2008-12,1192110.5776439342
2009-1,1205505.91297339
2009-2,1227566.4797256074
2009-3,1249627.046477825
2009-4,1271687.6132300424
2009-5,1293748.1799822599
2009-6,1315808.7467344773
2009-7,1337869.3134866948
2009-8,1359929.8802389125
2009-9,1381990.44699113
2009-10,1404051.0137433475
2009-11,1426111.580495565
2009-12,1448172.1472477824
2010-1,1470232.714
2010-2,1477662.5923705532
2010-3,1485092.4707411067
2010-4,1492522.34911166
2010-5,1499952.2274822132
2010-6,1507382.1058527667
2010-7,1514811.98422332
2010-8,1522241.8625938732
2010-9,1529671.7409644267
2010-10,1537101.61933498
2010-11,1544531.4977055332
2010-12,1551961.3760760867
2011-1,1559391.25444664
2011-2,1565614.3504330332
2011-3,1571837.4464194267
2011-4,1578060.54240582
2011-5,1584283.6383922133
2011-6,1590506.7343786065
2011-7,1596729.8303649998
2011-8,1602952.9263513933
2011-9,1609176.0223377866
2011-10,1615399.11832418
2011-11,1621622.2143105734
2011-12,1627845.3102969667
2012-1,1634068.40628336
2012-2,1653653.1897548174
2012-3,1673237.973226275
2012-4,1692822.7566977325
2012-5,1712407.54016919
2012-6,1731992.3236406476
2012-7,1751577.107112105
2012-8,1771161.8905835624
2012-9,1790746.67405502
2012-10,1810331.4575264775
2012-11,1829916.240997935
2012-12,1849501.0244693926
2013-1,1869085.80794085
2013-2,1877772.0099730925
2013-3,1886458.212005335
2013-4,1895144.4140375776
2013-5,1903830.61606982
2013-6,1912516.8181020624
2013-7,1921203.020134305
2013-8,1929889.2221665476
2013-9,1938575.42419879
2013-10,1947261.6262310324
2013-11,1955947.8282632749
2013-12,1964634.0302955175
2014-1,1973320.23232776
2014-2,1965450.8374787208
2014-3,1957581.4426296817
2014-4,1949712.0477806425
2014-5,1941842.6529316034
2014-6,1933973.2580825642
2014-7,1926103.8632335248
2014-8,1918234.4683844857
2014-9,1910365.0735354465
2014-10,1902495.6786864074
2014-11,1894626.2838373682
2014-12,1886756.888988329
2015-1,1878887.49413929
2015-2,1873034.9326109707
2015-3,1867182.3710826517
2015-4,1861329.8095543324
2015-5,1855477.2480260134
2015-6,1849624.686497694
2015-7,1843772.1249693749
2015-8,1837919.5634410558
2015-9,1832067.0019127366
2015-10,1826214.4403844175
2015-11,1820361.8788560983
2015-12,1814509.3173277793
2016-1,1808656.75579946
2016-2,1813011.4829536884
2016-3,1817366.2101079167
2016-4,1821720.9372621449
2016-5,1826075.6644163732
2016-6,1830430.3915706016
2016-7,1834785.11872483
2016-8,1839139.8458790584
2016-9,1843494.5730332867
2016-10,1847849.300187515
2016-11,1852204.0273417432
2016-12,1856558.7544959716
2017-1,1860913.4816502
2017-2,1872022.3120347424
2017-3,1883131.142419285
2017-4,1894239.9728038274
2017-5,1905348.80318837
2017-6,1916457.6335729125
2017-7,1927566.463957455
2017-8,1938675.2943419975
2017-9,1949784.12472654
2017-10,1960892.9551110826
2017-11,1972001.785495625
2017-12,1983110.6158801676
2018-1,1994219.44626471
2018-2,1991896.9626488283
2018-3,1989574.4790329468
2018-4,1987251.995417065
2018-5,1984929.5118011835
2018-6,1982607.0281853017
2018-7,1980284.5445694202
2018-8,1977962.0609535384
2018-9,1975639.5773376566
2018-10,1973317.093721775
2018-11,1970994.6101058933
2018-12,1968672.1264900118
2019-1,1966349.64287413
2019-2,2000227.0618542791
2019-3,2034104.4808344285
2019-4,2067981.8998145775
2019-5,2101859.318794727
2019-6,2135736.737774876
2019-7,2169614.156755025
2019-8,2203491.575735174
2019-9,2237368.994715323
2019-10,2271246.4136954723
2019-11,2305123.832675622
2019-12,2339001.251655771
2020-1,2372878.67063592
2020-2,2353047.3409846053
2020-3,2333216.01133329
2020-4,2313384.681681975
2020-5,2293553.35203066
2020-6,2273722.0223793453
2020-7,2253890.69272803
2020-8,2234059.363076715
2020-9,2214228.0334254
2020-10,2194396.7037740853
2020-11,2174565.37412277
2020-12,2154734.044471455
2021-1,2134902.71482014
2021-2,2109618.3037004676
2021-3,2084333.892580795
2021-4,2059049.4814611226
2021-5,2033765.07034145
2021-6,2008480.6592217775
2021-7,1983196.248102105
2021-8,1957911.8369824325
2021-9,1932627.42586276
2021-10,1907343.0147430873
2021-11,1882058.6036234149
2021-12,1856774.1925037424
2022-1,1831489.78138407
2022-2,1831489.78138407
2022-3,1831489.78138407
2022-4,1831489.78138407
2022-5,1831489.78138407
2022-6,1831489.78138407
2022-7,1831489.78138407
2022-8,1831489.78138407
2022-9,1831489.78138407
2022-10,1831489.78138407
2022-11,1831489.78138407
2022-12,1831489.78138407
2023-1,1831489.78138407
