,Pernambuco - Depósito Poupança (R$)
2003-1,5799058.7588588
2003-2,5821973.718720761
2003-3,5844888.678582721
2003-4,5867803.638444683
2003-5,5890718.598306643
2003-6,5913633.558168604
2003-7,5936548.518030565
2003-8,5959463.4778925255
2003-9,5982378.437754487
2003-10,6005293.397616447
2003-11,6028208.357478408
2003-12,6051123.317340368
2004-1,6074038.27720233
2004-2,6075021.839457573
2004-3,6076005.401712816
2004-4,6076988.96396806
2004-5,6077972.526223303
2004-6,6078956.088478547
2004-7,6079939.650733789
2004-8,6080923.212989033
2004-9,6081906.775244277
2004-10,6082890.33749952
2004-11,6083873.899754764
2004-12,6084857.462010006
2005-1,6085841.02426525
2005-2,6127346.811196001
2005-3,6168852.598126752
2005-4,6210358.385057502
2005-5,6251864.1719882535
2005-6,6293369.958919005
2005-7,6334875.745849755
2005-8,6376381.532780506
2005-9,6417887.319711257
2005-10,6459393.106642008
2005-11,6500898.893572759
2005-12,6542404.680503509
2006-1,6583910.46743426
2006-2,6666868.267661092
2006-3,6749826.067887924
2006-4,6832783.868114755
2006-5,6915741.668341586
2006-6,6998699.468568418
2006-7,7081657.26879525
2006-8,7164615.069022082
2006-9,7247572.869248914
2006-10,7330530.669475745
2006-11,7413488.469702576
2006-12,7496446.269929408
2007-1,7579404.07015624
2007-2,7618784.974915916
2007-3,7658165.879675593
2007-4,7697546.78443527
2007-5,7736927.689194947
2007-6,7776308.593954623
2007-7,7815689.4987143
2007-8,7855070.403473977
2007-9,7894451.308233653
2007-10,7933832.212993329
2007-11,7973213.1177530065
2007-12,8012594.022512684
2008-1,8051974.92727236
2008-2,8140190.724657966
2008-3,8228406.522043572
2008-4,8316622.319429178
2008-5,8404838.116814783
2008-6,8493053.91420039
2008-7,8581269.711585995
2008-8,8669485.508971602
2008-9,8757701.306357207
2008-10,8845917.103742814
2008-11,8934132.901128419
2008-12,9022348.698514026
2009-1,9110564.49589963
2009-2,9225934.854574662
2009-3,9341305.213249693
2009-4,9456675.571924724
2009-5,9572045.930599755
2009-6,9687416.289274786
2009-7,9802786.647949815
2009-8,9918157.006624846
2009-9,10033527.365299877
2009-10,10148897.723974908
2009-11,10264268.082649939
2009-12,10379638.44132497
2010-1,10495008.8
2010-2,10499447.8253031
2010-3,10503886.850606201
2010-4,10508325.8759093
2010-5,10512764.9012124
2010-6,10517203.926515501
2010-7,10521642.9518186
2010-8,10526081.9771217
2010-9,10530521.0024248
2010-10,10534960.0277279
2010-11,10539399.053031
2010-12,10543838.0783341
2011-1,10548277.1036372
2011-2,10628742.424635049
2011-3,10709207.7456329
2011-4,10789673.06663075
2011-5,10870138.3876286
2011-6,10950603.70862645
2011-7,11031069.0296243
2011-8,11111534.350622151
2011-9,11191999.67162
2011-10,11272464.99261785
2011-11,11352930.3136157
2011-12,11433395.634613551
2012-1,11513860.9556114
2012-2,11610428.878870009
2012-3,11706996.802128617
2012-4,11803564.725387225
2012-5,11900132.648645833
2012-6,11996700.571904441
2012-7,12093268.49516305
2012-8,12189836.41842166
2012-9,12286404.341680268
2012-10,12382972.264938876
2012-11,12479540.188197484
2012-12,12576108.111456092
2013-1,12672676.0347147
2013-2,12749755.956113117
