,Pará - Depósito Poupança (R$)
2003-1,2208326.8442654
2003-2,2222363.5761549375
2003-3,2236400.308044475
2003-4,2250437.0399340126
2003-5,2264473.77182355
2003-6,2278510.5037130876
2003-7,2292547.2356026247
2003-8,2306583.9674921622
2003-9,2320620.6993817
2003-10,2334657.4312712373
2003-11,2348694.163160775
2003-12,2362730.8950503124
2004-1,2376767.62693985
2004-2,2381975.447619116
2004-3,2387183.2682983815
2004-4,2392391.0889776475
2004-5,2397598.9096569135
2004-6,2402806.730336179
2004-7,2408014.551015445
2004-8,2413222.371694711
2004-9,2418430.1923739766
2004-10,2423638.0130532426
2004-11,2428845.8337325086
2004-12,2434053.654411774
2005-1,2439261.47509104
2005-2,2455537.186518046
2005-3,2471812.897945052
2005-4,2488088.6093720575
2005-5,2504364.3207990634
2005-6,2520640.0322260694
2005-7,2536915.743653075
2005-8,2553191.455080081
2005-9,2569467.1665070867
2005-10,2585742.8779340927
2005-11,2602018.5893610986
2005-12,2618294.300788104
2006-1,2634570.01221511
2006-2,2673619.3806700716
2006-3,2712668.749125033
2006-4,2751718.1175799947
2006-5,2790767.4860349568
2006-6,2829816.8544899183
2006-7,2868866.22294488
2006-8,2907915.5913998415
2006-9,2946964.959854803
2006-10,2986014.328309765
2006-11,3025063.6967647267
2006-12,3064113.065219688
2007-1,3103162.43367465
2007-2,3137359.5564665464
2007-3,3171556.6792584434
2007-4,3205753.80205034
2007-5,3239950.9248422366
2007-6,3274148.047634133
2007-7,3308345.1704260297
2007-8,3342542.2932179268
2007-9,3376739.4160098233
2007-10,3410936.53880172
2007-11,3445133.661593617
2007-12,3479330.7843855135
2008-1,3513527.90717741
2008-2,3533049.172440311
2008-3,3552570.437703212
2008-4,3572091.7029661126
2008-5,3591612.9682290135
2008-6,3611134.2334919143
2008-7,3630655.498754815
2008-8,3650176.7640177156
2008-9,3669698.0292806164
2008-10,3689219.2945435173
2008-11,3708740.559806418
2008-12,3728261.825069319
2009-1,3747783.09033222
2009-2,3780636.202637868
2009-3,3813489.3149435166
2009-4,3846342.427249165
2009-5,3879195.5395548134
2009-6,3912048.6518604616
2009-7,3944901.76416611
2009-8,3977754.8764717584
2009-9,4010607.9887774065
2009-10,4043461.101083055
2009-11,4076314.2133887033
2009-12,4109167.325694352
2010-1,4142020.438
2010-2,4176360.418407125
2010-3,4210700.39881425
2010-4,4245040.379221375
2010-5,4279380.3596285
2010-6,4313720.340035625
2010-7,4348060.32044275
2010-8,4382400.300849875
2010-9,4416740.281257
2010-10,4451080.261664125
2010-11,4485420.24207125
2010-12,4519760.222478375
2011-1,4554100.2028855
2011-2,4601051.240969144
2011-3,4648002.2790527865
2011-4,4694953.31713643
2011-5,4741904.355220074
2011-6,4788855.393303717
2011-7,4835806.43138736
2011-8,4882757.469471004
2011-9,4929708.507554647
2011-10,4976659.54563829
2011-11,5023610.583721934
2011-12,5070561.621805577
2012-1,5117512.65988922
2012-2,5165565.361461827
2012-3,5213618.063034434
2012-4,5261670.76460704
2012-5,5309723.466179647
2012-6,5357776.167752254
2012-7,5405828.86932486
2012-8,5453881.5708974665
2012-9,5501934.272470074
2012-10,5549986.97404268
2012-11,5598039.675615286
2012-12,5646092.377187894
2013-1,5694145.0787605
2013-2,5722283.786358935
2013-3,5750422.4939573705
2013-4,5778561.201555805
2013-5,5806699.90915424
2013-6,5834838.616752675
2013-7,5862977.32435111
2013-8,5891116.031949545
2013-9,5919254.73954798
2013-10,5947393.447146415
2013-11,5975532.1547448505
2013-12,6003670.862343285
2014-1,6031809.56994172
2014-2,6017628.879775145
2014-3,6003448.18960857
2014-4,5989267.499441995
2014-5,5975086.80927542
2014-6,5960906.1191088455
2014-7,5946725.428942271
2014-8,5932544.738775695
2014-9,5918364.04860912
2014-10,5904183.358442545
2014-11,5890002.66827597
2014-12,5875821.978109395
2015-1,5861641.28794282
2015-2,5827099.823473844
2015-3,5792558.359004866
2015-4,5758016.89453589
2015-5,5723475.430066913
2015-6,5688933.965597937
2015-7,5654392.50112896
2015-8,5619851.036659983
2015-9,5585309.5721910065
2015-10,5550768.10772203
2015-11,5516226.643253053
2015-12,5481685.178784076
2016-1,5447143.7143151
2016-2,5459286.705532111
2016-3,5471429.696749123
2016-4,5483572.687966134
2016-5,5495715.679183146
2016-6,5507858.670400158
