,Pará - Depósito Poupança (R$)
2016-7,5520001.661617169
2016-8,5532144.652834182
2016-9,5544287.644051193
2016-10,5556430.635268205
2016-11,5568573.626485216
2016-12,5580716.617702228
2017-1,5592859.60891924
2017-2,5621209.296858323
2017-3,5649558.984797406
2017-4,5677908.67273649
2017-5,5706258.360675573
2017-6,5734608.048614657
2017-7,5762957.73655374
2017-8,5791307.424492823
2017-9,5819657.112431906
2017-10,5848006.800370989
2017-11,5876356.4883100735
2017-12,5904706.176249157
2018-1,5933055.86418824
2018-2,5954273.554142812
2018-3,5975491.244097385
2018-4,5996708.934051957
2018-5,6017926.62400653
2018-6,6039144.313961103
2018-7,6060362.003915675
2018-8,6081579.693870247
2018-9,6102797.38382482
2018-10,6124015.073779393
2018-11,6145232.763733965
2018-12,6166450.453688538
2019-1,6187668.14364311
2019-2,6301468.944688409
2019-3,6415269.745733706
2019-4,6529070.546779005
2019-5,6642871.347824303
2019-6,6756672.148869602
2019-7,6870472.949914901
2019-8,6984273.750960198
2019-9,7098074.552005497
2019-10,7211875.353050795
2019-11,7325676.154096093
2019-12,7439476.955141392
2020-1,7553277.75618669
2020-2,7485025.149336617
2020-3,7416772.542486545
2020-4,7348519.935636473
2020-5,7280267.3287864
2020-6,7212014.721936327
2020-7,7143762.115086256
2020-8,7075509.508236183
2020-9,7007256.90138611
2020-10,6939004.294536037
2020-11,6870751.687685965
2020-12,6802499.080835893
2021-1,6734246.47398582
2021-2,6689504.852619569
2021-3,6644763.2312533185
2021-4,6600021.609887067
2021-5,6555279.988520817
2021-6,6510538.367154566
2021-7,6465796.745788315
2021-8,6421055.124422064
2021-9,6376313.503055813
2021-10,6331571.881689562
2021-11,6286830.260323311
2021-12,6242088.638957061
2022-1,6197347.01759081
2022-2,6197347.01759081
2022-3,6197347.01759081
2022-4,6197347.01759081
2022-5,6197347.01759081
2022-6,6197347.01759081
2022-7,6197347.01759081
2022-8,6197347.01759081
2022-9,6197347.01759081
2022-10,6197347.01759081
2022-11,6197347.01759081
2022-12,6197347.01759081
2023-1,6197347.01759081
