,Rio de Janeiro - Depósito Poupança (R$)
2003-1,36752875.7782028
2003-2,36746754.462883726
2003-3,36740633.14756465
2003-4,36734511.83224557
2003-5,36728390.516926505
2003-6,36722269.20160743
2003-7,36716147.88628835
2003-8,36710026.570969276
2003-9,36703905.2556502
2003-10,36697783.94033113
2003-11,36691662.625012055
2003-12,36685541.30969298
2004-1,36679419.9943739
2004-2,36575832.890908904
2004-3,36472245.787443906
2004-4,36368658.6839789
2004-5,36265071.5805139
2004-6,36161484.4770489
2004-7,36057897.3735839
2004-8,35954310.2701189
2004-9,35850723.1666539
2004-10,35747136.0631889
2004-11,35643548.959723905
2004-12,35539961.8562589
2005-1,35436374.7527939
2005-2,35472809.435026266
2005-3,35509244.11725864
2005-4,35545678.799491
2005-5,35582113.48172337
2005-6,35618548.16395573
2005-7,35654982.8461881
2005-8,35691417.52842047
2005-9,35727852.210652836
2005-10,35764286.8928852
2005-11,35800721.57511757
2005-12,35837156.25734994
2006-1,35873590.9395823
2006-2,36281974.60945264
2006-3,36690358.27932298
2006-4,37098741.94919333
2006-5,37507125.61906367
2006-6,37915509.28893401
2006-7,38323892.958804354
2006-8,38732276.62867469
2006-9,39140660.29854503
2006-10,39549043.96841537
2006-11,39957427.63828571
2006-12,40365811.30815606
2007-1,40774194.9780264
2007-2,40914569.46779184
2007-3,41054943.95755728
2007-4,41195318.447322726
2007-5,41335692.93708816
2007-6,41476067.426853605
2007-7,41616441.91661905
2007-8,41756816.40638449
2007-9,41897190.89614993
2007-10,42037565.38591537
2007-11,42177939.87568081
2007-12,42318314.365446255
2008-1,42458688.8552117
2008-2,42903293.119972214
2008-3,43347897.38473273
2008-4,43792501.64949325
2008-5,44237105.914253764
2008-6,44681710.17901428
2008-7,45126314.4437748
2008-8,45570918.70853531
2008-9,46015522.97329583
2008-10,46460127.23805635
2008-11,46904731.50281686
2008-12,47349335.76757738
2009-1,47793940.0323379
2009-2,48137539.796559736
2009-3,48481139.56078158
