,Tocantins - Depósito Poupança (R$)
2003-1,381018.097338428
2003-2,383089.041261747
2003-3,385159.985185066
2003-4,387230.929108385
2003-5,389301.873031704
2003-6,391372.816955023
2003-7,393443.760878342
2003-8,395514.704801661
2003-9,397585.64872498
2003-10,399656.592648299
2003-11,401727.536571618
2003-12,403798.480494937
2004-1,405869.424418256
2004-2,408512.83150157664
2004-3,411156.2385848973
2004-4,413799.64566821797
2004-5,416443.05275153863
2004-6,419086.4598348593
2004-7,421729.86691818
2004-8,424373.2740015007
2004-9,427016.68108482135
2004-10,429660.088168142
2004-11,432303.4952514627
2004-12,434946.90233478334
2005-1,437590.309418104
2005-2,448871.57099087664
2005-3,460152.83256364934
2005-4,471434.09413642203
2005-5,482715.3557091947
2005-6,493996.6172819673
2005-7,505277.87885474
2005-8,516559.1404275127
2005-9,527840.4020002853
2005-10,539121.663573058
2005-11,550402.9251458307
2005-12,561684.1867186034
2006-1,572965.448291376
2006-2,579808.2578356239
2006-3,586651.0673798718
2006-4,593493.8769241198
2006-5,600336.6864683677
2006-6,607179.4960126156
2006-7,614022.3055568635
2006-8,620865.1151011114
2006-9,627707.9246453593
2006-10,634550.7341896072
2006-11,641393.5437338551
2006-12,648236.353278103
2007-1,655079.162822351
2007-2,657570.6620806905
2007-3,660062.16133903
2007-4,662553.6605973695
2007-5,665045.159855709
2007-6,667536.6591140485
2007-7,670028.158372388
2007-8,672519.6576307275
2007-9,675011.156889067
2007-10,677502.6561474064
2007-11,679994.155405746
2007-12,682485.6546640855
2008-1,684977.153922425
2008-2,689907.234292537
2008-3,694837.3146626488
2008-4,699767.3950327607
2008-5,704697.4754028727
2008-6,709627.5557729846
2008-7,714557.6361430965
2008-8,719487.7165132083
2008-9,724417.7968833203
2008-10,729347.8772534323
2008-11,734277.9576235441
2008-12,739208.037993656
2009-1,744138.118363768
2009-2,763374.0557501207
2009-3,782609.9931364733
2009-4,801845.930522826
2009-5,821081.8679091786
2009-6,840317.8052955313
2009-7,859553.742681884
2009-8,878789.6800682367
2009-9,898025.6174545893
2009-10,917261.5548409419
2009-11,936497.4922272947
2009-12,955733.4296136473
2010-1,974969.367
2010-2,980294.7019435016
2010-3,985620.0368870033
2010-4,990945.371830505
2010-5,996270.7067740066
2010-6,1001596.0417175083
2010-7,1006921.37666101
2010-8,1012246.7116045116
2010-9,1017572.0465480133
2010-10,1022897.381491515
2010-11,1028222.7164350166
2010-12,1033548.0513785183
2011-1,1038873.38632202
2011-2,1050530.2513868792
2011-3,1062187.1164517384
2011-4,1073843.9815165976
2011-5,1085500.8465814567
2011-6,1097157.7116463159
2011-7,1108814.576711175
2011-8,1120471.4417760342
2011-9,1132128.3068408933
2011-10,1143785.1719057525
2011-11,1155442.0369706117
2011-12,1167098.9020354708
2012-1,1178755.76710033
2012-2,1191154.641131556
2012-3,1203553.5151627816
2012-4,1215952.3891940075
2012-5,1228351.2632252334
2012-6,1240750.137256459
2012-7,1253149.011287685
2012-8,1265547.885318911
2012-9,1277946.7593501366
2012-10,1290345.6333813625
2012-11,1302744.5074125885
2012-12,1315143.3814438141
2013-1,1327542.25547504
2013-2,1338728.7234540267
2013-3,1349915.1914330134
2013-4,1361101.659412
2013-5,1372288.1273909868
2013-6,1383474.5953699735
2013-7,1394661.0633489601
2013-8,1405847.5313279466
2013-9,1417033.9993069333
2013-10,1428220.46728592
2013-11,1439406.9352649066
2013-12,1450593.4032438933
2014-1,1461779.87122288
2014-2,1459546.0404928883
2014-3,1457312.2097628966
2014-4,1455078.379032905
2014-5,1452844.5483029133
2014-6,1450610.7175729217
2014-7,1448376.88684293
2014-8,1446143.0561129383
2014-9,1443909.2253829467
2014-10,1441675.394652955
2014-11,1439441.5639229633
2014-12,1437207.7331929717
2015-1,1434973.90246298
2015-2,1426532.201977206
2015-3,1418090.5014914316
2015-4,1409648.8010056575
2015-5,1401207.1005198834
2015-6,1392765.4000341091
2015-7,1384323.699548335
2015-8,1375881.999062561
2015-9,1367440.2985767866
2015-10,1358998.5980910126
2015-11,1350556.8976052385
2015-12,1342115.1971194642
2016-1,1333673.49663369
2016-2,1338265.961634465
2016-3,1342858.4266352402
2016-4,1347450.8916360151
2016-5,1352043.35663679
2016-6,1356635.821637565
2016-7,1361228.28663834
2016-8,1365820.7516391152
2016-9,1370413.21663989
2016-10,1375005.681640665
2016-11,1379598.1466414402
2016-12,1384190.6116422152
2017-1,1388783.07664299
2017-2,1401741.6144256159
2017-3,1414700.1522082416
2017-4,1427658.6899908676
2017-5,1440617.2277734934
2017-6,1453575.7655561191
2017-7,1466534.3033387451
2017-8,1479492.841121371
2017-9,1492451.3789039967
2017-10,1505409.9166866224
2017-11,1518368.4544692482
2017-12,1531326.9922518742
2018-1,1544285.5300345
2018-2,1545314.9372798025
2018-3,1546344.3445251049
2018-4,1547373.7517704074
2018-5,1548403.15901571
2018-6,1549432.5662610123
2018-7,1550461.973506315
2018-8,1551491.3807516175
2018-9,1552520.7879969198
2018-10,1553550.1952422224
2018-11,1554579.602487525
2018-12,1555609.0097328273
2019-1,1556638.41697813
2019-2,1593622.8818570133
2019-3,1630607.3467358965
2019-4,1667591.81161478
2019-5,1704576.2764936632
2019-6,1741560.7413725466
2019-7,1778545.2062514299
2019-8,1815529.6711303133
2019-9,1852514.1360091968
2019-10,1889498.60088808
2019-11,1926483.0657669634
2019-12,1963467.5306458469
2020-1,2000451.99552473
2020-2,1989630.749837681
2020-3,1978809.5041506318
2020-4,1967988.2584635825
2020-5,1957167.0127765334
2020-6,1946345.7670894843
2020-7,1935524.521402435
2020-8,1924703.2757153858
2020-9,1913882.0300283367
2020-10,1903060.7843412876
2020-11,1892239.5386542385
2020-12,1881418.292967189
2021-1,1870597.04728014
2021-2,1863124.0942304
2021-3,1855651.14118066
2021-4,1848178.18813092
2021-5,1840705.23508118
2021-6,1833232.28203144
2021-7,1825759.3289817
2021-8,1818286.37593196
2021-9,1810813.42288222
2021-10,1803340.46983248
2021-11,1795867.5167827401
2021-12,1788394.563733
2022-1,1780921.61068326
2022-2,1780921.61068326
2022-3,1780921.61068326
2022-4,1780921.61068326
2022-5,1780921.61068326
2022-6,1780921.61068326
2022-7,1780921.61068326
2022-8,1780921.61068326
2022-9,1780921.61068326
2022-10,1780921.61068326
2022-11,1780921.61068326
2022-12,1780921.61068326
2023-1,1780921.61068326
